"name","address","phone","website","profileUrl","isPremiumMember"
"LUMEN FREIGHT AND LOGISTICS LIMITED","P.O.BOX 80296, DAR ES SALAAM, TANZANIA, 11101","+2556200611","","https://www.freightnet.com/profile/242095.htm","Yes"
"Accurate Carriers Limited","3rd Floor , Twiga House, Dar Es Salaam, Tanzania, 0100","","","https://www.freightnet.com/profile/262297.htm","No"
"Franklin Logistics Company Limited","Eagt Building (City Furniture), Bohari Street, Plot no. 1, Nyerere Road, Near Mkuki House, Third Floor, Unit No. 318, P.o. Box 76210, Dar Es Salaam Tanzania , Dar Es Salaam, Tanzania, Africana","","","https://www.freightnet.com/profile/194296.htm","No"
"Trident Logistics","De Ocean Plaza , Msaki, Dar es Salaam, Tanzania, 00000","","","https://www.freightnet.com/profile/253864.htm","No"
"DRIMA LOGISTIK LIMITED","Livingston street,mkunazini building  , Livingston street, Dar es salaam, Tanzania, 0000","","","https://www.freightnet.com/profile/253726.htm","No"
"GENERIC STAR COMPANY LIMITED","25 BLOCK 25 Omarilondo/Sikukuu Kariakoo , DAR ES SALAAM, DAR ES SALAAM, 4631","","","https://www.freightnet.com/profile/241013.htm","No"
"Emirates","44 , Kigoma, Tanzania, 44","","","https://www.freightnet.com/profile/233310.htm","No"
"World Logistics Company Limited","Diplomat House 3rd Floor , Kaluta/Mkwepu St, Dar es salaam, Tanzania, 255","","","https://www.freightnet.com/profile/204384.htm","No"
"Damodar Group Tanzania Group","P.O.BOX 31032 , Dar es Salaam, Ilala, DAR ES SALAAM, 11000","","","https://www.freightnet.com/profile/187600.htm","No"
"CFA Logistics Agency","P.O.Box 904 Arusha , Arusha,Tanzania, Arusha, Tanzania, 27","","","https://www.freightnet.com/profile/181584.htm","No"
"Complete Customs Clearance Ltd","Hifadhi House, Ground Floor , Azikiwe/Samora Avenue, Dar Es Salaam, Dar Es Salaam, 255","","","https://www.freightnet.com/profile/154103.htm","No"
"Allmol Freight Services LTD","P.O BOX 4619 , Allmol Tower, Lindi/Livingstone St. Kariakoo, DAR ES SALAAM, Tanzania, +255","","","https://www.freightnet.com/profile/150210.htm","No"
"K & Sons Services Ltd","Josam Bldg, Wing B, 1st Floor, Plot 16, Coca-Cola Road, Mikocheni Light Industry, Kinondoni, Dar es Salaam, Tanzania , Dar es Salaam, Tanzania, 11143","","","https://www.freightnet.com/profile/132812.htm","No"
"Best Services Limited","P.Box 77346 , Lida house, Dar es salaam, Tanzania, 0255","","","https://www.freightnet.com/profile/127817.htm","No"
"Inchaghe Investments T Ltd","Box 8259 , Dar-Es-Salaam, Kinondoni,","","","https://www.freightnet.com/profile/17820.htm","No"
"Freight Forwarders (T) Ltd.","Po Box 79658 , Dar-es-Salaam, Tanzania, 0000","","","https://www.freightnet.com/profile/134394.htm","No"
