"name","address","phone","website","profileUrl","isPremiumMember"
"Bright logistic services co ltd","p.o box 2431 dar es salaam tanzania, Dar es salaam, Tanzania, +255","+255685623935","https://mirabellegrp.co.tz/","https://www.freightnet.com/profile/250475.htm","Yes"
"CARGOLINK AFRICA","KAZIGOPA STREET, DAR ES SALAAM, TANZANIA, 32123","+255659363919","","https://www.freightnet.com/profile/259882.htm","Yes"
"KiBZ COMPANY LIMITED","P.O. Box: 8673, Dar es Salaam, P.O. Box: 8673, Dar es Salaam, Dar es salaam, Tanzania, 02","0675 333 000","","https://www.freightnet.com/profile/261177.htm","Yes"
"Sesten Logistics Tanzania","11th Tower, Rita Tower, Makunganya Street, Dar es Salaam, Tanzania, 0255","0776333333","http://www.sesten.co.tz/","https://www.freightnet.com/profile/253669.htm","Yes"
"JEIB RHG INTERNATIONAL LOGISTICS COMPANY LIMITED","PSSSF BLD 7TH FLOOR SAMORA AVENUE/ MOROGORO ROAD ADJ JMALL HOUSE, P. OBOX 41449, DAR ES SALAAM, TANZANIA, NA","+255713321813","http://www.jeibrhg.co.tz/","https://www.freightnet.com/profile/242690.htm","Yes"
"GIAN LOGISTICS LIMITED","P.O.BOX 63127, PLOT 638 SAMORA/ZANAKI STREET, DAR ES SALAAM, TANZANIA,","+255762 756 562","https://gianlogistics.com/","https://www.freightnet.com/profile/258925.htm","Yes"
"RYDER SUPPLY CHAIN SOLUTIONS LTD","PO BOX 13578, PO Box 13578, DAR-ES-SALAAM, Dar es Salaam, 14112","+255-622411148","","https://www.freightnet.com/profile/252219.htm","Yes"
"Zappex International ltd","samora road, pssf house 7th floor, Dar es salaam, East Africa     Tanzania, 00255","713280488","","https://www.freightnet.com/profile/208577.htm","Yes"
"CITADEL SMART LOGITICS CO.","PO BOX 2824 , Mombasa Kenya, Kenya, +254","","","https://www.freightnet.com/profile/229353.htm","No"
"X Port Logistic Company Limited","Port Tower - Gerezani st  , Dar Es Salaam, Tanzania, 8632","","","https://www.freightnet.com/profile/248161.htm","No"
"Navalis Maritime Agency Ltd","Sofia Kawawa Street , Dar es Salaam, Tanzania, 11115","","","https://www.freightnet.com/profile/231753.htm","No"
"ROLIE IMPORT & EXPORT LTD","RITA TOWER SIMU STREET , Dar es salaam, Tanzania, 8091","","","https://www.freightnet.com/profile/265062.htm","No"
"World Logistics Co.Ltd","Mkwepu/Kaluta St. , Dar e salaam, Tanzania, 255","","","https://www.freightnet.com/profile/248590.htm","No"
"Curstone Trading Limited","P.O Box 32346 , Mbezi Beach, Dar es Salaam, Tanzania, 255","","","https://www.freightnet.com/profile/264738.htm","No"
