"name","address","phone","website","profileUrl","isPremiumMember"
"SALSAM GROUP LIMITED","P.o.box 52510, morroco squre , Dar es salaam, Kinondoni, 00255","","","https://www.freightnet.com/profile/263830.htm","No"
"Kayecon Limited","P.O.BOX 105641 , UPANGA, DAR ES SALAAM, 14112","","","https://www.freightnet.com/profile/214935.htm","No"
"HAJU LOGISTICS LIMITED","victoria,Mwananyamala,Kinondoni , DAR ES SALAAM, TANZANIA, 14108","","","https://www.freightnet.com/profile/222366.htm","No"
"MOWARA LIMITED","Kurasini| P.O. Box: 43061| Plot#316|  , Dar es salaam – Tanzania, DAR ES SALAAM, TANZANIA, 43061","","","https://www.freightnet.com/profile/161608.htm","No"
"Falcon logistics limited","P.o.box 99 arusha , Nairobi kenya, Nairobi, Kenya, 255","","","https://www.freightnet.com/profile/193528.htm","No"
"Kanji Lalji Ltd","P.O. Box 10 , Mbeya, Mbeya, 91020","","","https://www.freightnet.com/profile/17323.htm","No"
"Federal Trading co Limited","30 kurasini road, Dar es salaam , P. O. Box. 14361, Dar es salaam, Tanzania, 14361 Dar es salaam","","","https://www.freightnet.com/profile/135695.htm","No"
"AL-ARZ FORWARDERS","21160 , Dar-es-salaam, illala, 21160","","","https://www.freightnet.com/profile/106418.htm","No"
"WET& DRY CARGO LOGISTICS LTD","PO BOX 12423 , DAR-ESSALAAM, TANZANIA, 12423","","","https://www.freightnet.com/profile/90278.htm","No"
"Mainline Carriers Ltd","P. O. Box No. 42804 , Dar-es-Salaam, 91020","","","https://www.freightnet.com/profile/18788.htm","No"
"KUGI'S-Surinder Singh Budh Singh & Co","P.O.Box 40440 , Dar-es-salaam, Dar-es-salaam, 40440","","","https://www.freightnet.com/profile/131089.htm","No"
