"name","address","phone","website","profileUrl","isPremiumMember"
"ATLAS CARGO LIMITED","15Floor Sethiwan Tower, 139 Pan Road, Silom, Bangrak, Bangkok, Thailand, 10500","+66936749916","http://www.atlas-cargo.com/","https://www.freightnet.com/profile/254960.htm","Yes"
"SVS LOGISTICS SERVICE CO., LTD.","No.3656/45, Rama IV Rd, Khlong Toei, Bangkok, 10110","020796367","","https://www.freightnet.com/profile/262628.htm","Yes"
"Freight Rangers Co.,Ltd.","776 Phairoj Kijja Vill. Phase 4 Soi 3, Bangna-Trad27 , Bangna, Bangkok, Thailand, 10260","+66 2001-3521","https://www.rangers.co.th/","https://www.freightnet.com/profile/114221.htm","Yes"
"SIAM  INDOCHINA  LOGISTICS CO.,LTD.","71/89  BANGWANG ROAD,BANGPAI,BANGKAE, BANGKOK, THAILAND, 10160","+66814936546(whatsapp)","http://www.siamindochina.com/","https://www.freightnet.com/profile/112979.htm","Yes"
"NEUTRINOS CARGO CO., LTD.","107/6 SATHUPRADIT 6, THUNG WAT DON, SATHORN, Bangkok, Thailand, 10120","66819336315","http://www.neutrinos-cargo.com/","https://www.freightnet.com/profile/99943.htm","Yes"
"SWD LOGISTICS CO.,LTD.","54/6 , PERMSIN SOI 29, KHLONG THANON, SAIMAI, BANGKOK, 10220","+66 62 941 4493 , +66 84 197 9289, 02 5315338","http://www.swdlogs.com/","https://www.freightnet.com/profile/182563.htm","Yes"
"Nimbus1988 Cargo Service Co., Ltd.","106 Chan Road Sathorn Tungwatdon, KingBridge Tower. 989 Rama3 Road, 1710 17ft. Bangpongpang, Yannawa, Bangkok 10120, bangkok, Thailand, 10120","0963655444","https://gonimbuscargo.com/","https://www.freightnet.com/profile/257854.htm","Yes"
"TRANS WORLD SUPPLY LTD.","22/230 Lieb Klong Song Rd, West Samwa, Bangkok, Thailand, 10510","+66(95)864-6189","","https://www.freightnet.com/profile/60538.htm","Yes"
"SANO INTERFREIGHT CO.,LTD","5/15 @AREA BUILDING, 7FLOOR, ROOM NO.7A1, BUPPHABURI SOI, CHONGNONSI, YANNAWA, BANGKOK, THAILAND, 10120","+66 2 101 6429","","https://www.freightnet.com/profile/171282.htm","Yes"
"Erawan Inter Global Co., Ltd.","9/157 Mooban Gusto Sathorn Moo 7, Bangkhuntien, Jomthong, Bangkok, Thailand, 10150","+66 2 2970167, +66 97 6949492","","https://www.freightnet.com/profile/146872.htm","Yes"
"World Mega Logistics (Thailand) Co., Ltd","3366/39, 2nd Fl., Siam Sept Bldg, Soi Manorom, Rama 4 Rd, Klongton, Klongtoey, Bangkok, 10110","+66 2 671 8881","https://worldmegalogistics.co.th/","https://www.freightnet.com/profile/143012.htm","Yes"
"S.L.Specialist International Co.,Ltd.","24/252, MOO 9, SEEGUN, DONMUANG, BANGKOK, 10210","+66823359315","http://www.sls-inter.com/","https://www.freightnet.com/profile/176743.htm","Yes"
"Asia-Pacific Logistics Co Ltd","69/6-13 Moo 5, Suksawad Road, Rajburana, Bangkok, 10120","+662-818-2559","","https://www.freightnet.com/profile/16053.htm","Yes"
"Accord Pilot Logistics (Thailand) co.,ltd (BRANCH 00001)","6419-6425 RIMTHANG ROTFAI SAI PAKNAM RD, PHRAKANONG, KLONGTOEY, Bangkok, Bangkok, 10260","+66805952020","","https://www.freightnet.com/profile/257705.htm","Yes"
"GGS Lines (Thailand) Co Ltd","211/29 Nonsee Road, Yannawa, Bangkok, THAILAND, 10120","+66869952047","http://www.ggslines.com/","https://www.freightnet.com/profile/23088.htm","Yes"
"IMEX PRO LOGISTICS CO., LTD.","No. 51 Major Tower Rama 9 - Ramkhamhaeng, Unit 2005, 20th Fl. Rama 9 Rd., Hua Mak,  Bang Kapi, Bangkok, Thailand, 10240  For inquiry: sales1@imexproth.com","+66 (0) 2-115 5242, +66 (0) 82-168 6989","http://www.imexproth.com/","https://www.freightnet.com/profile/206996.htm","Yes"
"BT&C (Thailand) Co.,Ltd.","98/38 Soi Sukhaphiban 5 Soi 32 (Wat Phon), Orngern, Saimai, Bangkok, Thailand, 10220","0952518528","","https://www.freightnet.com/profile/225977.htm","Yes"
"Capricorn Logistics co.,ltd","228/1,228/2 The Ricco Town Watcharapol, RuammitPhatthana Road Tharaeng Bangkhen Bangkok Thailand 10220, Bangkok, Thailand, 10220","662 1366910-6,66819045447","http://www.capricornlogistics.co.th/","https://www.freightnet.com/profile/221857.htm","Yes"
"BST Express Co., Ltd.","99/63 Moo 6 Samrong Phrapradaeng  , Samutprakarn, Thailand, 10130","","","https://www.freightnet.com/profile/265989.htm","No"
"BST Express Co., Ltd.","99/63 Moo 6 Samrong Phrapradaeng  , Samuthprakarn, Thailand, 10130","","","https://www.freightnet.com/profile/139031.htm","No"
"GRANDOR GROUP CO., LTD","1249/175 GEMS TOWER, 23 FLOOR, ROOM NO. E , CHAROENKRUNG ROAD, SURIYAWONGSE, BANGRAK, BANGKOK, BANGKOK, 10500","","","https://www.freightnet.com/profile/264730.htm","No"
