"name","address","phone","website","profileUrl","isPremiumMember"
"UNIVERS DE TINO(UNITI) SARL","Souza netime, Ocam, rue LITIME, Immeuble 887 , Lome, TOGO, 11BP183","","","https://www.freightnet.com/profile/172283.htm","No"
"AGENCE DE VOYAGE EXPERTISE ET TRANSIT SARL","AGOE-NYIVE, SENOUKOPE (LEGBASSITO) , LOME, TOGO, 15 BP 262 LOME 15 DOUMASSESSE","","","https://www.freightnet.com/profile/224870.htm","No"
"AVINATO","473 Rue Dankpen , Be Chateau, Lome, Togo, BP: 60618","","","https://www.freightnet.com/profile/213711.htm","No"
"UNIVERS DE TINO","Oca, Souza-netime; Rue LITIME iMMEUBLE 887. 11BP183 LOME Tel 00228 22274677 , LOME, Maritime, 1000194562","","","https://www.freightnet.com/profile/181013.htm","No"
"PLANET LOGISTICS TOGO (PLT)","Avédji Limousine, Immeuble Jésus Mes Délices , 2ème Etage de la Poste d\'Avédji, Lomé, Togo, 18 BP 219","","","https://www.freightnet.com/profile/65353.htm","No"
"REC","BRETELLE DE KLIKAME , LOME, LOME, GOLFE, 6247","","","https://www.freightnet.com/profile/103874.htm","No"
"REC Logistics","1146 rue de la Paix Prolongeé , Quartier Bè, Lomé, Togo, BP 60644","","","https://www.freightnet.com/profile/136134.htm","No"
"LCA Logistics","159 Rue Amou OBLO , LOME, TOGO, 60265","","","https://www.freightnet.com/profile/100800.htm","No"
"LE TRANSPORTEUR","236, RUE DES VANNIERS , TOKOIN DOUMASSESSE, LOME, TOGO, 1987","","","https://www.freightnet.com/profile/87613.htm","No"
"Sky Freight & Logistics Togo Sarl","Gnassingbe Eyadema Intl. Airport , Zone de fret 10, Lome, TG, 04 BP.75","","","https://www.freightnet.com/profile/20308.htm","No"
"LE TRANSPORTEUR (THE CARRIER)","236, Rue des Vanniers , Tokoin Doumassessé, LOME, TOGO, 1987","","","https://www.freightnet.com/profile/63857.htm","No"
"Afripack Courier Services","8394 Biance Blvd , Lome,","","","https://www.freightnet.com/profile/19314.htm","No"
"Joemar Shipping (Togo) Sarl","05BP 237 Face Eglise les amis du Christ a 200m de totsi mobil , Lome, Totsi,","","","https://www.freightnet.com/profile/14072.htm","No"
"Alpha Sea-Air Transport Sarl","Aeroport International Gnassingbe Eyadema, Zone de Fret,, Lome, Togo, 07 BP.12742","","","https://www.freightnet.com/profile/10634.htm","No"
"E2B SARL","236, rue des Vanniers Doumassess , Lome, Golfe, 1987","","","https://www.freightnet.com/profile/13914.htm","No"
"Sky Freight & Logistics Togo SARL","Gnassingbe Eyadema International Airport , Cargo Area 10, Lome, Togo, 04 BP.75","","","https://www.freightnet.com/profile/14232.htm","No"
"GWAT","236, rue de Vanniers , Agoe, Lome, Golfe, 1987","","","https://www.freightnet.com/profile/14270.htm","No"
"Alpha Sea Air Transport Sarl","Gnassingbe Eyadema International Airport , Cargo Area, BP 12742, Lome,","","","https://www.freightnet.com/profile/14528.htm","No"
"DALASS TOGO CARGO&SHIPPING AGENCY","05 BP 237 LOME , ZONE PORTUAIRE - PARC AUTO CONSULVIT, LOME, TOGO, +228","","","https://www.freightnet.com/profile/23155.htm","No"
"VOOG EXPRESS","91, Rue des Lotiers , Hedzranawoe, Lome, Togo, o6 BP:62301","","","https://www.freightnet.com/profile/207882.htm","No"
