"name","address","phone","website","profileUrl","isPremiumMember"
"Overderim Logistics & Shipping Agency","12 Bueller Street, Unit# 3, Woodbrook, Port of Spain, Trinidad, W.I.","868 622 1402","http://www.overderim.com/","https://www.freightnet.com/profile/107523.htm","Yes"
"DCTL SHIPPING SERVICES TRINIDAD LIMITED","1B D'Arceuil Lane, Mausica Street, Arima, Trinidad and Tobago, 186800","8683810849","http://www.dctlss.com/","https://www.freightnet.com/profile/263770.htm","Yes"
"Velocity Shipping Ltd","6A Romeo Street , St James, Port of Spain,","","","https://www.freightnet.com/profile/222482.htm","No"
"TBO Shipping and Logistics Services Ltd","#104 Southern Main Road,` , La Paille, Caroni, Trinidad, W.I.`, Port of Spain, 00, 868","","","https://www.freightnet.com/profile/196945.htm","No"
"Network Shipping and Services Limited.","No 15B Frangipani Place, Village Plaza Pleasantville, Barataria, San Fernando, Trinidad and Tobago, 1868","","","https://www.freightnet.com/profile/84917.htm","No"
"ACCLAIM FREIGHT & LOGISTICS SERVICES","107 Ninth Street, Barataria, San Juan, Trinidad and Tobago, 00000","","","https://www.freightnet.com/profile/130744.htm","No"
"Cargo Consolidators Agency Ltd","43 New Street , Port Of Spain, n/a, 100921","","","https://www.freightnet.com/profile/239889.htm","No"
"Melville Shipping","11 A Ackbar Road , Charlieville, Port of Spain, Trinidad & Tobago, NA","","","https://www.freightnet.com/profile/230459.htm","No"
"Shipping Solutions & Services Ltd.","Unit #22, One Woodbrook Place , Damian Street, Woodbrook, Port of Spain, NA, 868","","","https://www.freightnet.com/profile/175073.htm","No"
"Priority Shipping Logistics Ltd","66b Upper School Street , Woodbrook PO Box 1648, Carenage, Trinidad & Tobago, 00000","","","https://www.freightnet.com/profile/102616.htm","No"
"IV Shipping Limited","Golden Grove Road, Piarco, Trinidad, WI , Port of Spain, Trinidad, 0000","","","https://www.freightnet.com/profile/157285.htm","No"
"Caribbean Freight Logistic","1 Western Main Road , St. James, Port of Spain, port of spain,","","","https://www.freightnet.com/profile/9591.htm","No"
"ITN WORLDWIDE","PORT AUTHORITY ADMIN BUILDING , #1 DOCK ROAD, PORT OF SPAIN, TRINIDAD AND TOBAGO, 12345","","","https://www.freightnet.com/profile/147740.htm","No"
"Shipping Solutions and Services Ltd.","Suite 1, Cruise Complex, Dock Road,, Port of Spain, St George, 11111","","","https://www.freightnet.com/profile/60433.htm","No"
"Caribbean Shipping Agencies Limited","18 OConnor Street , Woodbrook, Port of Spain, Trinidad,","","","https://www.freightnet.com/profile/92936.htm","No"
"Worldwide Freight Management Ltd","1st Floor 18-20 Pembroke St , P O Box 123, Port Of Spain,","","","https://www.freightnet.com/profile/13162.htm","No"
"All Seas Logistics","29 Gallus Street , Woodbrook, Port of Spain, Trinidad, POS","","","https://www.freightnet.com/profile/99351.htm","No"
"Multi Parcel Services Limited","19A Madras Street , PO Box 1648, St. James,","","","https://www.freightnet.com/profile/22760.htm","No"
"GLOBAL CONSOLIDATION SERVICES LTD.","SIXTH STREET EAST, CASSELTON AVENUE , TRINCITY, N/A, N/A","","","https://www.freightnet.com/profile/106696.htm","No"
"Ramps Logistics Limited","33 Methuen Street Woodbrook , Port of Spain, Trinidad,","","","https://www.freightnet.com/profile/42287.htm","No"
"Worldwide Logistics and Customs Services","59 Fitt Street , Montrose, Chaguanas, Central, 868","","","https://www.freightnet.com/profile/93750.htm","No"
"KTAZ SHIPPING SERVICES","#17 SAGAN STREET , CARONI, PORT OF SPAIN, 868","","","https://www.freightnet.com/profile/82553.htm","No"
"Sprint Cargo Services","#79 Abercromby Street , Port Of Spain, Trinidad, W.I., 00129","","","https://www.freightnet.com/profile/3669.htm","No"
"AirOceanFreight","Western Main Road , Port of Spain,","","","https://www.freightnet.com/profile/20986.htm","No"
"L.J. Williams Ltd","122 St Vincent Street , Port Of Spain,","","","https://www.freightnet.com/profile/9207.htm","No"
"KPT Freight Services","P.O.Box 1426 , #92A Wrightson Road, Port of Spain, Trinidad,","","","https://www.freightnet.com/profile/10597.htm","No"
"World Freight Specialist","Western Main Road , St. James, Port of Spain,","","","https://www.freightnet.com/profile/14996.htm","No"
"Advanced Transport & Integrated Logistics Ltd","Couva Shopping Complex , Issac Jct, Couva, Point Lisas,","","","https://www.freightnet.com/profile/20508.htm","No"
