"name","address","phone","website","profileUrl","isPremiumMember"
"Intercontinental navigator","Rue Habib Maazoun Sfax , Sfax, Tunisia, 3000","0021656256189","","https://www.freightnet.com/profile/251205.htm","Yes"
"TNS IMPORT-EXPORT","IMMEUBLE COGEFO 4 RUE DE LA TANNERIE MEGRINE RIADH , BEN AROUS, Tunisia, 2033","","","https://www.freightnet.com/profile/252469.htm","No"
"Beta shipping & logistics",", Immeuble au lot 13DD HBC Lotissement Ennasim Tunis, 1073 Montplaisir  , Montplaisir, Tunis, 1073","","","https://www.freightnet.com/profile/262729.htm","No"
"SMART LOGISTICS AND SHIPPING","137 AV HEDI NOUIRA RADES , TUNIS, TUNISIA, 2040","","","https://www.freightnet.com/profile/262656.htm","No"
"ASSISTANCE MONDIALE GARANTIE","7 RUE 8602 ZI CHARGUIA I  , GP1 KM6 LOTISSEMENT ENOUR ZI MEGRINE, TUNIS, TUNISIA, 2035","","","https://www.freightnet.com/profile/262162.htm","No"
"ATL TUNISIA","N° 50 ST 8600 office C1-01 la charguia 1 2035 Tunis Carthage , Tunis, 2035, 2035","","","https://www.freightnet.com/profile/207544.htm","No"
"TRUST SHIPPING AGENCY","24 RUE AMMAR BEN YESSER , RADES, TUNISIA, 2040","","","https://www.freightnet.com/profile/258161.htm","No"
"GENERALE TRANSPORT MULTIMODALE","AV HABIB MAAZOUN , SFAX, SFAX, 3000","","","https://www.freightnet.com/profile/98722.htm","No"
"Kyranis Logistics Agency","Building 4 Seasons, Bab Bhar , Sfax, Sfax / Tunisia, 3000","","","https://www.freightnet.com/profile/256624.htm","No"
"LAROUSSI EXPRESS SERVICES","Rue Hergla Imm 15 App N° 2 Rades 2040 , RADES, TUNISIA, 2040","","","https://www.freightnet.com/profile/146701.htm","No"
"performance  logistique  service","17rue  kemal  attaturk 1001  tunis , tunis, 11, 1001","","","https://www.freightnet.com/profile/250723.htm","No"
"24/7 LOGISTICS","PL Hached, Imm Hadrumet B1-3, Sousse 4000, Tunisia , TUNISIA, SOUSSE, 4000","","","https://www.freightnet.com/profile/254902.htm","No"
"TCT TUNISIE","01 RUE SALAH EDDINE AYOUBI , RADES, TUNISIA, 2040","","","https://www.freightnet.com/profile/185864.htm","No"
"D'Alessandro Logistics","Espace Mediterranée , Zone portuaire Rades, Rades, Ben Arous, 2040","","","https://www.freightnet.com/profile/114684.htm","No"
"CARMAS","134 Route du Bac, ZI Radès,, Tunis, Tunisia, 2040","","","https://www.freightnet.com/profile/52233.htm","No"
"FAST FREIGHT","CENTRE URBAIN NORD RESIDENCE LE PALACE , BLOC A 2EME ETAGE APP 9, TUNIS, TUNISIE, 2080","","","https://www.freightnet.com/profile/219548.htm","No"
"COMAS+","RUE ABDERRAHMAN AZZEM , BLOC A, BUR A14, TUNIS, TUNISIA, 1073","","","https://www.freightnet.com/profile/219253.htm","No"
"环发讯通宁波分公司","中国 浙江 宁波 鄞州区 , 中国 浙江 宁波 鄞州区, 中国 浙江 宁波 鄞州区, 中国 浙江 宁波 鄞州区","","","https://www.freightnet.com/profile/211593.htm","No"
"INTERNATIONAL MARITIME SERVICES IMS","141 avenue Hédi Nouira route du bac , Rades, TUNISIA, 1125","","","https://www.freightnet.com/profile/169051.htm","No"
"franco tunisienne de transport et logistique","zone portuaire rades , benarous, tunisia, 2040","","","https://www.freightnet.com/profile/206057.htm","No"
"Maxcess Logistics","33 , Street Mohamed Ali, Rades, 13, 2040","","","https://www.freightnet.com/profile/188354.htm","No"
"SOCIETE LOGISTIC SERVICE","RESIDENCE AZUR 117 , AVENUE HABIB BOURGUIBA, TUNIS, TUNIS, 2015","","","https://www.freightnet.com/profile/185356.htm","No"
"STUMAR AGENCY & TRANSIT","Zone Portuaire Rades 2040 , benarous, tunisia, 1001","","","https://www.freightnet.com/profile/195032.htm","No"
"STUMAR","zone portuaire 2040 rades,TUNISIA  , zone portuaire 2040 rades, TUNISIA, RADES, TUNISIA, 2040","","","https://www.freightnet.com/profile/191860.htm","No"
"ALLIANCE SHIPPING TUNISIA","Rue 8612 Impasse n° 5 2035 Charguia 1 – TUNISIA , Tunis, Tunis, 2035","","","https://www.freightnet.com/profile/191769.htm","No"
"GTS TUNISIA","8609 D 1- 3 Charguia 1-2035 Tunis carthage , 8609 D 1- 3 Charguia 1-2035 Tunis carthage, Charguia, Tunisia, 8609","","","https://www.freightnet.com/profile/182782.htm","No"
"Freight Cargo & Logistics","27 Rue 1er Juin Cité Taamir , ben arous, tunisia, tunisia, 2013","","","https://www.freightnet.com/profile/163290.htm","No"
