"name","address","phone","website","profileUrl","isPremiumMember"
"turkey cargo","tekstilkent caddesi a7 blok no:14 , bahce girisi 34235, esenler, istanbul türkiye, 34235","","","https://www.freightnet.com/profile/258048.htm","No"
"SAFARI CARGO VIETNAM","442 Nguyen Thi Minh  , Ho chi minh, ho chi minh, 756000","","","https://www.freightnet.com/profile/148655.htm","No"
"SK LOJİSTİK LTD STI","cargo@sklojistik.com , istanbul, BÜYÜKÇEKMECE, 34500","","","https://www.freightnet.com/profile/260718.htm","No"
"Medeks International Cargo & Courier Transportation Ltd.","Bayraklıdede Mah. Selçuk Bulvarı Cruise Avm No:43 Kuşadası/Aydın 09400 , Aydın, Kuşadası, 09400","","","https://www.freightnet.com/profile/259047.htm","No"
"GSR NETWORK","Sahrayıcedit Mahallesi Atatürk Caddesi No:69/190 Mesa Koz Kadıköy , İstanbul, Kadıköy, 34734","","","https://www.freightnet.com/profile/241176.htm","No"
"EMAX LOGISTICS","127322, Yablotchkova str, building 27 / 2, unit 27, Moscow, Russian Federation , Moscow, Russia, 127322","","","https://www.freightnet.com/profile/215931.htm","No"
"Fsc Logistics and Foreign Trade LLC","ATAKOY 7-8-9-10. KISIM MAH.  , COBANCESME E-5 YAN YOL CAD., BAKIRKOY, İSTANBUL, 34158","","","https://www.freightnet.com/profile/245713.htm","No"
"FS SERVİCE LOGİSTİK","izmir turkey , izmir, İzmir, 35170","","","https://www.freightnet.com/profile/242846.htm","No"
"Fİ LOJİTEK","Inkilap Mah. , Ümraniye, İSTANBUL, 34768","","","https://www.freightnet.com/profile/239770.htm","No"
"hilal lojıstık","ayazaga mah g137 sok no 6 , İstanbul, Kadıköy, 34734","","","https://www.freightnet.com/profile/241175.htm","No"
"3E LOGISTICS","ISTANBUL / TURKEY , ISTANBUL, TURKEY, ATASEHIR 34567","","","https://www.freightnet.com/profile/194322.htm","No"
"SKYAIR","Mall Of Residance Ofis Plaza No28 , Basaksehir, Istanbul, Turkey, 34900","","","https://www.freightnet.com/profile/161710.htm","No"
"SKY LOGISTICS","ZIYA GOKALP MAH SULEYMAN DEMIREL BLV THE RESIDENCE B 200 BASAKSEHIR , ISTANBUL, Istanbul, 34889","","","https://www.freightnet.com/profile/211457.htm","No"
"UMT ULUSLARARASI TASIMACILIK A.S","NURI PASHA 10 SOK 53 A , ZEYTINBURNU, ISTANBUL, TURKEY, 34015","","","https://www.freightnet.com/profile/197815.htm","No"
"ELEMENT LOGISTIC","Şehit Polis Fethi Sekin Caddesi , no:4 kat:28 D:281-282 Novus Tower, IZMIR, TURKEY, 35530","","","https://www.freightnet.com/profile/202377.htm","No"
"delfino lojistics","atay caddesi , site mahallesi, istanbul, türkiye, 34000","","","https://www.freightnet.com/profile/181143.htm","No"
"FAST EXPRESS COURIER","1419 Sokak No:18A , Kahramanlar, IZMIR, TURKEY, 35000","","","https://www.freightnet.com/profile/119545.htm","No"
"EMATRANS INTERNATIONAL LOGISTICS LTD","FEVZI ÇAKMAK MAH. YILDIRIM BEYAZIT CAD. EMA PLAZA NO:171 , Istanbul, TURKEY, 34197","","","https://www.freightnet.com/profile/163471.htm","No"
"Tuneks Express","Fevzi Cakmak Mh. , 10503 Sk. No:21, Karatay, Konya, 42050","","","https://www.freightnet.com/profile/159204.htm","No"
"SKYAIR","Mall Of Residance Ofis Plaza No28 , BASAKSEHIR, ISTANBUL, 34900","","","https://www.freightnet.com/profile/152900.htm","No"
"sarus logistics","doseme mah baysan is mrkz kat 5 608-1 , adana, TURKEY, 01100","","","https://www.freightnet.com/profile/149993.htm","No"
"Now Kargo","Fatih, Istanbul. , istanbul, turkey, 34134","","","https://www.freightnet.com/profile/142617.htm","No"
"Turkish Airlines","Genel Mudurluk Binasi Ataturk Havalimani , Yesilkoy, Istanbul, 34830","","","https://www.freightnet.com/profile/9107.htm","No"
"SKZ LOGISTICS","1145/9 Sokak No:9 , Yenişehir / İzmir / TÜRKİYE, IZMIR, TURKEY, 35100","","","https://www.freightnet.com/profile/104881.htm","No"
"arriva trans","istanbul , istanbul, bahelievler, 34330","","","https://www.freightnet.com/profile/99565.htm","No"
"Reibel A.S.","Kennedy CAD 18/8 , Ankara, Kavaklidere, 06680","","","https://www.freightnet.com/profile/21872.htm","No"
"NBK AIR CARGO AVIATION","Nish İstanbul Blokları.C blok Kat:15 D:174 , istanbul, turkey, 34196","","","https://www.freightnet.com/profile/108220.htm","No"
"deniz tarim ltd şti","sanayi cad.  no :  8 nizip/ gaziantep , nizip, güneydoğu anadolu bölgesi, 27700","","","https://www.freightnet.com/profile/111206.htm","No"
