"name","address","phone","website","profileUrl","isPremiumMember"
"VoL-Log Logistics","Çobançeşme Mah. Sanayi Cad. Nish Residence Sitesi B Blok No:44B , Bahçelievler, İstanbul, Turkey, 34160","+90 5316684645","","https://www.freightnet.com/profile/259101.htm","Yes"
"GLOBAL CONTAINER LINE","MASLAK MH. ESKIBUYUKDERE CD. , NO:7 D:1 GIZ 2000 PLAZA SARIYER, ISTANBUL, TURKEY, 3890783179","+90 212 547 92 47","http://www.globalcntrline.com/","https://www.freightnet.com/profile/139553.htm","Yes"
"GK Han Logistics","ATAKÖY 7-8-9-10. KISIM MAH. ÇOBANÇEŞME E-5 YAN YOL CAD. A NO: 22 /1 BAKIRKÖY, Istanbul, Turkey, 34158","+905060436246","https://www.gkhanlogistics.com/","https://www.freightnet.com/profile/245868.htm","Yes"
"PONTE LOJISTIK SAN. ve TIC. LTD. STI.","1456 Sok. No:8 K:5 D:13 Berin Aksoy İş Merkezi Alsancak , İzmir, Turkey, 35220","00902323355630","http://www.pontelogistics.com/","https://www.freightnet.com/profile/148191.htm","Yes"
"SILK AND SEA DIS VE IC TICARET LIMITED SIRKETI","GUZELCE MAH., KIYI SOKAKA No 19/1, ISTANBUL, BUYUKCEKMECE, 34530","00 90 850 885 0757","http://www.silkandsea.net/","https://www.freightnet.com/profile/184614.htm","Yes"
"MAYA TURKEY TASIMACILIK VE TIC.A.S.","19 MAYIS MAHALLESİ İNÖNÜ CADDESİ SÖNMEZ APT. NO: 72 DAİRE:3 KOZYATAĞI- KADIKÖY, KADIKÖY, İstanbul, 34736","05424000045","http://www.maya-turkey.com/","https://www.freightnet.com/profile/247255.htm","Yes"
"GIFF Lojistik  Gemi Acenteligi San ve tic Ltd Sti.","Camiserif Mh.105 Cd.Karabulut ise Mrkz. 1.Kat no: 6 33100 ,  D-U-N-S® Numarası : 50-444-7219, Mersin, Akdeniz, 33100","+90 533 472 78 90","http://www.gifflogistics.com/","https://www.freightnet.com/profile/20677.htm","Yes"
"Miveka Global Logistics","1385 Sok. Yeni Asir Is Mrkz. No: 3/46, Konak, Izmir, 35210, IZMIR, TURKEY, 35210","+90 532 6585124","http://www.mivekaglobal.com/","https://www.freightnet.com/profile/141263.htm","Yes"
"Conturk Shipping","Kosuyolu cad. no:60 Kadikoy, Kadikoy Istanbul, Turkey, 34718","00902163252299","http://www.conturk.com/","https://www.freightnet.com/profile/49022.htm","Yes"
"Yen Lojistik Tic.Ltd.Şti.","Karslı Ahmet Cad.No.11 D.15 İçerenköy Ataşehir, İstanbul, Turkey, 34752","+905323821458","https://www.yenlogistic.com/","https://www.freightnet.com/profile/182034.htm","Yes"
