"name","address","phone","website","profileUrl","isPremiumMember"
"BEYIMEX IC VE DIS TICARET","ANKARA/ TURKEY , ANKARA, Ankara, 06370","","","https://www.freightnet.com/profile/251423.htm","No"
"NILOS MARITIME & FOREIGN TRADE LTD","Savas Mah. 41.Sok. No:3 Murathan K:3 D:5 , İskenderun, Hatay, 31200","","","https://www.freightnet.com/profile/213831.htm","No"
"perre logistics","d blok kat no 101 sehitkamil  gaziatep , 10679 sokak no 7 karatay konya, konya, turkey, 42050","","","https://www.freightnet.com/profile/118905.htm","No"
"mraskargo","KUŞTEPE MAH .İNÖNÜ CADDESİ NO: 6 IÇ KAPI NO:33 Şişlı/İstanbul , 000, turkey, 34380","","","https://www.freightnet.com/profile/196633.htm","No"
"ORECHEM FOREIGN TRADE CONSULTANCY LOGISTICS TURKEY","Haciseyitali Mh. 153066 Sk. 6/201 , Konya, Central Anatolia, 42370","","","https://www.freightnet.com/profile/156144.htm","No"
"ABC LOGISTICS","ANBAR MEVKİİ OSMAN KAVUNCU BULVARI NO:500 MELİKGAZİ KAYSERİ , KAYSERİ, TURKEY, 38070","","","https://www.freightnet.com/profile/153749.htm","No"
"Demas International Logistics","Muhittin Ustundag CAD. 49-51/A 34718 , Kadikoy, Istanbul, 34718","","","https://www.freightnet.com/profile/19554.htm","No"
"Airmark","Omer Avni mah.Dumen sok. Gumussuyu Is Merkezi  , No11 K4 Gumussuyu Taksim, Istanbul, 34437","","","https://www.freightnet.com/profile/22060.htm","No"
"Jetonair","Yesilyurt Mah.Arslan Sok. Huzur Apt. No: 19 B-1 , istanbul, turkey, 34149","","","https://www.freightnet.com/profile/116459.htm","No"
"RCI Shipping and Trading","Ata Cad 14 , Istanbul, Istanbul, 34000","","","https://www.freightnet.com/profile/128101.htm","No"
