"name","address","phone","website","profileUrl","isPremiumMember"
"HASTUR LOJİSTİK NAKLİYAT PETROL İNŞAAT GIDA SANAYİ VE TİCARET LİMİTED ŞİRKETİ","Dicle Mah. İpekyolu Blv. Sadık Künefe Üstü Nova Apt. A. Blok Kat:3 Dış Kapı No:10 Daire:10 , Silopi, Şırnak, 73400","","","https://www.freightnet.com/profile/264885.htm","No"
"ERLOG GLOBAL LOJİSTİK VE DIŞ TİC. LTD. ŞTİ.","üniversite mahallesi çayırbaşı sokak no 9 daire 7 , İstanbul, Turkiye, 34310","","","https://www.freightnet.com/profile/261160.htm","No"
"BMF LOJİSTİK ULUS.TAŞ.TİC.LTD.ŞTİ","çatalca , istanbul, istanbul, çatalca, 34000","","","https://www.freightnet.com/profile/259777.htm","No"
"Emre Aytaş Uluslararası Nakliyat","Bekirdere Mah, Cumhuriyet 5 caddesi No:117/a, 33020 Akdeniz/Mersin , Mersin, Akdeniz, 33115","","","https://www.freightnet.com/profile/259346.htm","No"
"ZORT Logistics","Turkey 16 , Bursa, Bursa, Yıldırım, 16350","","","https://www.freightnet.com/profile/246120.htm","No"
"VESTA LOJISTIK LTD STI","GOKEVLER MAH 2312. SOK NO 16 , GINZA CORNER PLAZA 142, ESENYURT, ISTANBUL, 34517","","","https://www.freightnet.com/profile/149543.htm","No"
"YUKSEL LOJİSTİK","Kuruçay mh D100 karayolu caddesi no:255 Michelin Yuksel Group , bolu, merkez, 14100","","","https://www.freightnet.com/profile/227040.htm","No"
"DTTRANS LOJISTIK DIS TICARET LTD. STI","Güvenevler Mh. 1947 Sk. Optima İş Merkezi Sitesi A1 Blok No:25/1 İç Kapı No:9 , Yenişehir, Mersin, 33140","","","https://www.freightnet.com/profile/196776.htm","No"
"Platform Int Transport","Kavasli Mh. Ataturk Cd. Askaroglu Apt. No:46/16  , Odabasi Beldesi, Antakya, Hatay, 31040","","","https://www.freightnet.com/profile/17836.htm","No"
"ELİFCAN ULUSLARARASI TAŞIMACILIK","İSK.YOLU ÜZE.NAK.SİTESİ D.BLOKKAT.2 , ANTAKYA HATAY, HATAY, TURKIYE, 31000","","","https://www.freightnet.com/profile/171354.htm","No"
"Ramtaş Lojistik Ulus. Taş. Fid. ve Tic. Ltd. Şti.","General Şükrü Kanatlı Mahallesi, Kanatlı Caddesi, Mehmet Bulgurcu APT. D:2 NO:33 , ANTAKYA, Hatay / Türkiye, 31030","","","https://www.freightnet.com/profile/176802.htm","No"
"Omega Project Logistics and Heavy Transport Co.","Hacimimi mah Arapoglan Sk Sedef Is Merkezi , Karakoy Beyoglu, beyoglu, turkey, 34425","","","https://www.freightnet.com/profile/99832.htm","No"
"EGE EKSPRES LOGISTICS SOLUTIONS","1464 SOK. NO.81 ALSANCAK - IZMIR , IZMIR, TURKEY, 35220","","","https://www.freightnet.com/profile/51987.htm","No"
"Logeast SRL","Cayyolu Mahallesi 2706 Sk.5/24 Angora Is Merkezi Cankaya   , Ankara, Turkey, 06810","","","https://www.freightnet.com/profile/140208.htm","No"
"ELCIK International Transportation","Yeni Mah. 119. Cad. Mahmut Torun is Merkezi kat:5/19 , Akdeniz, Mersin, 33050","","","https://www.freightnet.com/profile/127083.htm","No"
"EKSA ULUSLARARASI NAKLIYAT VE DIS TIC LTD STI","FATİH MAH YAKACIK CAD NO 30 ORTADAĞ , İSTANBUL, TURKEY, 34885","","","https://www.freightnet.com/profile/146557.htm","No"
"İZNAK LOJİSTİK","5745/2 sk. no.5 MTK SİTESİ ÇAMDİBİ-İZMİR , İZMİR, İZMİR, 35000","","","https://www.freightnet.com/profile/141198.htm","No"
"İZNAK LOJİSTİK","5745/2 sk. no.5 MTK SİTESİ ÇAMDİBİ-İZMİR , İZMİR, İZMİR, 35000","","","https://www.freightnet.com/profile/138250.htm","No"
"İKRA LOJİSTİK ULUSLARARASI TAŞIMACILIK ve TİC.AŞ.","Rüzgarlıbahçe Mahallesi Cumhuriyet Caddesi No:91 / 3 Kavacık - Beykoz / İstanbul , İSTANBUL, TR - Turkey, 34805","","","https://www.freightnet.com/profile/137331.htm","No"
"GÜVENOK","İSTANBUL / ÜSKÜDAR , ÇAMLICA, İSTANBUL, 34460","","","https://www.freightnet.com/profile/121402.htm","No"
"DIDITRANS INTERNATIONAL TRANSPORT LLC","FERHATPASA MHÇ G67 SK NO 11-A / ATASEHIR , İSTANBUL, TURKEY, 34888","","","https://www.freightnet.com/profile/109684.htm","No"
"KDH Logistic","Prof.Ali Nihat Tarlan cad. Demircioglu is merkezi No:108 Kat :4 D:4 , Icerenkoy Atasehir, istanbul, Turkey, 34752","","","https://www.freightnet.com/profile/112645.htm","No"
