"name","address","phone","website","profileUrl","isPremiumMember"
"MTG logistics","Turkmenistan , Ashgabat, Turkmenistan, 744005","","","https://www.freightnet.com/profile/256692.htm","No"
"TKIM EXPRESS","Turkmenistan Mary country Mary city  , Mary, Turkmenistan, 745400","","","https://www.freightnet.com/profile/243629.htm","No"
"Tylla Nal Logistics","Gorogly str, bldg#1, 1fl, 744000, Ashgabat, Turkmenistan , Ashgabat, Ashgabat, 744000","","","https://www.freightnet.com/profile/222675.htm","No"
"Gama Trade and Logistics","Ashgabat , Ashgabat, Turkmenistan, 744000","","","https://www.freightnet.com/profile/235075.htm","No"
"Kervan Logistics","Ashgabat, Turkmenistan , Ashgabat, Ahkal, 744000","","","https://www.freightnet.com/profile/207446.htm","No"
"Eminli Maslahat","Legal address: 83, 1972 Street (Ataturk), Ashgabat, Turkmenistan 744000 , Legal address: Turkmenistan, Ashgabat, st.  1972 (Ataturk) 83, 744000, Ashgabat, Turkmenistan, Ashgabat, Turkmenistan 744000","","","https://www.freightnet.com/profile/206672.htm","No"
"Halkara Hyzmat","Garashsyzlyk Ave 49/7 , Ashgabat, Turkmenistan, 744000","","","https://www.freightnet.com/profile/116735.htm","No"
"Arassa Express","Garashsyzlyk street , building No 19, Ashgabat, Turkmenistan, 744000","","","https://www.freightnet.com/profile/57076.htm","No"
"Bir Dunya","1916 Street (former Baba Annanov Street) , Ashgabat, Turkmenistan, Ashgabat, Ashgabat, 744035","","","https://www.freightnet.com/profile/99900.htm","No"
"Taze Usul ES","Bytarap Turkmenistan Shayoly, 87/1 , Ashgabat, Turkmenistan, 744000","","","https://www.freightnet.com/profile/96348.htm","No"
"Murphy Turkmenistan","Garashsyzlyk street, Building No 19, First floor, right wing, Ashgabat, Turkmenistan , ASHGABAT, Turkmenistan, 744000","","","https://www.freightnet.com/profile/88287.htm","No"
"HALKARADOSTLUK","Bitarap Türkmenistan Str 113/1 Ashgabat/Turkmenistan , Bahry-Hazar Str 4/7 Turkmenbashi/Turkmenistan, Ashgabat, Turkmenistan, 744000","","","https://www.freightnet.com/profile/86632.htm","No"
"LLC Point Logistics","Ashgabad, Turkmenistan, old airport area location , Russia, Moscow, Burakova street, 27, Asgabat, Turkmenia, 745000","","","https://www.freightnet.com/profile/56018.htm","No"
"Globalink Logistics Group","Mir 2/1, Emperial Business Center Yunus Emre (1951) Street , No 1, Suite 33A, Ashgabad, 744000","","","https://www.freightnet.com/profile/18760.htm","No"
"Easy Shipping","5, Azadi Street , Ashgabat,","","","https://www.freightnet.com/profile/3660.htm","No"
"ERSAY TRANSPORT","STREET , ASHGABAT, ASHGABAT, 10245","","","https://www.freightnet.com/profile/54858.htm","No"
"BYYTM","Gorogly 130 , Ashgabat, Turkmenistan, 744000","","","https://www.freightnet.com/profile/59324.htm","No"
"M&M Militzer & Muench Turkmenistan Ltd.","Garashsyzlyk Avenue,19/1 , Ashgabat, Turkmenistan, 744036","","","https://www.freightnet.com/profile/133791.htm","No"
