"name","address","phone","website","profileUrl","isPremiumMember"
"WEST  EMIRATES SHIPPING  LLC","DUBAI , DUBAI, UNITED ARAB EMIRATES, 0990","+971504635178","","https://www.freightnet.com/profile/251488.htm","Yes"
"DJIBOUTI COAST SHIPPING LLC","MURSHID BAZAAR STREET, OPPOSITE AL ANSARI EXCHANGE, DUBAI, DEIRA, 4448","+971568230161","","https://www.freightnet.com/profile/256812.htm","Yes"
"Heksago Cargo L.L.C","g-03, Al Fattan Sky Towers, Umm Ramool, Dubai, UAE, Dubai, UAE, 00000","+971543401028","","https://www.freightnet.com/profile/261761.htm","Yes"
"SKYLIGHT CARGO","Deira , Deira bulding, Dubai, United Arab Emirates, 3412","","","https://www.freightnet.com/profile/263812.htm","No"
"AIRCENTRIX FREIGHT LLC","DUBAI INVESTMENT PARK 2 , DUBAI, UNITED ARAB EMIRATES, 0000","","","https://www.freightnet.com/profile/265419.htm","No"
"Aeriz way logistics llc","naif , deira, dubai, 00000","","","https://www.freightnet.com/profile/263420.htm","No"
"Air Cargo Trader LLC","Office no 2033, Cargo Agents Building A , Dubai Cargo Village, Dubai, United Arab Emirates, 28359","","","https://www.freightnet.com/profile/230057.htm","No"
"EXONIC SHIPPING LLC","218 RKM BUILDING, HOR AL ANZ, DUBAI, DUBAI, UNITED ARAB EMIRATES, 32014","","","https://www.freightnet.com/profile/263530.htm","No"
"Goodwave cargo","Warehouse 27, 18 A Street Ras Al Khor Industrial A , Warehouse 27, 18 A Street Ras Al Khor Industrial A Du, Dubai, Dubai, 25314","","","https://www.freightnet.com/profile/262447.htm","No"
"SafeBox Logistics","Dnata Freight Gates Building, Office 120, Dubai International Aiport, Dubai, United Arab Emirates , dubai, UAE, 0000","","","https://www.freightnet.com/profile/257248.htm","No"
"ON BOARD FLIGHT","Z Business Center 1, M Floor, The Meydan Hotel, Nad Al Sheba Dubai - United Arab Emirates , B, Émirat ARAB UNI, 25314","","","https://www.freightnet.com/profile/252216.htm","No"
"Ferris Air Cargo Services","Bar Ubax , Mogadishu, BN, N","","","https://www.freightnet.com/profile/245690.htm","No"
"RBJ SHIPPING L.L.C","Office No. 307 Sheikh Mohammed bin Rashid Al Maktoum , Humanitarian Foundation - Al-Riqqa, Dubai, Dubai, United Arab Emirates, 28918","","","https://www.freightnet.com/profile/202320.htm","No"
"AL ZAINAB FOR CARGO PACKAGING CO.","Warehouse No121, Street No. 23 Industrial Area No.2 Ras Al Khor Dubai , Dubai, Dubai, 00000","","","https://www.freightnet.com/profile/246052.htm","No"
"Ramas Cargo","Warehouse No121, Street No. 23 Industrial Area No.2 Ras Al Khor Dubai , Dubai, Dubai, 00000","","","https://www.freightnet.com/profile/246051.htm","No"
"THEROYALEXPRESSTRAVELS","212 West 91st Street , USA, united status, 10024-1327","","","https://www.freightnet.com/profile/222901.htm","No"
"AMIGOS","DUBAI , DUBAI, DUBAI, 45678","","","https://www.freightnet.com/profile/231840.htm","No"
"Air Cargo Gulf Charter DWC-LLC","Dubai South HQ, Office 213 | Dubai | UAE , dubai, UAE, 8353","","","https://www.freightnet.com/profile/225697.htm","No"
