"name","address","phone","website","profileUrl","isPremiumMember"
"INDIAN COURIER SERVICE INTERNATIONAL","SHOP NO:15 AL SABKHA ROAD , DEIRA, DUBAI, 57745","","","https://www.freightnet.com/profile/208049.htm","No"
"Ezra general transport","office no : 104 as salami 8 St , musaffah, abu dhabi, 73","","","https://www.freightnet.com/profile/261619.htm","No"
"GTX LOGISTICS LLC","SHOP#8,WARSAN STAR RESIDENCE BUILDING , AL WARSAN, Dubai, إمارة دبيّ, 117486","","","https://www.freightnet.com/profile/256289.htm","No"
"HUBLUNK SHIPPING LLC","203 Crystal Building Al Karama , DUBAI, United Arab Emirates, 122626","","","https://www.freightnet.com/profile/183443.htm","No"
"ICCS express","Omer ibn alkhatab road  , Zenith building, Dubai, Uae, 1","","","https://www.freightnet.com/profile/203906.htm","No"
"RU DOVE LOGISTICS L.L.C","Dubai , Dubai, United Arab Emirates, 282253","","","https://www.freightnet.com/profile/215760.htm","No"
"Najmat Sufian General Trading LLC","Murshid Bazar  , Office 103, Dubai, United Arab Emirates, 97100","","","https://www.freightnet.com/profile/185744.htm","No"
"MARAKISH EXPRESS CARGO","DUBAI CARGO VILLAGE , DUBAI, DUBAI, 293004","","","https://www.freightnet.com/profile/151625.htm","No"
"AAC CARGO","AL NAYLI BUILDING ABU HAIL MEZZANINCE FLOOR M5,Deira, DUBAI, UAE , Diera, Dubai, UAE, DUBAI, 93915","","","https://www.freightnet.com/profile/160319.htm","No"
"Fast Delivery Cargo Services","Ezdan P.E.O Camp , office No.13 Industrial Area  , Street No.11, Ar-Rayyan ,Doha , Qatar, Doha, QATAR, 14430","","","https://www.freightnet.com/profile/187708.htm","No"
"SKYEXPRESS INTERNATIONAL LLC","Shed 5B, Street 7A, Al Khabaisi, Deira , Dubai, UAE, 5239","","","https://www.freightnet.com/profile/169171.htm","No"
"Smooth Express Cargo Services","Millennium Plaza, Sheikh Zayed Road, Opposite Emirates Tower Metro Station , Dubai, Dubai, 5633","","","https://www.freightnet.com/profile/168028.htm","No"
"Online Distribution Logistics LLC","Damascus Street  , Dubai, Dubai, UAE Dubai, 27406","","","https://www.freightnet.com/profile/155902.htm","No"
"PREM DUTT LOGISTICS INTL LLC","WARE HOUSE 1080  , CARGO VILLAGE, DUBAI, U.A.E, 4","","","https://www.freightnet.com/profile/117870.htm","No"
"KS CARGO SERVICES","410 AL SUWADI BUILDING DEIRA DUBAI  , FRIJ AL MURAR, DUBAI/UAE, 0000000","","","https://www.freightnet.com/profile/146717.htm","No"
"dash cargo services","dubai - karama , dubai, UAE, 444988","","","https://www.freightnet.com/profile/140923.htm","No"
"ARDIAN GLOBAL EXPRESS LLC","NEAR NAKHEEL CENTER , DEIRA, DUBAI, UNITED ARAB EMIRATES, 12491","","","https://www.freightnet.com/profile/134054.htm","No"
"Online Distribution Logistics LLC","Damascuess Street , Al Qusais . Dubai UAE  , PO Box 27406, Dubai UAE, Dubai, UAE, 27406","","","https://www.freightnet.com/profile/59795.htm","No"
"Protech Dubai Ltd FZE","17 The Iridium Building, Umm Suqeim Road, Al Barsha P.O. Box 391186 Dubai , Dubai, UAE, Box 391186","","","https://www.freightnet.com/profile/106141.htm","No"
"Rapid Transit Force","208, Aghaadir, Kuwait Street, Bur Dubai, Dubai , P.O Box # 118744, Dubai, United Arab Emirates, 118744","","","https://www.freightnet.com/profile/92070.htm","No"
"APL GLOBAL LOGISTICS","Dubai Cargo Village , Dubai, Dubai, UNITED ARAB EMIRATES, 60163","","","https://www.freightnet.com/profile/89597.htm","No"
"STEELCO International Trading","Office No. 519, 5E A, Dubai Airport Freezone    , Dubai, Dubai, No.371049","","","https://www.freightnet.com/profile/104650.htm","No"
"Tristar Transport LLC.","Near Binani Cement , Jebel Ali Industrial Area-2, Dubai, DUBAI, 11111","","","https://www.freightnet.com/profile/60933.htm","No"
"TCS Express Worldwide LLC","5 Abdullah Mohammad Rashid Saif Building , Old Steel Mill Road-Umm Ramool, Dubai, UAE, 29575","","","https://www.freightnet.com/profile/81863.htm","No"
"TCS Express Worldwide","PO Box 29575 , Rashidiya, Dubai, 29575","","","https://www.freightnet.com/profile/23414.htm","No"
