"name","address","phone","website","profileUrl","isPremiumMember"
"PAS CLEARING AND FORWARDING LLC","303, OPAL TOWER, BUSINESS BAY , DUBAI, UAE, DUBAI, UAE, 111521","","","https://www.freightnet.com/profile/266133.htm","No"
"SIGNATURE MARK SHIPPING SERVICES LLC","FZ S1  BB03 , Jabal ali freezone, dubai, UNITED ARAB EMIRATES, 00000","","","https://www.freightnet.com/profile/263429.htm","No"
"INTERLINK FREIGHT AGENCY LLC","DUBAI INTERNATIONAL AIRPORT, CARGO MEGA TERMINAL, DUBAI CARGO VILLAGE, OFFICE#1070, NEAR DUBAI CUSTOMS, DUBAI, UAE, 187177","","","https://www.freightnet.com/profile/54894.htm","No"
"Blue Deebaj Shipping LLC","Noor Talebi Building - 1 - 101 44a St - Old Textile Market - Dubai , Dubai, Other Country, 51577","","","https://www.freightnet.com/profile/261323.htm","No"
"Amakin Shipping LLC","OFFICE116 , SHAIKHA MHARA AL QUSAIS BUILDING, DUBAI, DUBAI, 237951","","","https://www.freightnet.com/profile/181434.htm","No"
"Muhammad Imam Customs Broker LLC","Dubai , Dubai, United Arab Emirates, 0000","","","https://www.freightnet.com/profile/241526.htm","No"
"west golden cargo llc","20 24 st - ras alkhor first , 19, dubai, dubai, 18857","","","https://www.freightnet.com/profile/211822.htm","No"
"Sea and Sky Logistics FZCO","Office 508, Building 3E Dubai Airport Free Zone , Dubai, United Arab Emirates, 4174","","","https://www.freightnet.com/profile/226006.htm","No"
"Mecca Quick Services","United Arab Emirates  , Abudhabi, Khalidiya, Abudhabi, Khalidiya, United Arab Emirates, 4482","","","https://www.freightnet.com/profile/185360.htm","No"
"Alma Cargo Forwarding & Clearing L.L.C","Al Quoz  , Dubai, Dubai, Dubai, 20638","","","https://www.freightnet.com/profile/179644.htm","No"
"Alfa Trans CARGO CLEARANCE & CUSTOMS BROKER","Dubai International Airport , Dubai Cargo Village, Dubai, UAE, 187177","","","https://www.freightnet.com/profile/59304.htm","No"
"GWC Global Cargo","Cargo Village , Garhoud, Dubai, UAE, 1176","","","https://www.freightnet.com/profile/53580.htm","No"
"REAL POWER SHIPPING SERVICES LLC","P.O.BOX 241931 , , Dubai, 241931","","","https://www.freightnet.com/profile/52921.htm","No"
"NAIR FREIGHT FORWARDING","PO BOX 4611 , , Dubai, 4611","","","https://www.freightnet.com/profile/52298.htm","No"
"Ali Ahmed Al Zara Customs clearance and Transporters","No 56 Al Hotaibi Mall , King abdul aziz road, Sihat , Dammam, KIngdom of Saudi Arabia, 15","","","https://www.freightnet.com/profile/121178.htm","No"
