"name","address","phone","website","profileUrl","isPremiumMember"
"Maxspeed Logistics LLC","Karama, Dubai, Dubai, Duabi, 41062","45651990","","https://www.freightnet.com/profile/262636.htm","Yes"
"SKYLIGHT CARGO LLC","DEIRA, GOLD SOUK, DUBAI, UNITED ARAB EMIRTES, 3345","+971542761040","http://www.skylightcargouae.com/","https://www.freightnet.com/profile/266042.htm","Yes"
"Crown Links Shipping LLC","Office# M08A, New Al Safiya Building Abu Hail, Dubai, Abu Hail, United Arab Emirates, 0000","0097142577582/00971565384127","https://crownlinkshipping.com/","https://www.freightnet.com/profile/251700.htm","Yes"
"HYPERLOOP SHIPPING LLC","FZS1BE07 , JEBEL ALI FREEZONE, JEBEL ALI, DUBAI, .","043292400","http://www.hyperloopshipping.com/","https://www.freightnet.com/profile/235567.htm","Yes"
"DELTA ROYAL SHIPPING & CARGO LLC","GOLD SOOQ METRO STATION BUILDING, ONE DEIRA MALL. OFFICE:605., DUBAI, UAE, 00000","+971 54 279 6447","","https://www.freightnet.com/profile/237169.htm","Yes"
"Arges Freight FZE","C1 - 1F - SF5837 | C1 Building | Business District, P.O Box: 932 | Ajman Free Zone | Ajman | U.A.E., Ajman, Ajman, 932","+971585070733","http://www.argesfreight.com/","https://www.freightnet.com/profile/258689.htm","Yes"
"ICM CARGO LLC","402, Al Waleed Building, 1 Al Rolla Street, Al Raffa, Opposite Port Rashid & Customs House, Bur Dubai, United Arab Emirates, 115471","00971559500382","http://www.icmcargo.com/","https://www.freightnet.com/profile/252796.htm","Yes"
"Penffer Freight Services SP LLC","Hamdan St, Hamdan St, Abu Dhabi, UAE, 25806","+971524961465","http://www.penffer-freights.com/","https://www.freightnet.com/profile/187801.htm","Yes"
"DHL Global Forwarding","abu dhabi, ABU DHABI, Abu Dhabi, 27066","0564143158","","https://www.freightnet.com/profile/239511.htm","Yes"
"Apeiron International Cargo LLC","Office 85, Oasis Center, Dubai, United Arab Emirates, 00","00971507372395","","https://www.freightnet.com/profile/264994.htm","Yes"
"ALS Global Shipping & Logistics LLC","AL QUSAIS, INDUSTRIAL AREA 1, DUBAI, United Arab Emirates, 00000","0583039808","http://www.alsshipping.com/","https://www.freightnet.com/profile/265880.htm","Yes"
"seago shipping","M-03, AL KHABEESI BUILDING PLOT 128-246, deira,dubai, dubai, united arab emirates, 25314","0521982804","https://seagoshipping.com/","https://www.freightnet.com/profile/263139.htm","Yes"
"Solution DWC LLC","E138, Dubai Logistics City, Dubai, UAE, P.O.Box: 126195, Dubai, UAE, 01992","+971 4 8875117","http://www.solutiondwc.com/","https://www.freightnet.com/profile/149279.htm","Yes"
"Astro World International LLC","05-61, M Floor Hashtag Business Center, City Gate Build Port Saeed Dubai UAE, Dubai, Dubai, 9305","00971581322996","https://www.astroworld-int.com/","https://www.freightnet.com/profile/257535.htm","Yes"
"OAK Shipping and logistics LLC","1215 Al Manara Tower, Busines Bay, Dubai, UAE, 33879","00971501196849","http://oaksl.ae/","https://www.freightnet.com/profile/248482.htm","Yes"
"HAF SHIP FZ LLC","Tamani Arts Offices, Business Bay, Dubai, 1","+971 55 431 4252","http://www.hafship.com/","https://www.freightnet.com/profile/258636.htm","Yes"
"SIMSAR INTERNATIONAL CARGO LLC","DUBAI AIRPORT FREEZONE, FREIGHT GATE 5, DUBAI, UAE, 34988","+97142211311","https://www.simsarcargo.com/","https://www.freightnet.com/profile/246871.htm","Yes"
"F 4 Forwarders FZC","Hamriyah Freezone, Hamriayh, Sharjah, 41700","0097165350434","https://www.f4f.ae/","https://www.freightnet.com/profile/265088.htm","Yes"
"GulfBay Logistics FZE LLC","Room No-5,M floor,City Gate,Port Saeed - Deira, Dubai, DUBAI, UAE, 00000","+971522023471","https://gulfbaylogistics.com/","https://www.freightnet.com/profile/252502.htm","Yes"
"AXL CARGO SOLUTION FAZCO","houssain@axl-cargo.com, DAFZA UAE, Dubai, UAE, 293839","0551501521","http://www.axl-logitsics.com/","https://www.freightnet.com/profile/257770.htm","Yes"
"Right Eagle Shipping LLC","A001, Madina Mall, Muhaisnah, Dubai, Dubai, 234438","+971 52 129 8555","http://www.righteagleshipping.com/","https://www.freightnet.com/profile/260978.htm","Yes"
"Prime Express Internatonal","Offie-10-Freight Gate 2, Dubai Airport Freezone (DAFZA), Dubai, Dubai, 123471","+971566261510","http://www.primexgo.com/","https://www.freightnet.com/profile/119732.htm","Yes"
"SASA CARGO AND LOGISTICS","DEIRA TWIN TOWER 12 FLOOR, OFFICE #29, DUBAI, UAE,","+971506887956","","https://www.freightnet.com/profile/203896.htm","Yes"
