"name","address","phone","website","profileUrl","isPremiumMember"
"MUHAMMAD ABBAS AKHTAR TRANSPORT L.L.C","JABAL ALI FREEZONE  , JABAL ALI FREEZONE, JABAL ALI, DUBAI ,UNITED ARAB EMIRATES, 400021","","","https://www.freightnet.com/profile/265189.htm","No"
"Cool Freights Transport LLC","Warehouse No28 Street 11A ras al khor 2 Dubai , P.O Box 48417 Business Center, Dubai, United Arab Emirates, Dubai, إمارة دبيّ, 0000","","","https://www.freightnet.com/profile/259828.htm","No"
"Move on Time","Latifa Tower - Sheikh Zayed Rd - Trade Centre - Trade Centre 1 - United Arab Emirates , Latifa Tower - Sheikh Zayed Rd - Trade Centre - Trade Centre 1, Dubai, United Arab Emirates, UAE, 00000","","","https://www.freightnet.com/profile/257610.htm","No"
"Edge Heavy trucks transport  L.L.C","Al Qusais Dubai , Qusais 2, DUBAI, 00000","","","https://www.freightnet.com/profile/250540.htm","No"
"MKH General Transport","Post Box no  14697 Dubai , Dubai -UAE, Dubai, united arab emirates, 14697","","","https://www.freightnet.com/profile/208748.htm","No"
"PUNHANI CARGO TRANSPORT BY HEAVY TRUCKS LLC","DUBAI , INTERNATIONAL CITY, DUBAI, UNITED ARAB EMIRATES, 43615","","","https://www.freightnet.com/profile/201120.htm","No"
"LOAD EXPRESS CARGO TRANSPPORT LLC","G12, ASMAWI BUILDING  , DIP 1, DUBAI, DUBAI, 62815","","","https://www.freightnet.com/profile/135967.htm","No"
"silver mountain shipping line l.l.c","al hamriya port coustom building , dubai, united arab emirates, 00971","","","https://www.freightnet.com/profile/134606.htm","No"
"Turbo General Land Transports and Cargo","Suite No.3 Block C First Floor, Hamad Al Ramma Building Opp. Muraqqabat Police Station, Al-Muteena, Deira, Dubai, UAE , Dubai, United Arab Emirates, 92421","","","https://www.freightnet.com/profile/108707.htm","No"
"BM Transport L.L.C","Naif Road , Deira, Dubai, 89510","","","https://www.freightnet.com/profile/22300.htm","No"
