"name","address","phone","website","profileUrl","isPremiumMember"
"ATLAS INTERNATIONAL MOVERS & SHIPPING","STREET 5 , INDUSTRIAL AREA 7, DUBAI, UAE, 81132","DUBAI +97142574878","http://www.atlasintlmovers.com/","https://www.freightnet.com/profile/115013.htm","Yes"
"BrightLink Cargo and Movers LLC","Al Asayel Street , Business Bay, Dubai,","","","https://www.freightnet.com/profile/138453.htm","No"
"Forward Movers and Packers","Jumeirah Bay X2, JLT Cluster X (Jumeirah Bay Towers), Jumeirah Lake Towers (JLT) , Jumeirah Bay Lake Tower, Dubai, 500001","","","https://www.freightnet.com/profile/253086.htm","No"
"Zircon Movers & Storage","Bellevue Tower 1, Office 902, Downtown Dubai, UAE , Dubai, Dubai,","","","https://www.freightnet.com/profile/251522.htm","No"
"DULOG LLC","P.O. BOX 49948 , DUBAI, Dubai, Dubai, 49948","","","https://www.freightnet.com/profile/100526.htm","No"
"GI Movers Dubai","Dubai Investment Park - 2 (DIP-2 Plot no 597-4899, warehouse no. 9 , Dubai, United Arab Emirates, ‎","","","https://www.freightnet.com/profile/247828.htm","No"
"GI Movers Abu Dhabi","M-44 Plot no 9, Store no 6 - 9th St, Musaffah , Abu Dhabi, UAE, 133359","","","https://www.freightnet.com/profile/247799.htm","No"
"JMS cargo & international moving services","Qusais 2   , Dubai, UAE, 47888","","","https://www.freightnet.com/profile/228342.htm","No"
"Sunstars Movers","Muweilah Commercial , Sharjah, Sharjah, Sharjah, 56422","","","https://www.freightnet.com/profile/214530.htm","No"
"Blue Peter Lines FZE LLC","A 5800-08 , Flamingo Villa, Ajman, UAE, 4422","","","https://www.freightnet.com/profile/170737.htm","No"
"ATF MOVERS","industrial area 10 sharjah , industrial area, United Arab Emirates, 0000","","","https://www.freightnet.com/profile/146995.htm","No"
"FREIGHTWORKS","54 Street , Um Ramool, Dubai, United Arab Emirates, 0000","","","https://www.freightnet.com/profile/148715.htm","No"
"BLUE BOX MOVERS & CARGO","Dubai , Dubai, DUBAI, U.A.E, 00971","","","https://www.freightnet.com/profile/144109.htm","No"
"JNT Cargo & Packing Services LLC has been serving the residential and business community of UAE. We are ready to pack, load, store (when necessary) drive, unload and unpack as customer needs require.","Ras Al Khor industrial are 2, Dubai, UAE , Ras Al Khor, U.A.E, 294738","","","https://www.freightnet.com/profile/104245.htm","No"
"MoveWorks by Freightworks","54th Street, Al Ramoul , Dubai, UAE, 5514","","","https://www.freightnet.com/profile/104494.htm","No"
"APS International Movers LLC","PO Box 122458  , , Dubai, 54000","","","https://www.freightnet.com/profile/24032.htm","No"
"Movers and Packers Dubai","Radwan tower, Al Meteena, Deira dubai , Dubai, dubai, 0971","","","https://www.freightnet.com/profile/96054.htm","No"
"NGL LOGISTICS LLC","PO Box 184587 , , Dubai, 184587","","","https://www.freightnet.com/profile/42387.htm","No"
"ACE Packing & Shipping","PO Box 48279 , Baghdad St, Al Qussais, Deira, Dubai,","","","https://www.freightnet.com/profile/10220.htm","No"
"HMSS-LLC","PO Box 80078  , Near Satellite Market, Dubai, 80078","","","https://www.freightnet.com/profile/18686.htm","No"
"Orbit Movers Cargo Packing","PO Box 30228 , Al Quoz Industrial Area, Dubai, 30228","","","https://www.freightnet.com/profile/20033.htm","No"
"OMC Relocation & Storage","Al Quoz  , , Dubai, 54000","","","https://www.freightnet.com/profile/22242.htm","No"
"CSS Homeward Bound","Dubai Creek Customs – Customs Wharfage , Warehouse B, Dubai, Dubai, 27802","","","https://www.freightnet.com/profile/103237.htm","No"
"Crown Relocations - Dubai","Dutco House, Floor 3 , Dubai, Dubai, 00000","","","https://www.freightnet.com/profile/110208.htm","No"
"Sana Movers","Post box: 237160,Dubai, UAE , Qusais, UAE, 237160","","","https://www.freightnet.com/profile/130402.htm","No"
