"name","address","phone","website","profileUrl","isPremiumMember"
"TSN SHIPPING LLC","Office#406,4th Floor,Raffa Building,Rolla Street-Dubai, DUABI, DUBAI, DUBAYY (DUBAI), 43413","97143480442","http://www.tsnshipping.com/","https://www.freightnet.com/profile/259179.htm","Yes"
"DEIFIC SHIPPING LLC","M-10,Mezzanine floor, Al bahar building, Al khabaisi Area,  Abu hail, Dubai, DUBAI, UNITED ARAB EMIRATES, 0000","043286267","","https://www.freightnet.com/profile/244859.htm","Yes"
"AL JABEEN FREIGHT & SHIPPING LLC","PRIME TOWER,BUSINESS BAY  , DUBAI, DUBAI, 112037","","","https://www.freightnet.com/profile/219788.htm","No"
"Cannata Worldwide Cargo Services LLC","3 7A Street - Umm Ramool - Dubai - United Arab Emirates , 78Q9+79C - Deira - Dubai - United Arab Emirates, Dubai, Dubai, 66469","","","https://www.freightnet.com/profile/261860.htm","No"
"P O L SHIPPING SERVICES LLC","KUS BUSINESS CENTER DIP , DIP dubai, Dubai UAE, 0000","","","https://www.freightnet.com/profile/260239.htm","No"
"Prolog Express Line","Suite # 306, 3rd Floor Block ‘B’ Al Hudaiba Awards Building  Al Mina Road Jumeirah 1, P.O. Box 26270, Dubai UAE  , Dubai, uae, 26270","","","https://www.freightnet.com/profile/261080.htm","No"
"MSM shipping lines LLC Dubai","office 406,4th Floor, Al Ameeri tower, Tecom Barsha Heights, P.O.Box 83077 Dubai-U.A.E.  , Tecom , Barsha Heights, UAE, P.O.Box 83077","","","https://www.freightnet.com/profile/195918.htm","No"
"Eternal Light Shipping LLC","2005, Churchill Executive , Business Bay, Dubai, Dubai, 00000","","","https://www.freightnet.com/profile/258687.htm","No"
"MAQ SHIPPING LINE LLC","AWEER VEGETABLE MARKET , Dubai, UAE, 78672","","","https://www.freightnet.com/profile/118466.htm","No"
"Real One Shipping L.L.C","Bur Dubai , Neear Khalid Bin Al-Walid, Dubai, U.A.E, 21793","","","https://www.freightnet.com/profile/63683.htm","No"
