"name","address","phone","website","profileUrl","isPremiumMember"
"Fast And Cool Transport LLC","Suhail Saeed Building - 1st Floor - Ras Al Khor Industrial Area - Ras Al Khor Industrial Area 2 - Dubai - United Arab Emirates , United Arab Emirates (‫الإمارات العربية المتحدة‬‎), City, United Arab Emirates, 00000","","","https://www.freightnet.com/profile/260422.htm","No"
"Fanar Logistics DWC- LLC","Logistics city  , Dubai, Dubai, 00000","","","https://www.freightnet.com/profile/183588.htm","No"
"Reef Movers","Al Reef Towers, G01 , Sharjah, United Arab Emirates, Po.Box - 45295","","","https://www.freightnet.com/profile/182268.htm","No"
"DIKL LOGISTICS LLC FZE","Jabel ali FZ , dubai, uae, 11700","","","https://www.freightnet.com/profile/131987.htm","No"
"123 CARGO. L. L.C","OFFICE NO29 , ALQUS MALL, DUBAI, UNAITED ARAB EMIRATES, 52864","","","https://www.freightnet.com/profile/140163.htm","No"
"Capital Star Global Logistics Group","103, Block 1/4, Plot 208 Madinat Zayed, P.O. Box 131049, Zayed, City Abu Dhabi , UAE , Ibn Battuta Gate Hotel Office Building Unit 204 H Dubai – UAE, Abu Dhabi, UAE, 131049","","","https://www.freightnet.com/profile/115622.htm","No"
"TEXAS MARINE LOGISTICS & CARGOPACKING.L.L.C","P.O.BOX#70614 , SHARJAH-UAE, SHARJAH, UAE, 70614","","","https://www.freightnet.com/profile/62799.htm","No"
"Hazmat Logistics","PO Box 251641 , Deira, Dubai,","","","https://www.freightnet.com/profile/10618.htm","No"
"CWT","Dubai , Jabel, Dubai, UAE, 61138","","","https://www.freightnet.com/profile/64782.htm","No"
"RTW Shipping L.L.C","PO Box 119868 , , Dubai, 119818","","","https://www.freightnet.com/profile/13794.htm","No"
"Right Way Marine Cargo LLC","29 Mundher Bin Mohammed , , Ash Shariqah, 81237","","","https://www.freightnet.com/profile/23425.htm","No"
"CSS Homeward Bound","P.O. Box 27802, Jebel Ali , Dubai, United Arab Emirates, 337-1500","","","https://www.freightnet.com/profile/128478.htm","No"
