"name","address","phone","website","profileUrl","isPremiumMember"
"Falcon Cargo LLC","15034 Wildflower Cir, Miami, FL, 34119","2397777937","http://www.falconcargo.net/","https://www.freightnet.com/profile/257272.htm","Yes"
"Blueline Shipping, LLC","5060 North Royal Atlanta Drive, 19, Tucker, GA, 30084","678-710-8862","http://www.bluelineairfreight.com/","https://www.freightnet.com/profile/105156.htm","Yes"
"Dnipro LLC","645 West 1st Ave, Roselle, NJ, 07203","(908)241-2190","http://www.dniprollc.com/","https://www.freightnet.com/profile/51598.htm","Yes"
"Aztechforless.com","1948 S Sycamore Pl, Chandler, Arizona, 85286","0000000000","","https://www.freightnet.com/profile/187225.htm","Yes"
"freight forty","2054 magrath ave , Colorado Springs, CO, 80915","9414059380","https://www.freightforty.com/","https://www.freightnet.com/profile/253838.htm","Yes"
"i7Freight LLC","850 Northlake Drive , Coppell, Texas, 75019","","","https://www.freightnet.com/profile/259210.htm","No"
"H&M Logisitics Co.,Ltd","Room1222 , Shenzhen, Shenzhen, 518000","","","https://www.freightnet.com/profile/235509.htm","No"
"G8toUS","2501 Alton Pkwy, Unit 2346, Irvine, CA 92606, United States , Irvine, USA, 92606","","","https://www.freightnet.com/profile/263324.htm","No"
"Aerospace Logistics","9205 CF HAWN FWY , DALLAS, TEXAS, 75152","","","https://www.freightnet.com/profile/158134.htm","No"
"Cargo Services Inc.(CSI) USA","12 DER , IN, IN, 33142","","","https://www.freightnet.com/profile/248501.htm","No"
"ITEMSA CORPORATION","4787NW 72nd Ave. , MIAMI, FLORIDA, 33166","","","https://www.freightnet.com/profile/127431.htm","No"
"US Mailbox Express Inc","7522 37th Avenue  , Jackson Heights, New York, 11372","","","https://www.freightnet.com/profile/206193.htm","No"
"Twings Supply","Room 1106, Fuyue Building, No.28 Zhonghuan West Road, Jiaxing, China 314000 , Zhonghuan, Jiaxing, 314000","","","https://www.freightnet.com/profile/258217.htm","No"
"DHL Service Point Partner - Mailboxes & More","14135 Francisquito Ave  , #101, Baldwin Park, CA, 91706","","","https://www.freightnet.com/profile/238451.htm","No"
"Freighter Gator","RXR Plaza , Uniondale, NY, 11556","","","https://www.freightnet.com/profile/256802.htm","No"
"Outer Seaways","1315 Walnut St. , Suite 1005, Philadelphia, Pennsylvania, 19107","","","https://www.freightnet.com/profile/252398.htm","No"
"Ot Cargo","3 60th st , Long Island, New york, 11101","","","https://www.freightnet.com/profile/134719.htm","No"
"ARKAN LOGISTICS LLC","27493 Hanna Road  , No. 9, Oak Ridge North, Texas, 77385","","","https://www.freightnet.com/profile/219834.htm","No"
"SGK GLOBAL SHIPPING SERVICES","4910 Wright Rd , Ste 160, Stafford, Tx, 77477","","","https://www.freightnet.com/profile/217165.htm","No"
"Airborne Freight & Cargo Services","4503 NW 103rd Ave  , Suite 101, Sunrise, Florida, 33351","","","https://www.freightnet.com/profile/163004.htm","No"
"FALCON COMMERCIAL AVIATION LLC","13500 SW 134 AVENUE , UNIT-3, MIAMI, FL, 33168","","","https://www.freightnet.com/profile/51918.htm","No"
"proair","湖南省长沙市开福区富兴时代T3A1403 , 长沙市, 开福区, 417000","","","https://www.freightnet.com/profile/247159.htm","No"
"Alliance Cargo Express","147-24 176th street , Jamaica, United States, 11434","","","https://www.freightnet.com/profile/162160.htm","No"
"ALLIANCE CARGO EXPRESS, INC.","147-24 176TH STREET , JAMAICA, New York, 11230","","","https://www.freightnet.com/profile/242588.htm","No"
"Sams sons moving service","2730 Oak Tree Drive , 1408, Carrollton, TX, 75006","","","https://www.freightnet.com/profile/238730.htm","No"
"In-Depth Logistics LLC","TBA , Sunrise, FL, 33322","","","https://www.freightnet.com/profile/237094.htm","No"
"Delta","Charlotte, North Carolina , Charlotte, USA, 117983","","","https://www.freightnet.com/profile/222144.htm","No"
"Five Star Freight Systems","500 Bayview Avenue , inwood, new york, 11096","","","https://www.freightnet.com/profile/226836.htm","No"
"Array Logistics","155 St Johns Business Place , unit 203, St. Augustine, Florida, 32095","","","https://www.freightnet.com/profile/173880.htm","No"
"LCLXchange Inc","700 E. BIRCH STREET, UNIT 10085 , California, California, 92822","","","https://www.freightnet.com/profile/169998.htm","No"
"InterUSA Logistics LLC","3533 NW 115 Avenue , Doral, Florida, 33178","","","https://www.freightnet.com/profile/172279.htm","No"
"InXpress New York","1064 Alhambra Rd , Baldwin, NY, 11510","","","https://www.freightnet.com/profile/175386.htm","No"
"GS Aviation","1003 Bishop Street , Honolulu, Hawaii, 96813","","","https://www.freightnet.com/profile/173104.htm","No"
