"name","address","phone","website","profileUrl","isPremiumMember"
"Ramon Inc","3000 Marcus Ave , 1W2, Lake Success, New York, 11042","","","https://www.freightnet.com/profile/130209.htm","No"
"24 Seven Shipping","3738 JUDSON DR , LAND O LAKES, FL, USA, 34638","","","https://www.freightnet.com/profile/255175.htm","No"
"Magaya Insurance Services","7950 NW 53rd Street , Suite 300, Miami, Florida, 33166","","","https://www.freightnet.com/profile/233766.htm","No"
"CARGO CARE SERVICES","6955 NW 52nd Street, Unit # 6, Miami, FL 33166 , Miami, Florida, 33166","","","https://www.freightnet.com/profile/187040.htm","No"
"K&N Brokerage","182-03 Jamaica Ave , Hollis, New York, 11423","","","https://www.freightnet.com/profile/196014.htm","No"
"417 Transport","1009 Attas Killeen Texas 76541 , Killeen, Tx, 76541","","","https://www.freightnet.com/profile/180602.htm","No"
"General Marine Inc","1285 Ave of the Americas , 35th Fl, New York, New York, NY, 10019","","","https://www.freightnet.com/profile/12297.htm","No"
"Assekuransa USA Inc.","6303 Blue Lagoon Dr. , Suite 390, Miami, Florida, 33126","","","https://www.freightnet.com/profile/135211.htm","No"
"Parcel Insurance Plan","9666 Olive Boulevard , Suite 200, Saint Louis, Missouri, 63132","","","https://www.freightnet.com/profile/91591.htm","No"
"TJOCARGO.COM","7759 Spanish Oaks Drive , Jacksonville, Florida, FL, 32221","","","https://www.freightnet.com/profile/18519.htm","No"
"Pacific Atlantic Freight-Cargo Insurance Division","4607 Lakeview Canyon Rd. Ste 341 , Westlake Village, California, CA, 91361","","","https://www.freightnet.com/profile/22891.htm","No"
"Cargo Marine Underwriters Agency Inc","Cargo Bldg. 80 - 2nd Floor , JFK Int'l Airport, Jamaica, New York, NY, 11103","","","https://www.freightnet.com/profile/1436.htm","No"
"Bar Mutual Insurance Agency","14015 Hawthorne Blvd , Hawthorne, California, CA, 90250","","","https://www.freightnet.com/profile/9318.htm","No"
"InsureMyRig","3912 Sunforest Court , Toledo, Ohio, OH, 43623","","","https://www.freightnet.com/profile/11671.htm","No"
"Ditechinsurance.com","16337 Harbor Blvd , Fountain Valley, California, CA, 92708","","","https://www.freightnet.com/profile/13349.htm","No"
