"name","address","phone","website","profileUrl","isPremiumMember"
"24/7fastlane.com","10010 Bridgeport way sw ste 1500 PMB 223,Lakewood,WA 98499 , Washington state, USA, 98499","","","https://www.freightnet.com/profile/248918.htm","No"
"CGA Logistics","1206 Nagel Blvd., Batavia, IL  , Batavia, Batavia, 60510","","","https://www.freightnet.com/profile/257859.htm","No"
"22four International Shipping","861 east 163 st. , Apt 7G, Bronx, New York, NY, 10459","","","https://www.freightnet.com/profile/255687.htm","No"
"Blue Indian Logistics","1304 Elliott Drive , Apt. 119, Oxford, MS, 38655","","","https://www.freightnet.com/profile/217633.htm","No"
"TRUE LOAD EXPRESS","3613 Diamond Ridge , Diamond Ridge, McKinney, TX, 75071","","","https://www.freightnet.com/profile/250075.htm","No"
"Aerofast Delivery Courier Company","1865 OLIVEWOOD AVE  , Manteca, California, 95336","","","https://www.freightnet.com/profile/243611.htm","No"
"Olin transport","17126 38rd n , Loxahatchee, FL, 33470","","","https://www.freightnet.com/profile/236129.htm","No"
"Triple L Trucking","Lake Breeze Court  , Spring Valley, California, 91977","","","https://www.freightnet.com/profile/200083.htm","No"
"Lurie & Sons/Hot Shots Delivery","7717 N. Kildare Ave , Skokie, Illinois, IL, 60076","","","https://www.freightnet.com/profile/6121.htm","No"
"Logistics Exxpress Inc","257 Haviland Park , Rochester, NY, 14616","","","https://www.freightnet.com/profile/215432.htm","No"
"Jonathan Betlejewski","464 Elmwood , Bay village, Ohio, 44140","","","https://www.freightnet.com/profile/209559.htm","No"
"ShipOnSite","2734 Beaver Run Blvd , Suite B, Myrtle Beach, SC, 29575","","","https://www.freightnet.com/profile/201875.htm","No"
"grandbelle","145 hookcreek blvd , b6a, Valley Stream, New York, 11581","","","https://www.freightnet.com/profile/182046.htm","No"
"CHAMINKO INC","2303 E. 55th Street , Vernon, LA, 90058","","","https://www.freightnet.com/profile/168344.htm","No"
"Sunshine Service International Inc","14735 183RD ST STE 203 , 203, JAMAICA, NY, 114134005","","","https://www.freightnet.com/profile/166741.htm","No"
"North American Heavy Haul & Logistics","3534 Silver Lace Lane , Apt 43, Boynton Beach, Florida, 33436","","","https://www.freightnet.com/profile/184843.htm","No"
"BriarGate Farm","849 Seco Pass Rd , Box 91, Tarpley, TX, 78883","","","https://www.freightnet.com/profile/169447.htm","No"
"Ziptized","9-20 35th Ave, Floor 2Q , Ziptized, New York, 11106","","","https://www.freightnet.com/profile/182343.htm","No"
"Melco Engineering","3605 Avenida Cumbre , Calabasas, CA, 91302","","","https://www.freightnet.com/profile/83019.htm","No"
"Marathon Trading Corporation","5000-18  US Highway 17 South , Fleming Island, Florida, 32003","","","https://www.freightnet.com/profile/171991.htm","No"
"MARINE FORWARDING CO OF VA","1202 Sparrow Rd , Chesapeake, Virginia, 23325","","","https://www.freightnet.com/profile/170116.htm","No"
"HANMIPOST","14101 Sullyfield Circle , Suite 340, Chantilly, VA, 20151","","","https://www.freightnet.com/profile/93674.htm","No"
"KNC 12","1920 Emelita Dr , Virginia Beach, VA, 23456","","","https://www.freightnet.com/profile/167711.htm","No"
"CBC Warehouse, LLC","986B Bourne Ave , Savannah, Georgia, 31408","","","https://www.freightnet.com/profile/161153.htm","No"
"Tea and spice importers","229-19 Merrick BLVD  , Laurelton, Queens, 11413","","","https://www.freightnet.com/profile/151729.htm","No"
"Reliable Couriers","40 N. Central Ave  , #1400, Phoenix, Arizona, 85004","","","https://www.freightnet.com/profile/151772.htm","No"
"North American Pet Industry LLC","8333 NW 53rd Street , Suite 450, Miami, Florida, 33166","","","https://www.freightnet.com/profile/151185.htm","No"
"Millhouse Logistics, Inc.","25 Continuum Drive , Fletcher, NC, 28732","","","https://www.freightnet.com/profile/146630.htm","No"
"Skynet Worldwide Express JFK","153-40 Rockaway Blvd , Jamaica, New York, 11434","","","https://www.freightnet.com/profile/120221.htm","No"
"Expak Logistics","11777 San Vicente Blvd Suite 660 , Suite 660, Los Angeles, CA, 90049","","","https://www.freightnet.com/profile/148961.htm","No"
"Need it Now Courier","153 West 27th Street , New York, New York, 10001","","","https://www.freightnet.com/profile/139457.htm","No"
"STEWART GLOBAL LOGISTICS","14405 WALTERS ROAD , SUITE 930, HOUSTON, TEXAS, 77014","","","https://www.freightnet.com/profile/121244.htm","No"
"ASSOCIATED FREIGHT CONSULTANTS, Inc ,,,   BEST WAY TO  SHIP & SAVE ™ ,,,","1 Small Package Discounts , Ship  Boxes or Packages. Ground or Express : 1-800-748-1516 *, USA, Canada, World Wide, Colorado, CO, 80906","","","https://www.freightnet.com/profile/4798.htm","No"
"ASAP Courier and Logistics","1522 NE 4th Ave. , Fort Lauderdale, FL, 33304","","","https://www.freightnet.com/profile/140164.htm","No"
"Expressway Courier and Freight LLC","36 Mill Plain Road , Suite 407, Danbury, CT, 06811","","","https://www.freightnet.com/profile/139462.htm","No"
"Quick One Messenger","99 Jericho Turnpike, Suite 201 , Jericho, NY, 11753","","","https://www.freightnet.com/profile/139455.htm","No"
"Luggage Handlers","14655 Northwest Freeway, Suite 134 , Houston, Texas, 77040","","","https://www.freightnet.com/profile/135333.htm","No"
"Messenger 911 Service Inc","1902 Elmhurst rd , Elk Grove Village, IL, 60009","","","https://www.freightnet.com/profile/121455.htm","No"
"Shipaholic Plus","643 N.York Road , Elmhurst, IL , USA, 60126","","","https://www.freightnet.com/profile/117139.htm","No"
"Reliable Couriers","201 S Biscayne Blvd , 28th Floor, Miami, FL, 33131","","","https://www.freightnet.com/profile/133880.htm","No"
"AMG Customs Solutions CHB","150 South 8th Street , Lewiston, New York, 14092","","","https://www.freightnet.com/profile/83129.htm","No"
"U.S. Cargo and Courier Service","900 Williams Ave , P.O. Box 2948, Columbus, Ohio, OH, 43216","","","https://www.freightnet.com/profile/13035.htm","No"
"A-1 Messenger Service, Inc.","n/a , Freehold, NJ, 07728","","","https://www.freightnet.com/profile/129269.htm","No"
"C & M Transport","1608 Winthrop Lane , Monroe, NC, 28110","","","https://www.freightnet.com/profile/118967.htm","No"
"dba premier motor cars","548 cecilia cove dr , charleston, sc, 29412","","","https://www.freightnet.com/profile/116818.htm","No"
"Europack Courier Services","666 fifth ave , new york, NY, 10103","","","https://www.freightnet.com/profile/116064.htm","No"
"AES Direct Express","7411 E 6th Ave , Suite 201, Scottsdale, AZ, 85251","","","https://www.freightnet.com/profile/82639.htm","No"
"TLCargo","1835 nw 112 av #177 , MIAMI, Florida, 33172","","","https://www.freightnet.com/profile/96917.htm","No"
"Bancroft Global Development","2507 Massachusetts Ave NW  , Washington, DC, 20008","","","https://www.freightnet.com/profile/100115.htm","No"
"FastPack Courier & Freight Forwarder service","7311 n.w. 12 st # 12 , Miami, Florida, FL, 33126","","","https://www.freightnet.com/profile/18682.htm","No"
"A1 Delivery Service","4636 Sanford St , Ste 205, New Orleans, La, 70001","","","https://www.freightnet.com/profile/59509.htm","No"
"Clockwork Express","269 S.Beverly Dr #844 , Beverly Hills, California, 90212","","","https://www.freightnet.com/profile/57982.htm","No"
"C. And A. Courier Inspection Services","P. O. Box 21229 , Baltimore, Maryland, MD, 21229","","","https://www.freightnet.com/profile/5656.htm","No"
"Iron Castle Expeditor","7344 cheyenne , Westland, Michigan, MI, MI","","","https://www.freightnet.com/profile/16251.htm","No"
"Delta Express Couriers Inc.","1631 Enterprise Blvd #1 , West Sacramento, California, CA, 95691","","","https://www.freightnet.com/profile/11690.htm","No"
"Skyline Messenger Service, Inc.","3130 S. Martin St , Suite 500, East Point, Georgia, GA, 30344","","","https://www.freightnet.com/profile/13403.htm","No"
"Instant Express Delivery & Process","914 Hall Ave , Seabrook, Texas, TX, 77586","","","https://www.freightnet.com/profile/14141.htm","No"
"Crosstown Courier Service Inc.","P.O. Box 2794 , Springfield, Massachusetts, MA, 01101","","","https://www.freightnet.com/profile/16227.htm","No"
"Lonestar Delivery & Process","914 Hall Ave , Seabrook, Houston, Texas, TX, 77586","","","https://www.freightnet.com/profile/16416.htm","No"
"AUC","12 Cheryl Drive , Allenstwon, New Hampshire, NH, 03275","","","https://www.freightnet.com/profile/17206.htm","No"
"American Expediting Company","2215 Arch Street , Philadelphia, Pennsylvania, PA, 19103","","","https://www.freightnet.com/profile/23481.htm","No"
"Cougars Carrier LLC","1801 S. Broadway Ave. , Othello, WA, 99344","","","https://www.freightnet.com/profile/53491.htm","No"
"Servientrega International","1607 NW 84TH AVE. , Miami Dade, Florida, 33126","","","https://www.freightnet.com/profile/129286.htm","No"
