"name","address","phone","website","profileUrl","isPremiumMember"
"SJ Stile Associates","181 South Franklin Avenue, Valley Stream, New York, 11581","(516)394-2100","http://www.stileintl.com/","https://www.freightnet.com/profile/258051.htm","Yes"
"EKR CUSTOMS BROKER","804 Customs, GRETNA, LA, 70056","5043310374","https://info@ekrchb.com/","https://www.freightnet.com/profile/264492.htm","Yes"
"Customs & Trade Logistics, LLC","21 Cherrywood ct , hunt Valley, Maryland, 21030","443-955-6556","http://cusomsandtradelogistics.com/","https://www.freightnet.com/profile/142205.htm","Yes"
"M & J Customs, LLC","511 Lake Miriam Dr, Lakeland, Florida, 33813","8004965502","http://www.mjcustoms.com/","https://www.freightnet.com/profile/186579.htm","Yes"
"A1 Worldwide Logistics","1035 NE 125 Street Suite #320 , North Miami, Florida, 33161","","","https://www.freightnet.com/profile/257121.htm","No"
"Ace freight Experts","7901 4TH ST N #21489  ST PETERSBURG, FL   33702 , ST PETERSBURG, USA, 21489","","","https://www.freightnet.com/profile/262270.htm","No"
"NOBEL LOGISTICS INC","7068 GABELS CREST PL , FONTANA, CA, 92336","","","https://www.freightnet.com/profile/262174.htm","No"
"SKY FLY TRUCKING LLC","1900 POLARIS PARKWAY SUITE 450 COLUMBUS, OH 43240 , Columbus, OH, USA, 43240","","","https://www.freightnet.com/profile/245295.htm","No"
"Expedite Release","130 Lee Ave , 114, Brooklyn, NY, 11211","","","https://www.freightnet.com/profile/235585.htm","No"
"Sorrell Customs and Logistics","525 S main st. , suite 410, Del Rio, Texas, 78840","","","https://www.freightnet.com/profile/250923.htm","No"
"Sen Mart INTL","12909 26ave  , flushing, new york, 11354","","","https://www.freightnet.com/profile/258279.htm","No"
"S&S Brokerage Inc.","120 Wood Avenue South , Suite 408, Iselin, NJ, 08830","","","https://www.freightnet.com/profile/248527.htm","No"
"Michael S. Cooke, CHB","1900 East Ocean Blvd Suite 1012 , (Los Angeles), Long Beach, California, CA, 90802","","","https://www.freightnet.com/profile/12903.htm","No"
"Integrity Express Logistics","4700 Millenia Blvd , Orlando, Florida, 32839","","","https://www.freightnet.com/profile/254012.htm","No"
"fleet experts","221 river street NJ , new jersey, usa, 07034","","","https://www.freightnet.com/profile/248486.htm","No"
"Fleet Experts","221 River Street Hoboken New Jersey , New Jersey, U.S.A, 07030","","","https://www.freightnet.com/profile/248519.htm","No"
"Elyon Customs Broker","2001 Timberloch Place , Suite 500, The Woodlands, Montgomery, 77380","","","https://www.freightnet.com/profile/191421.htm","No"
"AXP International","411 Lum Ave , union, New Jersey, 07083","","","https://www.freightnet.com/profile/238517.htm","No"
"Adroit Logistics LLC","8 THE GRN STE B DOVER< DELAWARE , Dover, Delaware, 19901","","","https://www.freightnet.com/profile/209642.htm","No"
"Diversified Brokerage Services, Inc.","5902 Johns Road , Tampa, Florida, FL, 33634","","","https://www.freightnet.com/profile/18076.htm","No"
"Gallagher Transport International Inc","4700 Oakland Street , Suite 140, Denver, CO, 80239","","","https://www.freightnet.com/profile/168820.htm","No"
"INITIAL CUSTOMS BROKERAGE INC","14547 155TH ST NUM NUM2  , JAMAICA, NEW YORK, NY11434","","","https://www.freightnet.com/profile/155999.htm","No"
"SJT Business Services","70 East Sunrise Highway, Suite 500 , Valley Stream, NY, 11581","","","https://www.freightnet.com/profile/146256.htm","No"
"SKY FLY TRUCKING LLC","7497 oVERLOAD tRL , dELAWARE, oH, 43015","","","https://www.freightnet.com/profile/217228.htm","No"
"AMB Logistic","39123, Casimira avenue , Sterling heights, MI, Michigan, USA, 48313","","","https://www.freightnet.com/profile/208875.htm","No"
"Voyage Customs Broker","4419 Crimson Ct. , Sugar Land, TX, 77479","","","https://www.freightnet.com/profile/207546.htm","No"
"M.K Brokerage","9584 VALLEY SPRINGS BLVD. FISHERS, IN 46037 ​| MC - 01329801  | DOT - 3748598 , INDIANA, IN, 46037","","","https://www.freightnet.com/profile/207961.htm","No"
"Empire Brokerage","2605 S Indiana ave Unit 409 , Chicago, Illinois, 60616","","","https://www.freightnet.com/profile/183217.htm","No"
"ARTEMUS Transportation Solutions","207 Business Park Drive , Suite 204, Virginia Beach, Virginia, 23462","","","https://www.freightnet.com/profile/50590.htm","No"
"Beja Custom House Brokers","4568 Lawrenceville Highway , #101, Lilburn, Georgia, GA, 30047","","","https://www.freightnet.com/profile/8633.htm","No"
"A & A Customs Brokerage Inc.","6305 Marbella Blvd,, Apollo Beach, Fl, 33572","","","https://www.freightnet.com/profile/153482.htm","No"
"G&W Customs Brokers, LLC","9650 69th St N , Pinellas Park, Florida, 33782","","","https://www.freightnet.com/profile/160950.htm","No"
"DNA Logistics Group","12600 NW 25 STREET , Suit 107, miami, fl, 33182","","","https://www.freightnet.com/profile/149246.htm","No"
"Yog Global Enterprises","210 Iris dr , Streamwood, IL, 60107","","","https://www.freightnet.com/profile/148164.htm","No"
"All Cleared Customs Brokerage","8725 57th Rd, Suite 3 , Elmhurst, New York, 11373","","","https://www.freightnet.com/profile/146926.htm","No"
"INTERMODAL SHIPPING INC","7600 SHORE FRONT PKWY, 7E , ARVERNE, NY, 11692","","","https://www.freightnet.com/profile/145857.htm","No"
"Adhoc Interntional Broker LLC","10870 NW, 88th Ter. Coronado at Doral , Bld 7. Unit114, Doral, Florida, 33178","","","https://www.freightnet.com/profile/140062.htm","No"
"stryker","1719 Ashley Cir #202, Bowling Green , Bowling Green, KY, 42104","","","https://www.freightnet.com/profile/139618.htm","No"
"CENTRAL CUSTOMS BROKER","175-01 ROCKAWAY BLVD , #302, JAMAICA, NEW YORK, 11434","","","https://www.freightnet.com/profile/135024.htm","No"
"Customs Brokerage","181 S. Franklin Avenue , Valley Stream, New York, 11581","","","https://www.freightnet.com/profile/132648.htm","No"
"PDR CHB","327 Chesnut Street , Roselle Park, NJ, 07204","","","https://www.freightnet.com/profile/93736.htm","No"
"Joseph Smith International Logistics","210 East Sunrise Highway , Suite 301, Valley Stream, New York, NY, 11581","","","https://www.freightnet.com/profile/13834.htm","No"
"DNS CUSTOMS AND LOGISTICS","14416 EXPORT RD , LAREDO, TEXAS, 78045","","","https://www.freightnet.com/profile/100662.htm","No"
"Quality Intl Frt Fwdrs & Customs Brokers","10  5th St., ste # 101 , valley stream, NY, 11581","","","https://www.freightnet.com/profile/91853.htm","No"
"Service Shipping","1550 E Higgins Rd , Suite 108, Elk Grove Village, IL, 60007","","","https://www.freightnet.com/profile/89325.htm","No"
"Amana Express","147-04 176th Street , Jamaica, NY, 11434","","","https://www.freightnet.com/profile/88065.htm","No"
"Dunavant Global Logistics Group","3797 New Getwell Road , Memphis, TN, 38118","","","https://www.freightnet.com/profile/55340.htm","No"
"James J. Boyle & Co.","1200 Corporate Center Dr. #350 , Monterey Park, CA, 91754","","","https://www.freightnet.com/profile/55341.htm","No"
"Raul Garcia Flores & Co Inc","5810 East Dr Whse 3 , Laredo, Texas, 78041","","","https://www.freightnet.com/profile/55337.htm","No"
