"name","address","phone","website","profileUrl","isPremiumMember"
"American logistics","Address: 58-68 S Service Rd, Melville, NY 11747 , (email-kaby@algusa.com / +1 (516) 514-3394), United States, 11747","","","https://www.freightnet.com/profile/264368.htm","No"
"RRR Unified Logistics","4117 MEADOWLARK DR , ARDMORE, OK, 73401","","","https://www.freightnet.com/profile/259805.htm","No"
"First Connect","Newark , NJ, New Jersey, New Jersey, USA, 07102","","","https://www.freightnet.com/profile/255904.htm","No"
"Global Logistics Group LLC","1805 E Gwen St , Phoenix, Arizona, 85042","","","https://www.freightnet.com/profile/258906.htm","No"
"Stellarship logistics","2833 PS BUSINESS CENTER DR # B , WOODBRIDGE, Virginia, 22192","","","https://www.freightnet.com/profile/257976.htm","No"
"Ship Secure Inc","12087 LOPEZ CANYON RD SUITE 117 , Slymar, CA, 91342","","","https://www.freightnet.com/profile/258694.htm","No"
"RBS Logistics Group INC.","1979, MARCUS AVE. , #210, NEW HYDE PARK, NEW YORK, USA, 11042","","","https://www.freightnet.com/profile/248206.htm","No"
"Local Moving New York","2346 Broadway , New York, New York, 10024","","","https://www.freightnet.com/profile/254368.htm","No"
"Movers NJ","201 Bergen St , Newark, New Jersey, 07103","","","https://www.freightnet.com/profile/253777.htm","No"
"Hoboken Moving Company","512 Jackson St , Hoboken, New Jersey, 07030","","","https://www.freightnet.com/profile/254247.htm","No"
"Freight logistics LLC","500 W. Hickman RD, Waukee  , Waukee, IOWA, USA, 50263","","","https://www.freightnet.com/profile/251775.htm","No"
"Square Logistic solutions","23 ROOSEVELT AVE , CARTERET, NJ, 07008","","","https://www.freightnet.com/profile/250886.htm","No"
"GLT logístics","10 sw canal st # 318 zip 33166 , Doral, Florida/ USA, 33166","","","https://www.freightnet.com/profile/221461.htm","No"
"A-1 Auto Transport, Inc.","9032 Soquel Drive #200 , Aptos, CA, 95003","","","https://www.freightnet.com/profile/149110.htm","No"
"SAV Transportation Group","11325 Xeon St NW , Coon Rapids, MN, 55448","","","https://www.freightnet.com/profile/117721.htm","No"
"American Moving and Storage Association","1611 Duke Street , Alexandria, Virginia, VA, 22314","","","https://www.freightnet.com/profile/9184.htm","No"
"NCBFAA Shippers Association, Inc","11260 Cornell Park Drive, Suits 706 , Cincinnati, Ohio, OH, 45242","","","https://www.freightnet.com/profile/14973.htm","No"
"Transportation Intermediaries Association (TIA)","1625 Prince Street , Suite 200, Alexandria, Virginia, 22314","","","https://www.freightnet.com/profile/16625.htm","No"
"Council of Supply Chain Management Professionals","333 East Butterfield Road , Suite 140, Lombard, IL, Illinois, IL, 60148","","","https://www.freightnet.com/profile/16916.htm","No"
"CBFANC - Customs Brokers and Freight Forwarders of Northern California","P.O. Box 26269 , San Francisco, CA, 94126","","","https://www.freightnet.com/profile/105534.htm","No"
