"name","address","phone","website","profileUrl","isPremiumMember"
"WELLFAST USA INC","14650 Mayer Canyon Drive, FONTANA, CA, 92336","9094025851","http://www.wellfast.com/","https://www.freightnet.com/profile/253127.htm","Yes"
"SEAROROAIR, LLC","143 Davis Street,, Northborough, MA, 01532","6174583334","","https://www.freightnet.com/profile/264045.htm","Yes"
"Aries Global Shipping","500 E Arapaho Road, Suite 505, Richardson, Texas, 75081","972-000-0000","http://www.ariesglobalshipping.com/","https://www.freightnet.com/profile/149357.htm","Yes"
"Seaborne International, Inc","1338 Engracia Avenue, Suite 4, Torrance, California, CA, 90501","+1 310-993-8388","http://www.seaborne-intl.com/","https://www.freightnet.com/profile/19988.htm","Yes"
"Jg International Freight Corp.","813 W. arbor vitae st, Inglewood, Ca, 90301","310 337 6300","","https://www.freightnet.com/profile/94099.htm","Yes"
"Global Transport United Inc","8282 Sierra Ave #2068, Fontana, CA, 92334","7147839128","http://www.globaltransportunited.com/","https://www.freightnet.com/profile/257996.htm","Yes"
"AGMB EXPRESS","1310 Rayford Park Road, suite 379, spring TX, 77386, 8 The Green, Suite A, Dover, DE 19901, USA, HOUSTON, TEXAS, 77386","17379831677","http://www.agmbexpress.com/","https://www.freightnet.com/profile/263642.htm","Yes"
"MLX SOLUTIONS LLC","15002 NW 107TH AVE, UNIT 8, HIALEAH, FLORIDA, 33018","+16572330159","http://www.mlxlogistics.com/","https://www.freightnet.com/profile/47046.htm","Yes"
"Smart Freight Solutions","2455 N Nagle Rd #228, Tracy, CA 95304, 2455 N Nagle Rd #228, Tracy, CA 95304, Tracy, California, 95304","510.903.1006 Extn 424","","https://www.freightnet.com/profile/266094.htm","Yes"
"Logical Solution Services, Inc","2301 Atlantic Avenue, Manasquan, New Jersey, 08736","+1 732-657-7777","http://www.solutionservices.us/","https://www.freightnet.com/profile/9580.htm","Yes"
"Tri State Forwarding INC","11 N Airmont Road , Suffern, NEW YORK, 10901","+1-845-694-8099","http://www.tristateforwarding.com/","https://www.freightnet.com/profile/258350.htm","Yes"
"AMID Logistics, LLC - InternationalShippingUSA.com","248 Geiger Rd, Unit 201H, Philadelphia, PA, 19115","+1-215-552-6208","http://internationalshippingusa.com/","https://www.freightnet.com/profile/21260.htm","Yes"
"FIRST AMERICAN LOGISTICS LLC","1047 W. Villa Drive, Des Plaines, IL, 60016","8473540017","http://www.firstamericanlogistics.com/","https://www.freightnet.com/profile/255718.htm","Yes"
"BIL LOGISTICS LLC","885 Troy Ave, Appt. F4, Kings, Brooklyn, 11204","+19179154918","","https://www.freightnet.com/profile/265874.htm","Yes"
"Trident Express","9615 E County Line Rd, Suite B497, Centennial, CO, 80112","7204648808","","https://www.freightnet.com/profile/212134.htm","Yes"
"Terra Global Logistics","11767 S. Dixie Highway, Unit 451, Miami, FL, 33156","001-305-594-6684","http://www.terrafreightforwarder.com/","https://www.freightnet.com/profile/2890.htm","Yes"
"CORREDOR EXPRESS INC","8620 San Gabriel Dr, LAREDO, TEXAS, 78045","9562030668","https://www.corredorexpressinc.com/","https://www.freightnet.com/profile/155354.htm","Yes"
"Logistics Solutions Intl","3350 SW 148TH AVE, SUITE 110, Miramar, FL, 33027","305 602 1552","https://logisticssolutionsintl.com/","https://www.freightnet.com/profile/247762.htm","Yes"
"UN Network Pvt. Ltd.","Delaware, Delaware, USA, 19701","+9118779010489","","https://www.freightnet.com/profile/253565.htm","Yes"
"Senshipping LLC","9346 Harrison rd., Romulus, Michigan / U.S.A, 48174","3138086266","https://sencontainershipping.com/","https://www.freightnet.com/profile/148269.htm","Yes"
"IMPORIAX LLC","100 E NASA PAKWY, SUITE 45, WEBSTER, TEXAS, 77598","18326322503","","https://www.freightnet.com/profile/256350.htm","Yes"
"AIR 7 SEAS Transport Logistics Inc","USA Licensed FMC IATA CHB NVOCC C-TPAT;  5 Sales Offices, 14 Receiving Terminals, Full USA coverage, California USA, air7seas.com","+1 800-759-7732","http://www.air7seas.com/","https://www.freightnet.com/profile/6077.htm","Yes"
"NEWTRANS OVERSEAS, INC.","9690 Telstar Ave, Suite 206, El Monte, CA, 91731","13102158901","http://www.newtransoverseas.com/","https://www.freightnet.com/profile/262458.htm","Yes"
"Cargo Solution Express Inc","14587 Valley Blvd, Fontana, California, Fontana, CA, 92335","9093501644","","https://www.freightnet.com/profile/261515.htm","Yes"
"Universum Group","8288 nw 66 st, Miami, FL, 33166","305-420-6728","http://www.universumgp.com/","https://www.freightnet.com/profile/84208.htm","Yes"
"Texas Global Services","6046 FM2920 #307, Spring, Texas, 77379","832-797-1579","https://www.texasglobalservices.com/","https://www.freightnet.com/profile/142629.htm","Yes"
"Mach Twenty 11","350 S Figueroa St, Los Ageles, ca, 90071","2134416643","","https://www.freightnet.com/profile/261696.htm","Yes"
"TOTAL LOGISTICS FREIGHT INC","5274 Meredrew LN, Saint Cloud, FL, 34771","3212084146","","https://www.freightnet.com/profile/257843.htm","Yes"
"TransJet Cargo","325 S College Ave, Indianapolis, IN, 46202","800-632-1760","https://www.transjetcargo.com/","https://www.freightnet.com/profile/262148.htm","Yes"
"ACCESS AIR","6500 SILVER DART DR, SUITE 306, MISSISSAUGA, ONTARIO, L5P1A2","+1-9056768323","","https://www.freightnet.com/profile/117355.htm","Yes"
"GLOBAL SHIPPING PARTNERS","1 BRIDGE PLAZA NORTH, SUITE 675, FORT LEE, BERGEN, 07024","2013512453","http://www.gspforwarding.com/","https://www.freightnet.com/profile/87911.htm","Yes"
"CARVAL INTERNATIONAL LLC","350 PARSIPPANY RD APT 51, PARSIPPANY, NEW JERSEY, 07054","8624318337","http://www.carvals.us/","https://www.freightnet.com/profile/256324.htm","Yes"
"NZS Worldwide Inc","611 Gateway Blvd Ste 120 #283, South San Francisco, CA, 94080","(650) 875-1400","http://www.nzsworldwide.com/","https://www.freightnet.com/profile/249848.htm","Yes"
"Expediship","1200 Hawthorne Ave NE, Salem, Oregon, 97301","9716008900","https://expediship.com/","https://www.freightnet.com/profile/258610.htm","Yes"
"FHL LOGISTICS INC","8035 NW 68TH STREET, MIAMI, FL, 33166","305-5992990","http://www.fhllogistics.com/","https://www.freightnet.com/profile/148507.htm","Yes"
"PLC NETWORK LLC","7756 SW 77th Ave, STE 253, Miami, FL, 33156","13059002170","","https://www.freightnet.com/profile/249544.htm","Yes"
"Velox International Shipping, Inc","28-31 Merry Lane, East Hanover, New Jersey, NJ, 07936","+1-973-463-0088","http://www.veloxshipping.com/","https://www.freightnet.com/profile/13465.htm","Yes"
"Quasar Logistics Inc. | Mariners Harbor Cargo Terminal Inc. |  Airtruck Inc.","c/o Around The Clock Dispatch, 217-44a 98th Avenue, Queens Village, New York, 11429","7188805847","https://quasar.mhterminal.com/","https://www.freightnet.com/profile/143077.htm","Yes"
"MyExpressFreight","1243 N. Gene Autry Trail, Palm Springs, Riverside, 92262","2015460933","","https://www.freightnet.com/profile/253646.htm","Yes"
"Torrent Freight Inc","33 South Service Road, Jericho, NY, 11753","3477545745","http://www.torrentfreight.com/","https://www.freightnet.com/profile/129492.htm","Yes"
"Saturn Freight Systems","7270 NW 35th Terrace, Miami, FL, 33122","xxx-xxx-xxxx","","https://www.freightnet.com/profile/257944.htm","Yes"
"WORLDPAC LOGISTICS INC","186 PATERSON AVE , SUITE 305, East Rutherford, NJ, 07073","+1(570) 856 5547","","https://www.freightnet.com/profile/255878.htm","Yes"
"KBL Container Line","1600 E EDGAR RD, LINDEN, New Jersey, NJ, 07036","+1 908-965-0005","http://www.kblcontainerline.com/","https://www.freightnet.com/profile/22054.htm","Yes"
"MH Shipping Inc","2123 Irwin Ave, Park Ridge, Illinois, 60068","2245001462","https://mhshippinginc.com/","https://www.freightnet.com/profile/257730.htm","Yes"
"Africa 2000, Inc","3232 IGLOO ROAD, Houston, Texas, TX, 77032","+1-281-209-2400","http://www.africa2000inc.com/","https://www.freightnet.com/profile/6495.htm","Yes"
"UEI","5341 W 104th Street, Air and Sea Shipping Center, LOS ANGELES, CA, 90045","+1 310-243-2900","http://www.homeshipping.com/","https://www.freightnet.com/profile/13351.htm","Yes"
"AKY GROUP Corp","11700 NW., 101 ROAD, NR. 8,, MEDLEY, FLO, 33178","3054367676","https://www.akygroupcargo.com/","https://www.freightnet.com/profile/230278.htm","Yes"
"DC TRANSPORT LIMITED","9537 Capistrano Avenu, Chatsworth, CALIFORNIA, CA91311","+441138878459","","https://www.freightnet.com/profile/179228.htm","Yes"
"deb","400 East Bay St Suite 806 , Jacksonville, florida, 32202","6028427719","","https://www.freightnet.com/profile/256054.htm","Yes"
"A & M Global Logistics","304 Providence Rd, Morton, PA, 19070","6109985028","https://www.amglobal-logistics.com/","https://www.freightnet.com/profile/252728.htm","Yes"
"YEDAIAH US INTERNATIONAL GROUP LTD","26 SEAMAN AVE , Hempstead, NEW YORK, 11550","6469802804","http://www.yedaiah.us/","https://www.freightnet.com/profile/213504.htm","Yes"
"Nobel Cargo Systems, Inc.","1680 NW 82nd Avenue, Doral, Florida, FL, 33126","305-341-0680","http://www.nobelcargo.com/","https://www.freightnet.com/profile/2849.htm","Yes"
"Sox Logistics","9950 Indiana Ave Suite 3 Riverside California  , Riverside CA, California, 99504","","","https://www.freightnet.com/profile/265357.htm","No"
"Imports Exports Logistics, Inc","6820 NW 77th Ct , Miami, FL, 33166","","","https://www.freightnet.com/profile/149228.htm","No"
"GREYMAR INTERNATIONAL FREIGHT LLC","6610NW 82 AV  , MIAMI, FL, 33166","","","https://www.freightnet.com/profile/81738.htm","No"
"Cargo convoy","7119 Pennsylvania Ave , Upper Darby, PA, 19082","","","https://www.freightnet.com/profile/257189.htm","No"
"Borderless Logistic Solutions","1908 Tomahawk Trail , Aubrey, Texas / USA, 76227","","","https://www.freightnet.com/profile/266105.htm","No"
"US Inbound","53 W Jackson Blvd # 663, Chicago, IL 60604, United States , Illinois, Chicago, USA, 60604","","","https://www.freightnet.com/profile/262989.htm","No"
"best china freight","18944 Vickie Ave Cerritos, CA 90303 , ca, ca, 90303","","","https://www.freightnet.com/profile/251989.htm","No"
"Zekix","909 Silber rd , 59, Houston, Texas, 77024","","","https://www.freightnet.com/profile/265986.htm","No"
"Citi Freight Logistics Inc.","USA: 55 Carter Drive, Suite 201, Edison NJ 08817. , Edison, USA, NJ 08817","","","https://www.freightnet.com/profile/195069.htm","No"
"BIL LOGISTICS LLC","787 SHEPHERD AVE. , BROOKLYN, NY, 11208","","","https://www.freightnet.com/profile/246943.htm","No"
"TRANSGLOBEX LOGISTICS","701 Milam Street Floor 13th  Houston , HOUSTON, TEXAS, 77002","","","https://www.freightnet.com/profile/252850.htm","No"
"KR Supply Chain","820 JACKWOOD CT SE , SALEM, OR, 97306","","","https://www.freightnet.com/profile/265555.htm","No"
"MTC","615 Saginaw St Suite 7003 , Flint, MI, 48502","","","https://www.freightnet.com/profile/265407.htm","No"
"ACCELERATED GLOBAL SOLUTIONS","3333 NEW HYDE PARK , NEW HYDE PARD, NY, 11042","","","https://www.freightnet.com/profile/265287.htm","No"
"A.C.T Global logistics LLC","11 Middle Neck Road , suite 306, Great Neck, New York, 11021","","","https://www.freightnet.com/profile/23844.htm","No"
"lambow logistics","3348 lincoln road apt 219 , indianapolis, indiana, 46222","","","https://www.freightnet.com/profile/193281.htm","No"
"Daylord LLC","731 W 7th ST , Joplin, MO, 64801","","","https://www.freightnet.com/profile/264989.htm","No"
"Onsite Global Logistics","14405 Walters Road, Suite 800 , Houston, Texas, 77014","","","https://www.freightnet.com/profile/265055.htm","No"
"ExFreight Zeta LLC","2290, 10th Ave, Suite 501 , Lake Worth, FL, 33461","","","https://www.freightnet.com/profile/264769.htm","No"
"Access International Services, Corp.","8073 NW 67 STREET , MIAMI, Florida, 33166","","","https://www.freightnet.com/profile/136078.htm","No"
"Advanced Moving","12541 Abbotsbury Ct , Charlotte, NC, 28277","","","https://www.freightnet.com/profile/264455.htm","No"
"North Cape Logistics","7567 Lush Oasis Avenue , Las Vegas, Nevada, 89113","","","https://www.freightnet.com/profile/258581.htm","No"
"UNIVERSAL SHIPPING AND LOGISTICS INC","5901 N. CICERO AVE. SUITE 304 CHICAGO, IL 60646 , Chicago, Illinois, 60646","","","https://www.freightnet.com/profile/264412.htm","No"
