"name","address","phone","website","profileUrl","isPremiumMember"
"ENMR Logistics LLC","700 Cocoanut Avenue, Sarasota, Sarasota County, Florida, 34236","‪(941) 328-8065","https://www.enmrlogistics.com/","https://www.freightnet.com/profile/258663.htm","Yes"
"Forevermore Logistics Group","2100, Rockford, Illinois, 61101","8156817224","","https://www.freightnet.com/profile/261805.htm","Yes"
"Cargo Convoy Inc","7119 Pennsylvania Ave, Upper darby, PA, 19082","267-771-0667","","https://www.freightnet.com/profile/260733.htm","Yes"
"NexGen Global Logistics LLC","14900 Avery Ranch BLVD, STE C200-1121 Austin, TX 78717, Austin, Texas, 78717","02542543501","","https://www.freightnet.com/profile/260687.htm","Yes"
"Transit Save, LLC","11 Apex Drive Ste300,  1058, Marlborough, MA, 01752","508 449 9040","http://www.transitsave.com/","https://www.freightnet.com/profile/60873.htm","Yes"
"Lightning Cargo Solution Inc","1717 21st ave, Oakland, ca, 94606","5102142403","","https://www.freightnet.com/profile/256175.htm","Yes"
"DayLordXpress Logistics","731 W 7th ST , Joplin, MO, 64801","","","https://www.freightnet.com/profile/252682.htm","No"
"American Logistics","68 South west road Melville , Melville, New York, 11747","","","https://www.freightnet.com/profile/259808.htm","No"
"Total Quality Logistics","3175 Lenox Park Blvd Ste 202 , Memphis, Tennessee, 38115","","","https://www.freightnet.com/profile/265369.htm","No"
"GOSASH","3729 Rolling Rd , High Point, North Carolina, 27265","","","https://www.freightnet.com/profile/265089.htm","No"
"SKY FLY TRUCKING LLC","1900 Polaris Parkway, Suite 450, Columbus, OHIO, 43240","","","https://www.freightnet.com/profile/264413.htm","No"
"MTC-MI","11775 KINGS COLONY RD , Grand Blanc, MI, 48439","","","https://www.freightnet.com/profile/263500.htm","No"
"COAST 2 COAST VAN LINES","1711 MOORE ST , RICHMOND, VA, 23220","","","https://www.freightnet.com/profile/220478.htm","No"
"American logistics Group","68 S SERVICE RD 100, MELVILLE, NY 11747 , MELVILLE, NY, 11747","","","https://www.freightnet.com/profile/262362.htm","No"
"Connexzia","2918 Avenue I , Brooklyn, NY, 11210","","","https://www.freightnet.com/profile/262006.htm","No"
"charge logistic inc","14050 CHERRY AVE , STE H, FONTANA, California, 92337","","","https://www.freightnet.com/profile/260742.htm","No"
"Cargo Convoy Inc","7119, Pennsylvania Ave , Upper Darby, PA, 19082","","","https://www.freightnet.com/profile/254057.htm","No"
"Punctual Expedited","101 Bradford Road , Suite 200, Wexford, PA, 15090","","","https://www.freightnet.com/profile/247481.htm","No"
"Valiant Global Solutions / Valiant GS Logistics","6224 Cannoli Pl , Riverview, FL, 33578","","","https://www.freightnet.com/profile/223684.htm","No"
"Nav Logistics Inc","13803 arroyo grande dr  , cypress, usa, 77433","","","https://www.freightnet.com/profile/253837.htm","No"
"Eternity logistics llc","175,Broadhollow Rd, Suite 110, Melville, New York 11747 , Melville, NY, 11747","","","https://www.freightnet.com/profile/253276.htm","No"
"Snow Freight","601 William St. Oakland, CA 94612 , 601 William St. Oakland, CA 94612, Oakland, CA, 94612","","","https://www.freightnet.com/profile/252286.htm","No"
"Strawberry Logistics LLC","12036 Karabair way , Providence Village, Texas, 76227","","","https://www.freightnet.com/profile/251372.htm","No"
"Western freight system","1049 north glassell  , Orange, California, 92867","","","https://www.freightnet.com/profile/251339.htm","No"
"Gravity Concepts Logistics","17110 House & Hahl Rd. C4, Cypress, TX 77433 , 17110 House & Hahl Rd., C4, Texas, Cypress","","","https://www.freightnet.com/profile/248274.htm","No"
"Global Freight Group","1343 Terrell Mill Road , Suite 200, Marietta, GA, 30067-9472","","","https://www.freightnet.com/profile/246813.htm","No"
"Certified Transportation Network (CTN Group)","848 N. Rainbow Blvd. #4052 , Las Vegas, Nevada, 89107","","","https://www.freightnet.com/profile/232232.htm","No"
"Harrison Logistics Network","801 Travis Street , Ste 2101, Houston, TX, 77002","","","https://www.freightnet.com/profile/239152.htm","No"
"Cubic SCT, Inc.","600 North Broad Street , Suite 5, 1235, Middletown, DE, 19709","","","https://www.freightnet.com/profile/243280.htm","No"
"Eternity Logistics","308 West 10th St. Deer Park , 308 West 10th St. Deer Park, 308 West 10th St. Deer Park, ny, 11729","","","https://www.freightnet.com/profile/224044.htm","No"
"AMERICA BEST LOGISTICS CORP","1209 N Orange Street  , Wilmington, Delaware, 19801","","","https://www.freightnet.com/profile/228618.htm","No"
"ColtonCooper Logistics","6135 Lipan St, #218 , Denver, CO, 80221","","","https://www.freightnet.com/profile/224894.htm","No"
"Eternity Logistics Solutions","308 west deer park,NY,11729 , deer park, New York, 11729","","","https://www.freightnet.com/profile/223550.htm","No"
"A C Pack and Ship LLC","1400 W. Lombard  , Baltimore, MD, 21223","","","https://www.freightnet.com/profile/202730.htm","No"
"Padrose Services","941 S Vermont Ave STE 101 , #209, Los Angeles, California, 90006","","","https://www.freightnet.com/profile/108729.htm","No"
"Road Legends","13769 Main St #200, Lemont, IL 60439 , Lemont, IL, 60439","","","https://www.freightnet.com/profile/215850.htm","No"
"Vineyard brokerage","9438 Park Meridian Drive Indianapolis, Indiana , Indianapolis, Indiana, 46260","","","https://www.freightnet.com/profile/215284.htm","No"
"CEIF Logistics Network","2803 Philadelphia Pike  Suite B #214 , Claymont, Delaware, 19703","","","https://www.freightnet.com/profile/176714.htm","No"
"Crown Shipping","15 Brittingham Dr , Dover, Delaware, 19904","","","https://www.freightnet.com/profile/107160.htm","No"
"ISL Network","2600 Lake Ridge Rd #2223 , Lewisville, TX, 75056","","","https://www.freightnet.com/profile/174740.htm","No"
"Geek Girl Elite Logistics","9300 Conroy Windermere Rd  , Suite 2191, Windermere, Florida, 34786","","","https://www.freightnet.com/profile/141215.htm","No"
"Freight Hub","8005 NW 80th St Unit 1  , Miami, FL, 33166","","","https://www.freightnet.com/profile/167452.htm","No"
"IFLN Network","700 Rockmead Dr. , Kingwood, TX, 77339","","","https://www.freightnet.com/profile/101460.htm","No"
"Imperial Freight Brokers","10890 NW 29TH Street , Doral, FL, 33178","","","https://www.freightnet.com/profile/161190.htm","No"
"Certified Transportation Network","848 N. Rainbow Blvd #4052 , Suite 101, Las Vegas, Nevada, 89107","","","https://www.freightnet.com/profile/23909.htm","No"
"Freight Agents Network","45 Gardenville Pkw. W , Suite 2, West Seneca, New York, 14224","","","https://www.freightnet.com/profile/1970.htm","No"
"England Logistics Agent","1365 El Nido Drive  , Fallbrook, CA, 92028","","","https://www.freightnet.com/profile/156539.htm","No"
"Lighthouse Network Management","2520 NW 97th Ave; Ste 110 , Miami, FL, 33172","","","https://www.freightnet.com/profile/113614.htm","No"
"Loaded Trans Logistics","545 SW 3rd Terrace , Homestead, FL, 33030","","","https://www.freightnet.com/profile/137629.htm","No"
"North American Freight Agency","1555 Elm Grove , Akron, Ohio, United States, 44312","","","https://www.freightnet.com/profile/136159.htm","No"
"WorldNet Associates","2018 Mount Forest Drive , Kingwood, Texas, 77345","","","https://www.freightnet.com/profile/6264.htm","No"
"PLS Logistics Services","2055 Dakota Dr , Fargo, ND, 58102","","","https://www.freightnet.com/profile/103443.htm","No"
"The Globalink Network","5227 Irvington Place , San Antonio, TX, 78214","","","https://www.freightnet.com/profile/100856.htm","No"
"Franz Bethel Logistics LLC","140 S. Dixie Hwy, Unit 933 , Hollywood, Florida, 33020","","","https://www.freightnet.com/profile/99926.htm","No"
