"name","address","phone","website","profileUrl","isPremiumMember"
"Airblox","5600 N. River Road, Rosemont, Illinois, 60018","46233641","https://airblox.com/","https://www.freightnet.com/profile/254666.htm","Yes"
"DISPATCHMVP","27240 Turnberry Lane , Santa Clarita, California, 91355","","","https://www.freightnet.com/profile/265906.htm","No"
"Best Creative Solutions","2614 NW 72 Avenue , Miami, Florida, 33122","","","https://www.freightnet.com/profile/243441.htm","No"
"Air Cargo Inc","400 Oyster point blvd  , South San Francisco, CA, 94080","","","https://www.freightnet.com/profile/255737.htm","No"
"TalkFreight","6550 Sprint Parkway , Suite 200, Overland Park, KS, 66210","","","https://www.freightnet.com/profile/244878.htm","No"
"BoxOn Logistics Software","7801 NW 37th Street , Suite LP-104, Doral, Florida, 33166","","","https://www.freightnet.com/profile/138868.htm","No"
"US Trans","738 E Dundee Rd #162 , Palatine, Illinois, 60074","","","https://www.freightnet.com/profile/203275.htm","No"
"GoFreight.co","17128 Colima Road. #203, Hacienda Heights,CA 91745 , Hacienda Heights, California, 91745","","","https://www.freightnet.com/profile/180294.htm","No"
"ControlBox Corp","7400 NW 19th St, suite D , Doral, FL, 33126","","","https://www.freightnet.com/profile/146791.htm","No"
"Cedrus Logistics, LLC","Miami , Miami, Florida, 33072","","","https://www.freightnet.com/profile/157373.htm","No"
"Intellect Technologies Inc","4301 U.S.Highway 1, Suite 12 , Monmouth Junction, New Jersey, 08852","","","https://www.freightnet.com/profile/153801.htm","No"
"Linbis Logistics Software","5410 NW 72 AVE , Miami, FL, 33166","","","https://www.freightnet.com/profile/146174.htm","No"
"ProcessWeaver","5201 Great America Pky, Suite #300 , Santa Clara, Santa Clara, CA, 95054","","","https://www.freightnet.com/profile/141552.htm","No"
"Streamline Inc.","9838 Old Baymeadows Road , Suite 173, Jacksonville, Florida, 33256","","","https://www.freightnet.com/profile/102947.htm","No"
"Cargo Crunch","5100 Poplar Avenue, Ste. 1755 , Memphis, TN, 38137","","","https://www.freightnet.com/profile/60103.htm","No"
"Logistics Software","445 Broadhollow Road , Suite CL 42, Melville, NY, 11747","","","https://www.freightnet.com/profile/86758.htm","No"
"Truck Hive","Portland , Suite 5 Portland, Portland, 97201","","","https://www.freightnet.com/profile/91632.htm","No"
"ProcessWeaver Software Solutions","5201 Great America Pky, Suite , Santa Clara, CA, 95054","","","https://www.freightnet.com/profile/87806.htm","No"
"BlueGrace Logistics","2846 Falkenburg Road , Riverview, FL, 33578","","","https://www.freightnet.com/profile/85745.htm","No"
"TranSolutions, Inc","22015 N. Calle Royale , Scottsdale, Arizona, AZ, 85255","","","https://www.freightnet.com/profile/23866.htm","No"
"TruckMaster Logistics Systems, Inc.","506 South Adams , PO Box 501, Jerome, Idaho, 83338","","","https://www.freightnet.com/profile/52860.htm","No"
"CargoWise","1515 East Woodfield Road , Suite 820, Schaumburg, Illinois, IL, 60173","","","https://www.freightnet.com/profile/3391.htm","No"
"Trade Ship, Inc","Woodlands Office Park , 700 Veterans Memorial Highway, Hauppauge, New York, NY, 11788","","","https://www.freightnet.com/profile/8966.htm","No"
"Towxchange.Net","P. O. Box 540361 , Grand Prairie, Texas, TX, 75054","","","https://www.freightnet.com/profile/4391.htm","No"
"Magaya Corporation","8725 NW 18 Terrace , Suite 209, Miami, Florida, FL, 33172","","","https://www.freightnet.com/profile/8960.htm","No"
"ABOL Software","413 Creekstone Ridge , Woodstock, Georgia, GA, 30188-3746","","","https://www.freightnet.com/profile/8964.htm","No"
"SympoSoft Corp","1849 Bayshore Hwy #228 , Burlingame, California, CA, 94010","","","https://www.freightnet.com/profile/9507.htm","No"
"Horizon Services Group, LLC","4100 Alpha Road Ste 700 , Dallas, Texas, TX, 75244","","","https://www.freightnet.com/profile/10422.htm","No"
"Logisuite Corporation","8725 NW 18th Terrace , Suite 402, Doral, FL, 33172","","","https://www.freightnet.com/profile/57283.htm","No"
"IMS Inc","4810 NE 20th Pl , Renton, Washington, WA, 98059","","","https://www.freightnet.com/profile/12044.htm","No"
"Truckloadrate.com","899 Presidential Drive , Suite 117, Richardson, Texas, TX, 75081","","","https://www.freightnet.com/profile/13758.htm","No"
"Freightdata 2000 USA","617 East Colonial Drive , Orlando, Florida, FL, 32803","","","https://www.freightnet.com/profile/18023.htm","No"
"Management Dynamics","One Meadowlands Plaza , East Rutherford, New Jersey, NJ, 07073","","","https://www.freightnet.com/profile/20446.htm","No"
"CT Logistics","12487 Plaza Drive , Cleveland, Ohio, OH, 44130","","","https://www.freightnet.com/profile/20570.htm","No"
"WDX Freight Systems","P.O. Box 187 , Arlington Heights, Illinois, IL, 60006-0187","","","https://www.freightnet.com/profile/22418.htm","No"
"First Freight CRM","1350 Abbot Kinney Blvd , Suite 201, Venice Beach, CA, 90291","","","https://www.freightnet.com/profile/49622.htm","No"
"eRoutingGuide","376 N Homestead Dr. Ste 101 , Landisville, PA, 17538","","","https://www.freightnet.com/profile/52170.htm","No"
