"name","address","phone","website","profileUrl","isPremiumMember"
"Global Logistics of Jacksonville","12420 San Jose Blvd , Jacksonville, FL, 32223","","","https://www.freightnet.com/profile/265322.htm","No"
"EasyCarnet","4612 Yosemite Way , Los Angeles, caliornia, 90041","","","https://www.freightnet.com/profile/265689.htm","No"
"Launch Freight Systems","130 Ford Avenue , Milltown, New Jersey, 08850","","","https://www.freightnet.com/profile/265333.htm","No"
"MH Shipping Inc","2123 Irwin Ave , Park Ridge, IL, 60068","","","https://www.freightnet.com/profile/236717.htm","No"
"AYCE Shipping, LLC","3120 PRAIRIE SMOKE , NEW BRAUNFELS, TX, 78130","","","https://www.freightnet.com/profile/257402.htm","No"
"GLOBAL CARGO DEVELOPMENT GROUP (A Service of Boston Global Resources Group)","Los Angeles International Airport , Cargo Terminal, Los Angeles, California, 90045","","","https://www.freightnet.com/profile/166534.htm","No"
"Alliance Air Freight","9822 Glenoaks Blvd , Sun Valley, CA, 91352","","","https://www.freightnet.com/profile/230810.htm","No"
"Loads time logistics","2219 Rimland Dr. Suite 301 , Bellingham, WA, 98226","","","https://www.freightnet.com/profile/249806.htm","No"
"Edwards Air Ent LLC","275 Toney Penna Dr Suite 10 , Florida, FL, 33458","","","https://www.freightnet.com/profile/248159.htm","No"
"WEIT LOGISTIC","2616 nw 72nd ave  , Doral, Florida, 33122","","","https://www.freightnet.com/profile/235203.htm","No"
"809 shipping LLC","2000 nw 97th ave, Door #22 , Miami, Florida, 33172","","","https://www.freightnet.com/profile/176552.htm","No"
"American Logistics Group","68 s service NY RD , Melville, NY, 11747","","","https://www.freightnet.com/profile/230847.htm","No"
"Snow Logistics","4401 Little Road , Tarrant, Texas, 76140","","","https://www.freightnet.com/profile/177835.htm","No"
"M3K Associates","Poplar Farms Dr , Hiram, Georgia, 30141","","","https://www.freightnet.com/profile/220492.htm","No"
"Blue Sky","1143 Pacific Street , Union City, CA, 94587","","","https://www.freightnet.com/profile/193386.htm","No"
"Patfer international transport logistic ltd","2450 Courage Blvd , Brownsville, TX, 78521","","","https://www.freightnet.com/profile/210186.htm","No"
"Fnf traders corp","626 rxr plaza , west tower 6th floor, uniondale, NY, 11556","","","https://www.freightnet.com/profile/190867.htm","No"
"Cargo logistics","2501 southern avenue temple hills, Maryland 20748 , Baltimore, Maryland/USA, 21201","","","https://www.freightnet.com/profile/193612.htm","No"
"AfricaCTN LLC","12345 Jones Road , Suite 152, Houston, TX, 77070-4959","","","https://www.freightnet.com/profile/169088.htm","No"
"Tradex USA Logistics","1563 NW  82 Ave , Doral, Florida, 33126","","","https://www.freightnet.com/profile/161714.htm","No"
"Emperor Trading","16214 KINTYRE POINT RD , Houston, Texas, TX, 77095","","","https://www.freightnet.com/profile/13151.htm","No"
"OARB Logistics","978 44th St , Oakland, Alameda, 94608","","","https://www.freightnet.com/profile/17164.htm","No"
"Nations Express","1300 Altuna Road , Fort Mills, NC, 29708","","","https://www.freightnet.com/profile/96810.htm","No"
"Kodin International","7420 Wilflower , plano, tx, 75024","","","https://www.freightnet.com/profile/98214.htm","No"
"R&B Logistics","124 Forest Hill Blvd Ste B , Houston, Texas, TX, 77011","","","https://www.freightnet.com/profile/22676.htm","No"
"Freight Specialist","590 SW 49th Avenue , Miami, Florida, 33134","","","https://www.freightnet.com/profile/56868.htm","No"
"Oddessa GSA Neutralogistics","8272 NW 14th St , Doral, Florida, FL, 33126","","","https://www.freightnet.com/profile/23896.htm","No"
"Ray's Delivery Logistics Inc.","8810 Boggy Creek Rd Suite 100 , Orlando, Florida, FL, 32824","","","https://www.freightnet.com/profile/19675.htm","No"
"Castle Distributors Inc, DBA Stonelocator","2735 Hartland Rd.  , Suite# 301, Falls Church, Virginia, VA, 22043","","","https://www.freightnet.com/profile/19677.htm","No"
"Synergy Global Solutions, Inc","3351 SW 175 Ave  , Miami, Florida, FL, FL","","","https://www.freightnet.com/profile/22860.htm","No"
"Elite Freight Solutions","210 North 8th Street , Manitowoc, Wisconsin, WI, 54220","","","https://www.freightnet.com/profile/22964.htm","No"
"Global Logistics Cosulting, Inc.","332 East Jericho Turnpike, 2nd Floor , Huntington Station, New York, USA, 11746","","","https://www.freightnet.com/profile/63861.htm","No"
