"name","address","phone","website","profileUrl","isPremiumMember"
"DIGILOGISTIXand FREIGHT LLC","5648 KUMQUAT RD  ,   WEST PALM BCH, FL   33413, United States, FL   33413","+1 561-872-5277","http://digilogistixandfreights.com/","https://www.freightnet.com/profile/254910.htm","Yes"
"Rocket-Freight LLC","5205 allen street, Unit D, houston, texas, 77007","7135947496","http://www.rocket-freight.com/","https://www.freightnet.com/profile/203448.htm","Yes"
"Marlin Shipping","181 S Franklin Ave Suite 103, Valley Stream, New York, 11581-1101","+1 (516) 760‑6076","http://nabeel@marlin-shipping.com/","https://www.freightnet.com/profile/255945.htm","Yes"
"Immensity Logistics LLC","1207 Delaware Ave. Suite #820, Wilmington, DE, 19806, Wilmington, Delaware, 19806","5015006679","","https://www.freightnet.com/profile/260535.htm","Yes"
"BNDZ TRANSPORTARTION LLC","6620 EAST 32ND ST, YUMA, AZ, 85365","7604423601","","https://www.freightnet.com/profile/258458.htm","Yes"
"D & T Express LLC","1301 Madoff , Naperville, United States, 60565","513-557-1663","","https://www.freightnet.com/profile/262867.htm","Yes"
"Eli Express Transportation LLC","90 Glenda Trace, #140, Newnan, GA, 30265","3053182291","","https://www.freightnet.com/profile/263549.htm","Yes"
"Red Rocket Logistics, LLC","410 E. Taylor St., Ste. R, Griffin, GA, 30223","4705070730","http://www.redrocketlogistics.com/","https://www.freightnet.com/profile/261055.htm","Yes"
"Spencer Vision Logistics Group LLC","328 S BROOKSIDE AVE, Freeport, NY 11520, Freeport, NY, 11520","5164698059","https://www.spencervisionlogistics.com/","https://www.freightnet.com/profile/256908.htm","Yes"
"M & C TRANSPORTATION AND LOGISTICS LLC","88 Prospect St , Passaic, NJ, 07055","9293910529","","https://www.freightnet.com/profile/258411.htm","Yes"
"MLM Transport","260 Seven Farms Drive , Suite B, Charleston, SC, 29492","6014330523","https://mlmtrans.com/","https://www.freightnet.com/profile/259623.htm","Yes"
"ETERNITY LOGISTICS SOLUTIONS LLC","175,Broadhollow Rd, Suite 110, Melville, NY 11747, Melville, New York, 11747","","","https://www.freightnet.com/profile/261773.htm","No"
"Freight Center","34125 US Highway 19 North , suite 300, Palm Harbor, Florida, 34684","","","https://www.freightnet.com/profile/265417.htm","No"
"Cargo convoy","Pennsylvania Ave , Upper Darby, USA, 19082","","","https://www.freightnet.com/profile/256295.htm","No"
"LIPSEY LOGISTICS WORLDWIDE","PO BOX 384 , Chattanooga, TN, 37411","","","https://www.freightnet.com/profile/232537.htm","No"
"STELLAR SHIPPING FORWARDING LLC","7901 4TH STREET NORTH, STE 300 , ST. PETERSBURG,FL, 33702, St. Petersburg, FL, 33702","","","https://www.freightnet.com/profile/265902.htm","No"
"STELLAR SHIPPING FORWARDING LLC","7901 4TH STREET NORTH, STE 300 , ST. PETERSBURG,FL, 33702, St. Petersburg, FL, 33702","","","https://www.freightnet.com/profile/265901.htm","No"
"AMB Logistic","101 W Big Beaver Road Suite1400 , Troy, Michigan, 48084","","","https://www.freightnet.com/profile/257422.htm","No"
"Connecting The World Transport LLC","3924 ROANOKE RD , LAGRANGE, GA, 30240","","","https://www.freightnet.com/profile/250872.htm","No"
"Red Lab Logistics","487 KING STREET SUITE 201 , CHARLESTON, SC, 29403","","","https://www.freightnet.com/profile/265412.htm","No"
"Adroit Logistics LLC","901 N Market ST ,  Suite#100, wilmington, DE, 19801","","","https://www.freightnet.com/profile/262660.htm","No"
"LAX Freight","153 W Rosecrans Ave , Gardena, California, 90248-1829","","","https://www.freightnet.com/profile/265226.htm","No"
"Olive Freight Management","239 AVENEL STREET, SUITE 11 AVENEL, NJ 07001 USA , AVENEL, NJ 07001 USA, 07001","","","https://www.freightnet.com/profile/264997.htm","No"
"Solvoj LLC","159 Eastern Way , Rutherford, New Jersey, 07070","","","https://www.freightnet.com/profile/264996.htm","No"
"Waste Walkers Dispatch, LLC","P.O. Box 9242 , Springfield, mo, 65801","","","https://www.freightnet.com/profile/264954.htm","No"
"Double A logistics","8361 Pinot Grigio St Roseville CA, 95747 ,  8036 linden lime ct Citrus Heights Ca 95610, Roseville, U.S.A, 95747","","","https://www.freightnet.com/profile/264854.htm","No"
"Global Grid Logistics","5708 Kenyon trail Noblesville, IN 46062 , Noblesville, Indiana, 46062","","","https://www.freightnet.com/profile/263587.htm","No"
"24-7 Express Solutions","1851 Southern Road , Kansas City, Kansas, 64120","","","https://www.freightnet.com/profile/264702.htm","No"
"247 shipping","3738 Judson , Land O Lakes, Florida, 34638","","","https://www.freightnet.com/profile/262211.htm","No"
"AP Freight Inc","4460 W Shaw Ave #620 , Fresno, CA, 93722","","","https://www.freightnet.com/profile/263258.htm","No"
"Sky Fly Trucking LLC","1900  , Polaris Suit q, Columbus, OH, 43240","","","https://www.freightnet.com/profile/264060.htm","No"
"EverRoute Dispatch","208 OAKFIELD DR, STE #222 , Brandon, Florida, 33511","","","https://www.freightnet.com/profile/264088.htm","No"
"Shine Logitstics LLC","1250 Broadway , New York, NY - New York, 10001","","","https://www.freightnet.com/profile/264046.htm","No"
"Expressit","P.O. Box 68453 , Seattle, WA, 98168","","","https://www.freightnet.com/profile/260591.htm","No"
"Well Cargo LLC","17628 Alburtis Avenue, Unit 10        , Artesia, California, 90701","","","https://www.freightnet.com/profile/263249.htm","No"
"Day lord Xpress","731 W 7th ST, Joplin, MO, 64801, Joplin, Missouri, 64801","","","https://www.freightnet.com/profile/263294.htm","No"
"Bold Auto Transport LLC","325 North St. Paul Street Suite 3100 , Dallas, Texas, 75201","","","https://www.freightnet.com/profile/263839.htm","No"
"G1313 Logistics","555 BroadHollow Rd., Suite 305, Melville, 11747 , Melville, New York, 11747","","","https://www.freightnet.com/profile/263582.htm","No"
"Land Air & Sea Logistics Int LLC","1108 E MAIN ST STE 906 #2639 , RICHMOND, Virginia, 23219","","","https://www.freightnet.com/profile/228777.htm","No"
"Adroit Logistics","Dover, Delaware 19901 , Dover, Delaware, 19901","","","https://www.freightnet.com/profile/258993.htm","No"
"JK Dispatch Inc","37 Ash St , Valley Stream, NY, 11580","","","https://www.freightnet.com/profile/262994.htm","No"
"Vann International, Inc.","1215 N Military Hwy 717 , Suite 717, Norfolk, VA, 23502","","","https://www.freightnet.com/profile/60395.htm","No"
"DSG Transport LLC","13726 107TH AVE CT E , PUYALLUP, WA, 98374","","","https://www.freightnet.com/profile/261328.htm","No"
"Land, Air & Sea Logistics","Henrico, VA , Henrico, VA, 23294","","","https://www.freightnet.com/profile/262491.htm","No"
"99 Trucking INC","94 clay street , PRINCETON, nj, 08542","","","https://www.freightnet.com/profile/262253.htm","No"
"Ghost Trucking Inc","2443 Rajkovich way, Stockton, CA 95212 , Stockton, CA, 95212","","","https://www.freightnet.com/profile/262445.htm","No"
"american logistics group","syosset , newyork, new york, united states os america, 11747","","","https://www.freightnet.com/profile/253780.htm","No"
"K Mccoy Enterprises","578 YORKSHIRE TER , LEWISVILLE, TX, 75067","","","https://www.freightnet.com/profile/262181.htm","No"
"GT SOLUTIONS TX INC","2801 Sumac Lane , Rowlett, texas, 75089","","","https://www.freightnet.com/profile/232462.htm","No"
"Express Way Logistics","1818 SW 1st Ave, Apt 1010, Miami, FL , Miami FL, United States of America, 33129","","","https://www.freightnet.com/profile/261974.htm","No"
"SKY FLY TRUCKING LLC","1900 , POLARIS PARKWAY, COLUMBUS, OHIO, 43240","","","https://www.freightnet.com/profile/259998.htm","No"
"American Logistics Group","PO box 28685, New York , New York, Usa, 10087","","","https://www.freightnet.com/profile/261516.htm","No"
"Amb Logistic","101 W Big Beaver Rd Suite 1400,, Troy, MI, 48084","","","https://www.freightnet.com/profile/252561.htm","No"
"American Logistics Group, Inc","68 S  , SERVICE RD 100, Melville, New York, 11747","","","https://www.freightnet.com/profile/255997.htm","No"
"SP Logistics","27002 115th PL SE , Kent, WA, 98030","","","https://www.freightnet.com/profile/260176.htm","No"
"HR freightway inc","Des plaines , DES PLAINES, IL, 60016","","","https://www.freightnet.com/profile/251282.htm","No"
"Sky Fly Trucking LLC","7497 Overland Trl , Delaware, OH, 43015","","","https://www.freightnet.com/profile/200076.htm","No"
"First Connect Worldwide","24 Commerce dr#434 , Newark, Nj USA, 07102","","","https://www.freightnet.com/profile/258273.htm","No"
