"name","address","phone","website","profileUrl","isPremiumMember"
"DMS Trade Services/Dart Maritime Service","227 W. 4th St. , Charlotte, NC, 28202","","","https://www.freightnet.com/profile/257669.htm","No"
"Parcel Management Auditing and Consulting (PMAC)","312 Conklin St , Farmingdale, New York, 11735","","","https://www.freightnet.com/profile/259652.htm","No"
"ALVI LOGISTICS","3 Christine Lane , Salem, New Hampshire, 03079","","","https://www.freightnet.com/profile/250922.htm","No"
"Effective Logistics Management LLC","4112 Locust Lane , Blue Ash, Ohio, OH, 45242","","","https://www.freightnet.com/profile/22010.htm","No"
"Andreys Logistics Inc","po box 598634 , Cleveland, OH, 44110","","","https://www.freightnet.com/profile/56052.htm","No"
"Blue Silk","760 PO Box , Los Gatos, CA, 95031","","","https://www.freightnet.com/profile/144879.htm","No"
"Evans International","287 Avenue C , 9th Floor, New York, NY, 10009","","","https://www.freightnet.com/profile/11650.htm","No"
"ICC Logistics Services, Inc.","960 South Broadway , Ste 110, Hicksville, New York, 11801","","","https://www.freightnet.com/profile/134754.htm","No"
"Worldwide Resources and Trading Ltd","2053 Somerset # 207 , Troy, Michigan, MI, 48084","","","https://www.freightnet.com/profile/16437.htm","No"
"Business Logistics","P.O. Box 67429 , Scotts Valley, California, CA, 95067","","","https://www.freightnet.com/profile/23262.htm","No"
"RHDC International","8100 Washington Ave , Suite 105, Houston, Texas, TX, 77007","","","https://www.freightnet.com/profile/11537.htm","No"
"Trans Recovery Solutions, LLC","907 W. Marketview Drive , Suite 10-316, Champaign, IL, 61822","","","https://www.freightnet.com/profile/61351.htm","No"
"TBB Supply Chain Guardian","802 Far Hills Drive , New Freedom, PA, 17349","","","https://www.freightnet.com/profile/90525.htm","No"
