"name","address","phone","website","profileUrl","isPremiumMember"
"Fast Fietz Moving","9810 Old Lockhart Rd , Austin, Texas, 78747","","","https://www.freightnet.com/profile/265447.htm","No"
"Mod Movers","401 Sky Park Way, Suite A , Monterey, California, 93940","","","https://www.freightnet.com/profile/176655.htm","No"
"Best US Moving Inc","1076 B, Park Rd , Blandon, PA, 19510","","","https://www.freightnet.com/profile/250700.htm","No"
"Big Man's Moving Company","100 Ashley Dr S #600 , Tampa, Florida, 33602","","","https://www.freightnet.com/profile/250950.htm","No"
"Family Affair Moving","1335 N Santiago St Unit C , Santa Ana, California, 92701","","","https://www.freightnet.com/profile/183946.htm","No"
"Beltway Movers Rockville MD","14819 Southlawn Ln , Rockville, Maryland, 20850","","","https://www.freightnet.com/profile/207602.htm","No"
"Anywhere Anytime Moving and Storage","603 Avocado Street , Sebring, FL, 33870","","","https://www.freightnet.com/profile/261837.htm","No"
"Ready 2 Roll Moving","10930 Loveland Madeira , Rd #1g, Loveland, Ohio, 45140","","","https://www.freightnet.com/profile/256807.htm","No"
"Best US Moving Inc","‎  , ‎, ‎ New Jersey, ‎","","","https://www.freightnet.com/profile/252805.htm","No"
"A to Z Moving & Storage, Inc.","41 Chapin Street , West Springfield, Massachusetts, 01089","","","https://www.freightnet.com/profile/260528.htm","No"
"All Around Moving & Storage","14715 5 M Center Dr , Romulus, MI, 48174","","","https://www.freightnet.com/profile/258949.htm","No"
"Eagle Star Moving","4205 W Burbank Blvd #101 , Burbank, California, 91505","","","https://www.freightnet.com/profile/258076.htm","No"
"BR Moving","1609 N Delaware Ave , Philadelphia, PA, 19125","","","https://www.freightnet.com/profile/257712.htm","No"
"Van Express Moving & Storage","1 Emerson Ave , Jersey City, New Jersey / Hudson County, 07306","","","https://www.freightnet.com/profile/257320.htm","No"
"International Sea & Air Shipping","4800 West Side Avenue , North Bergen, New Jersey, 07047","","","https://www.freightnet.com/profile/257067.htm","No"
"International Sea & Air Shipping","115 Meacham Avenue , Elmont, NY, 11003","","","https://www.freightnet.com/profile/250288.htm","No"
"Transparent International Movers","141 Flushing Ave #1007 , Brooklyn, New York, 11101","","","https://www.freightnet.com/profile/174596.htm","No"
"SPYDER Moving and Storage Oxford","1539 University Avenue , Oxford, Mississippi, 38655","","","https://www.freightnet.com/profile/168916.htm","No"
"Birdseye Transport & Logistics","1616 N Florida Mango suite A6 , West Palm Beach, Florida, 33409","","","https://www.freightnet.com/profile/255780.htm","No"
"On The Move Moving Company","4050 Enterprise Way Suite 180 , Flowery Branch, Hall County, 30542","","","https://www.freightnet.com/profile/253615.htm","No"
"The Orlando Moving","701 Easy Ave , Orlando, Florida, 32805","","","https://www.freightnet.com/profile/253576.htm","No"
"COWS Mobile Storage","325 Rand Yard Rd  , Sanford, Florida, 32771","","","https://www.freightnet.com/profile/163346.htm","No"
"A2B Moving and Storage Maryland","9950 Business Pkwy  , #100b, Lanham, Maryland, 20706","","","https://www.freightnet.com/profile/253218.htm","No"
"Columbine Moving & Storage","930 Chambers Ave , Eagle, CO, 81631","","","https://www.freightnet.com/profile/253076.htm","No"
"Columbine Moving & Storage","411 Aspen Airport Business Center , Aspen, CO, 81611","","","https://www.freightnet.com/profile/253009.htm","No"
