"name","address","phone","website","profileUrl","isPremiumMember"
"Allstate Caribbean Express Shipping LLC","178 East 33rd Street , Paterson, New Jersey, 07504","","","https://www.freightnet.com/profile/140123.htm","No"
"Route King Logistics","158 Long Ferry Road, Perth Amboy, N , Perth Amboy, NJ, 08861","","","https://www.freightnet.com/profile/249215.htm","No"
"SeaMates International Inc","205 Greenfield Circle , Fayetteville, Georgia, GA, 30215","","","https://www.freightnet.com/profile/143.htm","No"
"Federated Maritime LLC","1900 Glades Rd , Suite 500-64, Boca Raton, Florida, 33431","","","https://www.freightnet.com/profile/255098.htm","No"
"Choice Logistics","656 Swedesford Rd, Suite 220 , Wayne, Pennsylvania, 19087","","","https://www.freightnet.com/profile/250783.htm","No"
"Morgan Shipping Lines","301 West 57th Street , 28D, New York, NY, 10019","","","https://www.freightnet.com/profile/115288.htm","No"
"Master shipping company","Aleppo , Los Angeles California, California, California, 90001","","","https://www.freightnet.com/profile/241345.htm","No"
"Reliance Transportation Services","478 , Linden, Teaneck, Nj, 07666","","","https://www.freightnet.com/profile/233558.htm","No"
"Auto Transport Broker Leads","9032 Soquel Drive C-10 , Aptos, Santa Cruz, 95003","","","https://www.freightnet.com/profile/149108.htm","No"
"MCS Logistics LLC","110 E. Schiller St. , Suite 220, Elmhurst, IL, 60126","","","https://www.freightnet.com/profile/108814.htm","No"
"United Maritime Int'l,Inc","1440 Maple Ave.Suite 1B.Lisle,IL 60532.USA. , Lisle, IL, 60532","","","https://www.freightnet.com/profile/114249.htm","No"
"Spartan Traffic","P.O. Box 396 , Chester, CA, 96020","","","https://www.freightnet.com/profile/106432.htm","No"
"Stella LINE","1601 Sahlman Drive , Tampa, Florida, 33605","","","https://www.freightnet.com/profile/100717.htm","No"
"Unirelo","41913 Osgood Rd, Fremont CA 94539, Fremont, California, 94539","","","https://www.freightnet.com/profile/95829.htm","No"
"Refrigerated Food Express Inc.","57 Littlefield Street , Avon, MA, 02322","","","https://www.freightnet.com/profile/63383.htm","No"
"Container Marine, Inc.","750 N.W. 33rd Street , Suite 160-B, Pompano Beach, Florida, 33064","","","https://www.freightnet.com/profile/82191.htm","No"
"DeWitt Transportation","18 N. Tracy St. , Charleston, South Carolina, 29403","","","https://www.freightnet.com/profile/55102.htm","No"
"Horizon Lines- Five Star Express Asia Service","600 E. Las Colinas Blvd , Suite 550, Irving, Texas, TX, 75039","","","https://www.freightnet.com/profile/23256.htm","No"
"Atlantic Container Line","PO Box 4120 , Iselin, New Jersey, NJ, 08830-4120","","","https://www.freightnet.com/profile/9034.htm","No"
"Global Container Lines","100 Quentin Roosevelt Blvd , Garden City, New York, NY, 11530","","","https://www.freightnet.com/profile/9053.htm","No"
"Horizon Lines","4064 Colony Road , Suite 200, Charlotte, North Carolina, NC, 2821","","","https://www.freightnet.com/profile/9058.htm","No"
"Horizon Lines - Five Star Express Asia Service","600 E. Las Colinas Blvd. , Suite 550, Irving, TX, 75039","","","https://www.freightnet.com/profile/55342.htm","No"
"King Of Freight","1835 N. Rock Road Court , Wichita, KS, 67206","","","https://www.freightnet.com/profile/56036.htm","No"
"Raices Express Shipping Line","8205 NW 66th ST , Miami, Florida, 33166","","","https://www.freightnet.com/profile/128185.htm","No"
