"name","address","phone","website","profileUrl","isPremiumMember"
"ASTORAGE","902 Columbia Ave, Riverside, CA, 92507","2135038766","https://www.astoragehub.com/","https://www.freightnet.com/profile/260705.htm","Yes"
"Logistix 101, Inc.","53 Boatworks Drive, Bayonne, NJ, 07002","917-420-0005","","https://www.freightnet.com/profile/163410.htm","Yes"
"super secure logistics","6467 E. Washington Blvd., 6400 fleet Ave2137880, Commerce, CA, 90040","2137980181","https://supersecurelogistics.com/","https://www.freightnet.com/profile/262622.htm","Yes"
"FREIGHTAGE","151-05 B 132ND AVE , JAMAICA, NEW YORK, 11434","7185256500","","https://www.freightnet.com/profile/252679.htm","Yes"
"Aarya Logistics LLC","2599 Yellow Springs Road, Malvern, PA, 19355","+1 754 600 7133","http://www.aaryaship.com/","https://www.freightnet.com/profile/134482.htm","Yes"
"ESR Fulfillment & Storage","5636 Etheridge St, Houston, TX 77087, United States , Houston, Texas, US, 77087","","","https://www.freightnet.com/profile/264736.htm","No"
"Collegian Movers","482 Naugatuck Avenue  , Milford, Connecticut, 06460","","","https://www.freightnet.com/profile/264241.htm","No"
"Stock and Ship","3398 Main St Unit 8A , Springfield, OR, 97478","","","https://www.freightnet.com/profile/259896.htm","No"
"Dynamic Export LLC","825 Alpha St. , Duarte, CA/USA, 91010","","","https://www.freightnet.com/profile/263191.htm","No"
"3PL Business Fulfillment, Inc.","190 Whitman Avenue, Edison, NJ 08817 , Edison, NJ, 08817","","","https://www.freightnet.com/profile/263188.htm","No"
"Steel Box Containers","20 Sherbrook Cir A , Conroe, TX, 77385","","","https://www.freightnet.com/profile/259001.htm","No"
"e53 Fulfillment","3807 E University Ave,Georgetown, TX 78626   , 17440 West Little York Rd, STE A, Houston, TX 77084, Austin, Texas, 78626","","","https://www.freightnet.com/profile/258272.htm","No"
"Niwo Partners Inc","120 Raskulinecz Rd, Carteret, NJ 07008, United States , 1120 Route 22 E, Bridgewater, NJ 08807, New Jersey, United States, 07008","","","https://www.freightnet.com/profile/257500.htm","No"
"Las Vegas Crating & Logistics","4640 Polaris Avenue , Las Vegas, Nevada, 89103","","","https://www.freightnet.com/profile/246390.htm","No"
"April Freight Inc","12848 Imperial Hwy , Santa Fe Springs, CA, 90670","","","https://www.freightnet.com/profile/249337.htm","No"
"Ciao Moving & Storage","35 NE 179th Street , Miami, Florida, 33162","","","https://www.freightnet.com/profile/254277.htm","No"
"6glogistic","2001 E 4th ST suit 103 Santa Ana CA 92705 , Irvine, CA, 92620","","","https://www.freightnet.com/profile/251137.htm","No"
"CargoNest","900 Commerce Dr , Venice, Florida, 34292","","","https://www.freightnet.com/profile/250876.htm","No"
"Advanced Warehouse Inc.","700 Penhorn Ave , Secaucus, New Jersey, 07094","","","https://www.freightnet.com/profile/249038.htm","No"
"Tempest Logistics","560 Old Peachtree Road NW , STE 400, Suwanee, GA, 30024","","","https://www.freightnet.com/profile/249258.htm","No"
"long road warehouse","22043 68th Ave S  , Kent, WA, 98032","","","https://www.freightnet.com/profile/244420.htm","No"
"Brazil Express Delivery Service Inc","1000 Federal Blvd , Carteret, NJ, 07008","","","https://www.freightnet.com/profile/248462.htm","No"
"Portabox Storage Boise","103 N Curtis Road , Boise, Idaho, 83706","","","https://www.freightnet.com/profile/244673.htm","No"
"GLO Warehousing, LLC.","P.O Box 300803 , Houston, Texas, 77230","","","https://www.freightnet.com/profile/169786.htm","No"
"Stride Logistics","19803 87th Ave S , Kent, Washington, 98031","","","https://www.freightnet.com/profile/245118.htm","No"
"DreaMoving","1638 Serrano Ave , Los Angeles, CA, 90027","","","https://www.freightnet.com/profile/243463.htm","No"
"J&S Drayage LLC","7650 Marathon Dr Suite N , Livermore, CA, 94550","","","https://www.freightnet.com/profile/242685.htm","No"
"EQ Logistics","3304 Reedy Drive , Elkhart, IN, 46514","","","https://www.freightnet.com/profile/189972.htm","No"
"ICC Logistics Services INC.","960 South Broadway Suite 110 Hicksville, NY 11801 , New York, New York, NY 11801","","","https://www.freightnet.com/profile/230573.htm","No"
"Fosdesk","FOS Desk Pvt Ltd., Site No 71/2, Unit B, 2nd Floor , FOS Desk Pvt Ltd., Site No 71/2, Unit B, 2nd Floor, Whashington, USA, 600001","","","https://www.freightnet.com/profile/229223.htm","No"
"SmartPrepCenter LLC","900 S Heald St Wilmington, DE 19801, United States , Wilmington, Delaware, 19801","","","https://www.freightnet.com/profile/220292.htm","No"
"lavish logistics llc","15 villa rd  , Greenville, sc, 29615","","","https://www.freightnet.com/profile/217277.htm","No"
"Orange Movers","2511 NE 4th Ave , Pompano Beach, FL, 33064","","","https://www.freightnet.com/profile/158972.htm","No"
"Alpacka Group","196 Barnard Ave , San Jose, California, 95125","","","https://www.freightnet.com/profile/208944.htm","No"
"RSVP Global Pack and Ship","277 Royal Poinciana Way, Palm Beach, FL 33480 , Palm Beach, FL, 33480","","","https://www.freightnet.com/profile/199277.htm","No"
"SFLWorldWide","3364 Garden Brook Drive , Farmers Branch, Texas, 75234","","","https://www.freightnet.com/profile/199081.htm","No"
"WTDC","2801 NW 74th Ave , Miami, Florida, 33122","","","https://www.freightnet.com/profile/114534.htm","No"
"Roadies INC","5108 Pierce Road , Bakersfield, California, 93308","","","https://www.freightnet.com/profile/180487.htm","No"
"Quality Warehouse","165 Raritan Center Parkway , Edison, Middlesex, 08837","","","https://www.freightnet.com/profile/21191.htm","No"
"3PLGUYS","15345 Illinois Ave , Paramount, CA, 90723","","","https://www.freightnet.com/profile/162395.htm","No"
"Uncommon Carrier Inc.,","40 Campus Dr. , Kearny, NJ, 07032","","","https://www.freightnet.com/profile/156370.htm","No"
"United Warehouse Company","901 E 45th St. North , Wichita, KS, 67219","","","https://www.freightnet.com/profile/153553.htm","No"
"ACES-American Cargo Express Services","6800 NW 84th Ave , Miami, Florida, 33166","","","https://www.freightnet.com/profile/146582.htm","No"
"ProSource Logistics LLC","4200 Westpark Dr SW Ste A.  , Atlanta, Georgia, 30336","","","https://www.freightnet.com/profile/149366.htm","No"
"ContainerPort Group","5155 Warner Road , Cleveland, Ohio, 44125","","","https://www.freightnet.com/profile/150300.htm","No"
"Captech Logistics","1450 Rotterdam Industrial Park , Schenectady, NY, 12306","","","https://www.freightnet.com/profile/147631.htm","No"
"Magnum Shipping Logistics","1160 State Street , Perth Amboy, New Jersey, NJ, 08861","","","https://www.freightnet.com/profile/18947.htm","No"
