"name","address","phone","website","profileUrl","isPremiumMember"
"Guka logistics international limited","Equatorial shopping mall level 1 , Kampala, Kampala central, 256","+256773164506","https://www.gukalogistics.com/","https://www.freightnet.com/profile/230398.htm","Yes"
"KASO LOGISTICS LTD","Kampala, Entebbe, Nakawa, Kampala, 256","+256702088830","http://www.kasologistics.com/","https://www.freightnet.com/profile/256730.htm","Yes"
"Kaps Impex Limited","Plot 37/39, Kimera Road, Ntinda Kampala, Kampala, +256","+256702 844227.","http://www.kapsimpex.com/","https://www.freightnet.com/profile/128910.htm","Yes"
"EXIM FREIGHT SMC LIMITED","Plot 15, Mbuya Road Kinawataka, Richflo House, Suite 002. , Kampala, Uganda, 256","","","https://www.freightnet.com/profile/230430.htm","No"
"DTS Global Logistics LTD","Mirage complex, Frist floor, suite no: MC1-05B , Kampala, Kampala, t","","","https://www.freightnet.com/profile/263330.htm","No"
"ABC SEA AND AIR LOGISTICS","PO BOX 2824 , KAMPALA, UGANDA, +256","","","https://www.freightnet.com/profile/226000.htm","No"
"Ice Logistics Limited","Rubaga, Nabunya Road  , Plot 12, Kampala, Central, 36126","","","https://www.freightnet.com/profile/264461.htm","No"
"TRIDENT FREIGHT LIMITED","Becky House, Ground Floor, Room 1 , Lubowa, Entebbe Road, Kampala, Wakiso, 10401","","","https://www.freightnet.com/profile/257727.htm","No"
"HEY Transport Limited","Unit 16G, Intex Road, Naalya Estate , Kampala, Kampala, Central Region, 256","","","https://www.freightnet.com/profile/159137.htm","No"
"TOPHER LOGISTICS LIMITED","Kampala  , Malaba, Kireka, kira, 256","","","https://www.freightnet.com/profile/175217.htm","No"
"FAST LOGISTICS CARGO","6TH FLOOR,DIAMOND TRUST BUILDING,KAMPALA ROAD,KAMPALA,UGANDA , KAMPALA, Kampala, +256","","","https://www.freightnet.com/profile/95964.htm","No"
"Multi-Bulk Forwarders Ltd","UGANDA COOPREATIVE ALLIANCE BUILDING , NKRUMAH ROAD , PLOT 447/49, KAMPALA, UGANDA, N/A","","","https://www.freightnet.com/profile/171578.htm","No"
"Payload Cargo","Old Butabika Road Ggaba , Suite 14, Kampala, Uganda, 256","","","https://www.freightnet.com/profile/258229.htm","No"
"SHET AND PALIA LOGISTICS","Entebbe-Cargo terminal , Entebbe, Entebbe, 0000","","","https://www.freightnet.com/profile/250337.htm","No"
"Districargo forwarders limited","OLD PORTBELL ROAD , KAMPALA, NAKAWA, TO24","","","https://www.freightnet.com/profile/257038.htm","No"
"MARITIME SHIPPING CO LTD","Kampala Road , Ambassodor house, Kampala City, Uganda, 33865","","","https://www.freightnet.com/profile/240390.htm","No"
"ECU WORLDWIDE UGANDA LIMITED","NAKAWA BUSINESS PARK , BLOCK B, 3RD FLOOR, KAMPALA, Uganda, 10318","","","https://www.freightnet.com/profile/253629.htm","No"
"Alaca Clearing and Forwarding Limited","Sofia Lane , Busia, Uganda, 0006","","","https://www.freightnet.com/profile/230862.htm","No"
"UniCargo Forwarders Limited","Opp Mutaasa City Kasangati, Off Gayaza Road , Kasangati, Kasangati, 3994","","","https://www.freightnet.com/profile/227467.htm","No"
"Tripple JS logistics LTD","MTAC BLOCK JINJA RD NAKAWA , Kampala, Uganda, 28568","","","https://www.freightnet.com/profile/154064.htm","No"
