"name","address","phone","website","profileUrl","isPremiumMember"
"LLC BriCarry","Hrushevsky academician 77 , Apt. 309, Rivne, Ukraine, 33023","","","https://www.freightnet.com/profile/261281.htm","No"
"PE Semak I V","Zaricha , Tsentralna, Zakarpattya, 90123","","","https://www.freightnet.com/profile/252020.htm","No"
"Quehenberger Logistics UKR","Kyiv , Prosp Vyzvoliteliv 1, of 518 , Kyiv, Ukraine, 02125","","","https://www.freightnet.com/profile/159495.htm","No"
"HILEYA LTD","54, Kurchatova str. , Khmelnytdkyy, Type a choice below ..., 29025","","","https://www.freightnet.com/profile/151512.htm","No"
"Marine Trans LTD","Ukraine, Odessa, street Zhukovskogo 2 , office 1 , Odessa, Ukraine, 65014","","","https://www.freightnet.com/profile/138318.htm","No"
"PAN UKRAINE LTD","11,Knyazheskaya Street , Odessa, Ukraine, 65000","","","https://www.freightnet.com/profile/136355.htm","No"
"Ashford Import","Via Skovoroda 18 , Poltava, Ukraine, 36003","","","https://www.freightnet.com/profile/94916.htm","No"
"VERHUN","Yan Zhushka st 7/1 , Lviv, 790068","","","https://www.freightnet.com/profile/22587.htm","No"
"LIS LEGION Co.","N. Popudrenko St. 54, of. 701 , Kiev, Ukraine, 02160","","","https://www.freightnet.com/profile/51548.htm","No"
"RAF-TRANS LLC","Mechnikova 8, app. 22 , Kyiv, Ukraine, 01023","","","https://www.freightnet.com/profile/105227.htm","No"
"Viva-Avto","Kiev, Ukraine , Kie, Ukraine, Kiev, Ukraine, 02090","","","https://www.freightnet.com/profile/119246.htm","No"
