"name","address","phone","website","profileUrl","isPremiumMember"
"CARGOLINK INTERNATIONAL LTD","71-75 Shelton street, Covent Garden, London, London, WC2H 9JQ","+447913230003","http://www.cargolinkint.co.uk/","https://www.freightnet.com/profile/147987.htm","Yes"
"Trans Ltd.","EC1A 1HQ	, London, London, EC1A 1HQ","+44 20 4946 8612","","https://www.freightnet.com/profile/181580.htm","Yes"
"Amrit Transport Ltd","274 North Hyde Lane , Hounslow, Middx, UB2 5TG","","","https://www.freightnet.com/profile/265049.htm","No"
"Amrit Transport Ltd","274 North Hyde Lane , Southall, Middx, UB2 5TG","","","https://www.freightnet.com/profile/265037.htm","No"
"ENS Logistics Limited","7 St James Tower  , Charlotte St, Manchester, Manchester, M1 4DZ","","","https://www.freightnet.com/profile/264377.htm","No"
"White Atlas Couriers","10th Floor, Spinningfields, 3 Hardman St , Manchester, Lancashire, M3 3HF","","","https://www.freightnet.com/profile/252818.htm","No"
"Ruaring Sameday Couriers","21 Hyde Park Road, Leeds, leeds, West Yorkshire, LS6 1PY","","","https://www.freightnet.com/profile/264195.htm","No"
"DG Express","2nd Floor, Clyde Offices , 48 West George Street, Glasgow, Glasgow, G2 1BP","","","https://www.freightnet.com/profile/263446.htm","No"
"Sphere Delivery","27 Old Gloucester Street , London, London, WC1N 3AX","","","https://www.freightnet.com/profile/259405.htm","No"
"HG Same Day Courier","44 Constance Road , Wimborne, Dorset, BH21 2FS","","","https://www.freightnet.com/profile/253706.htm","No"
"Plain Sailing Removals","Unit 2 , Hyders Farmhouse, Crawley, West Sussex, RH11 0NY","","","https://www.freightnet.com/profile/252131.htm","No"
"Gama Transport Ltd","Flat 1,45 , DERBY ROAD, Watford, Hertfordshire, Wd172lz","","","https://www.freightnet.com/profile/213830.htm","No"
"PDQ Specialist Couriers","10 Bassendale Road , Croft Business Park, Bromborough, Cheshire, CH62 3QL","","","https://www.freightnet.com/profile/173792.htm","No"
"NATION TRANSPORTER LTD","21 , Higwood, ROCHDALE, UNITED KINGDOM, OL115XP","","","https://www.freightnet.com/profile/197825.htm","No"
"madewhole (zionwear)","74 WHITE CITY CLOSE , SHEPHERDS BUSH, London, W12 7DZ","","","https://www.freightnet.com/profile/111602.htm","No"
"Nationwide Courier Service Ltd","11 Oak Street , Nottingham, Nottinghamshire, NG5 2AT","","","https://www.freightnet.com/profile/184131.htm","No"
"Colin Hollingshead owner driver","23 Seymour Road , Basingstoke, Hampshire, RG22 6LY","","","https://www.freightnet.com/profile/52231.htm","No"
"TB XPRESS SERVICES","140 EALING ROAD , 140 EALING ROAD, MIDDLESEX, MIDDLESEX, HA0 4PY","","","https://www.freightnet.com/profile/146494.htm","No"
"RDF Couriers","47 Lulworth , Skelmersdale, Lancashire, WN8 6TS","","","https://www.freightnet.com/profile/12945.htm","No"
"Mail My Parcel","71 St Andrews Road , Bordesley Green, Birmingham, West Midlands, B9 4LW","","","https://www.freightnet.com/profile/111852.htm","No"
"Defenda Transport & Logistics Ltd","Unit 2b Alliance Trading Estate , Torrington Avenue, Coventry, West Midlands, CV4 9BH","","","https://www.freightnet.com/profile/110381.htm","No"
"Associated Air Services Limited","Units 4-6 Feltham Business Complex , Browells Lane, Feltham, London, TW13 7EQ","","","https://www.freightnet.com/profile/12947.htm","No"
"DM Couriers","168 Milligan Road , Leicester, Leicestershire, LE2 8FD","","","https://www.freightnet.com/profile/86178.htm","No"
"United Couriers","Dorset House , 25 Duke Street, Chelmsford, Essex, CM1 1HL","","","https://www.freightnet.com/profile/17701.htm","No"
"Fresh Logistics.co.uk","3-5 Bondgate , East Midlands Airport, Castle Donington, Derbyshire, DE74 2NS","","","https://www.freightnet.com/profile/24018.htm","No"
"Rapid Express Transport Limited","Unit 14, Kirmington Business Park , Kirmington, Lincolnshire,","","","https://www.freightnet.com/profile/7203.htm","No"
"DKXpress","55 Exeter Grove , Preston Road, Hull, Yorkshire, HU9 3ST","","","https://www.freightnet.com/profile/12949.htm","No"
"Hummingbird Express Couriers Ltd","International House , South Street, Ipswich, Suffolk, IP1 3NU","","","https://www.freightnet.com/profile/12966.htm","No"
"Compass Courier Services","The Courtyard, Carlton House , Registry Street, Stoke-on-Trent, Staffordshire, ST4 1PU","","","https://www.freightnet.com/profile/13002.htm","No"
"Milton Keynes London Link Ltd","7 Canons Road , Old Wolverton, Milton Keynes, Buckinghamshire, MK12 5TL","","","https://www.freightnet.com/profile/13021.htm","No"
"K&S Freight Services","59 Boundary Farm Road , Liverpool, Merseyside, L261TZ","","","https://www.freightnet.com/profile/13217.htm","No"
"Impact Transport Ltd","23 Skipton Ave , Carleton, Poulton-Le-Fylde, Lancashire, FY6 7TU","","","https://www.freightnet.com/profile/13597.htm","No"
"AHG-Direct","19 Cobblewood , Middlesbrough, Yorkshire, TS3 9RW","","","https://www.freightnet.com/profile/14054.htm","No"
"The Courier Company","11 James Way , Marshall Court, Milton Keynes, Buckinghamshire, MK1 1SU","","","https://www.freightnet.com/profile/16709.htm","No"
"2D","55 Louvain Road , Greenhithe, Kent, DA9 9DZ","","","https://www.freightnet.com/profile/16887.htm","No"
"AMD Courier Ltd","11 Brixworth Road , Holcot, Northampton, Northamptonshire, NN6 9SJ","","","https://www.freightnet.com/profile/18183.htm","No"
"Transnet Services Ltd","Unit 1A, Ashbrooke Park , Parkside Lane, Leeds, Yorkshire, LS11 5SF","","","https://www.freightnet.com/profile/20870.htm","No"
"Multi-Route Couriers","PO Box 287 , Chertsey, Surrey, KT16 8FA","","","https://www.freightnet.com/profile/22866.htm","No"
"MITCHELLSTORAGE & DISTRIBUTION LTD","47 & 48 The Warren , Leicester, Leicestershire, LE7 3XA","","","https://www.freightnet.com/profile/52167.htm","No"
"Parecel Link","9 Arkwright Rd , Colnbrook, Slough, Berkshire, SL3 0HJ","","","https://www.freightnet.com/profile/52966.htm","No"
