"name","address","phone","website","profileUrl","isPremiumMember"
"RGC Exports Ltd","Motis Business Centre , Folkestone, Kent, CT19 4QJ","07834685957","http://www.rgcexports.co.uk/","https://www.freightnet.com/profile/255102.htm","Yes"
"F&B UK","Dover , Dover, UK, CT161BY","","","https://www.freightnet.com/profile/266121.htm","Yes"
"WILSON GLOBAL LOGISTICS LTD","GULPHER BUSINESS PARK, GULPHER ROAD, FELIXSTOWE, SUFFOLK, IP11 9RB","01394278866","http://www.wilsonlogistics.co.uk/","https://www.freightnet.com/profile/143104.htm","Yes"
"Fn Customs Limited","St Albans Road , Nottingham, United Kingdom, NG5 6GW","","","https://www.freightnet.com/profile/260992.htm","No"
"ENS Ready","No physical address , NA, NA, NA","","","https://www.freightnet.com/profile/256300.htm","No"
"Clear Fr8 Limited","Suites 1 & 2 Knight House , Honeywood Road, Whitfield Nr Dover, Kent, CT16 3EH","","","https://www.freightnet.com/profile/149920.htm","No"
"Euroclear Services Ltd","Dover , Kent, Dover, Kent, CT17 0HL","","","https://www.freightnet.com/profile/194856.htm","No"
"Clear fr8 Limited","Hammond House, LImekiln St , Dover, Kent, CT179EF","","","https://www.freightnet.com/profile/226065.htm","No"
"Alinea Customs","1 Cornhill , London, London, EC3V 3ND","","","https://www.freightnet.com/profile/218878.htm","No"
"OnlineMBT","Online MBT , Menzies Road, WHITFIELD, DOVER, CT162HQ","","","https://www.freightnet.com/profile/209908.htm","No"
"P.S.G.Freight Services","Lord Warden House , Lord Warden Square, Dover, Kent, CT17 9EQ","","","https://www.freightnet.com/profile/18517.htm","No"
"Buckle Shipping (Ipswich) Ltd","120-121 Trelawny House , Felixstowe, Suffolk, IP11 3GB","","","https://www.freightnet.com/profile/8146.htm","No"
