"name","address","phone","website","profileUrl","isPremiumMember"
"Triton Logistix Limited","10 Eternity House, 21-24 Hickman Avenue, London, England, E4 9GA","+44 208 050 6121","https://tritonlogistix.com/","https://www.freightnet.com/profile/212568.htm","Yes"
"TG Logistics Ltd","Suite 3a, JYW House, Bridge Road, Haywards Heath, West Sussex, RH16 1UA","+44 (0)1444 417675","http://www.tglogistics.co.uk/","https://www.freightnet.com/profile/143353.htm","Yes"
"Technologistics Solutions Ltd","184, Churchbury, Eltham, London, SE9 5JA","07946765143","http://www.tlogistics-solutions.com/","https://www.freightnet.com/profile/156296.htm","Yes"
"YAIR GLOBAL LTD","1, Methuen Close, Springbourne road, Bournemouth, Dorset, BH8 8NA","+447435459248","","https://www.freightnet.com/profile/114447.htm","Yes"
"Rose Freight Logistics","unit 82a James Carter Road, Bury ST edmunds, Surrey, IP28 7DE","+447375080790","","https://www.freightnet.com/profile/263488.htm","Yes"
"DC TRANSPORT YORKSHIRE LIMITED","Network House, Stubs Beck Lane, Cleckheaton, West Yorkshire, BD194TT","+441138878459","https://www.seaporthub.co.uk/","https://www.freightnet.com/profile/177530.htm","Yes"
"ARCA TRADE GROUP LTD","UNIT 9 PEMBROKE BUSINESS CENTRE, PAYCOCKE ROAD, BASILDON, ESSEX, SS14 3HX","07862024212","http://www.arcatrade.co.uk/request-a-quotation","https://www.freightnet.com/profile/254539.htm","Yes"
"Aver Logistics Ltd","Great House Farm, Chenies, United Kingdom, WD3 6EP","+441494509700","https://averlogistics.co.uk/","https://www.freightnet.com/profile/257975.htm","Yes"
"Cargo Move Consultant","Highfield, The Street, King's Lynn, Norfolk, PE33 9JN","+44(0)1760 444149","","https://www.freightnet.com/profile/616.htm","Yes"
"AceExpress Cargo Ltd","182-184 High Street North, Office 4743, LONDON, London, E6 2JA","02034321723","http://www.aceexpresscargo.co.uk/","https://www.freightnet.com/profile/254934.htm","Yes"
"Lombard Shipping & Forwarding Ltd","Lombard Centre, Link Road, Huyton Business Park, Liverpool, Merseyside, L36 6AP","+44 (0)1514493535","http://www.lsfuk.com/","https://www.freightnet.com/profile/12968.htm","Yes"
"Gentoo Freight LLP","27 Old Gloucester St, London, Greater London, WC1N 3AX","07907164795","http://www.gentoofreight.co.uk/","https://www.freightnet.com/profile/157379.htm","Yes"
"Universe Logistics","Unit 3B, Falcon Way, Feltham, Middlesex, UK, TW14 0UQ","+442030049397","http://www.unvs.co.uk/","https://www.freightnet.com/profile/160495.htm","Yes"
"FLYSHIP LOGISTICS LTD","Kemp House 152 - 160, City Road, London, Greater London, EC1V 2NX","+44(0)2081444381","http://www.flyshiplogistics.co.uk/","https://www.freightnet.com/profile/180862.htm","Yes"
"NKR FREIGHT LTD","UNIT 3, COBDEN HOUSE, COBDEN STREET, LEICESTER, Leicestershire, LE1 2LB","+44 (0) 3301131297","http://www.nkrfreight.com/","https://www.freightnet.com/profile/136264.htm","Yes"
"UK Shipping & Logistics Ltd","vista Centre, 50 Salisbury Road, hounslow, London Heathrow, TW4 6HG","02030869161","http://www.uklogistics.net/","https://www.freightnet.com/profile/231874.htm","Yes"
"ABC Cargo Uk","Unit C4 Heathrow Corporate Park, Green Lane, Hounslow, UK -, Hounslow, TW4 6ER","+44 73888 00000","https://abccargo.uk/","https://www.freightnet.com/profile/254483.htm","Yes"
"AFIX KONECT GLOBAL LTD.","LLANTWIT ROAD, STARTUP STIWDIO, PONTYPRIDD, MID GLAMORGAN, CF37 1DL","+447442850526","https://www.afixglobal.com/","https://www.freightnet.com/profile/254800.htm","Yes"
"Dialog Freight (UK) Ltd","53 High Street, Laurencekirk, Kindcardineshire, AB30 1BH","+44 (0) 7425092835","","https://www.freightnet.com/profile/196175.htm","Yes"
"Alinnza Trading London Limited","Manchester Business Park, 3000 Aviator Way, Manchester, Manchester, M22 5TG","+44 (0) 20 8004 7744","http://www.alinnza.com/","https://www.freightnet.com/profile/154958.htm","Yes"
"RST LOGISTICS CONSULTANCY","2 Laurel Gardens, Aldershot, Hampshire, GU11 3TQ","07535358221","","https://www.freightnet.com/profile/255679.htm","Yes"
"Airo Sail Ltd","The Cresent, 1 King Street, Office No. 4, Charnwood Suite, Leicester, Leicestershire, LE1 6RX","0116 216 8949","http://www.airosail.com/","https://www.freightnet.com/profile/254432.htm","Yes"
"fikisha global logistics company limited","T1, New Forest Estate, 230 Hurn Road, Matchams, Ringwood, Hampshire, BH24 2BT","07508377502","","https://www.freightnet.com/profile/252024.htm","Yes"
"SCANWELL LOGISTICS (LHR) LTD","SCANWELL HOUSE, UNIT 13, CENTRAL PARK ESTATE, HOUNSLOW, MIDDLESEX., TW4 5DJ","+44 208 572 6946","http://www.scanwelluk.com/","https://www.freightnet.com/profile/62806.htm","Yes"
"Maxline Global Logistics UK Ltd.","24 City Road, London, London, EC1V 2NX","+44 7585622022","https://www.maxlineglobal.co.uk/","https://www.freightnet.com/profile/256993.htm","Yes"
"OPEX MANCHESTER LIMITED","Jactin House, 24 Hood Street, Manchester, Greater Manchester, M4 6WX","+447404040940","","https://www.freightnet.com/profile/258500.htm","Yes"
"NR Global Logistics Ltd","12, Hartsdown Road, Margate, N/A, CT9 5QT","0044 (0) 7841 978278","","https://www.freightnet.com/profile/236939.htm","Yes"
