"name","address","phone","website","profileUrl","isPremiumMember"
"Titan Fleet","Bankwood Lane , Rossington, South Yorkshire, DN11 0PS","","","https://www.freightnet.com/profile/266064.htm","No"
"Descartes Systems UK Ltd","3rd Floor Bewley House, Marshfield Road , Chippenham, UK, SN15 1JW","","","https://www.freightnet.com/profile/218939.htm","No"
"Transcount Limited","Wenlock Road 22 , London, London, N1 7GU","","","https://www.freightnet.com/profile/171454.htm","No"
"BoxTop Technologies Limited","Gainsborough House , 17-23 High Street, Slough, Berkshire, SL1 1DY","","","https://www.freightnet.com/profile/11869.htm","No"
"Unisys","Bakers Road , Uxbridge, London, UB8 1RG","","","https://www.freightnet.com/profile/9153.htm","No"
"Management Dynamics","120 Bridge Road , Chertsey, Surrey, KT16 8LA","","","https://www.freightnet.com/profile/10498.htm","No"
"Logisitical Software Ltd","895 High Road , Chadwell Heath, Romford, Essex, RM6 4HL","","","https://www.freightnet.com/profile/53179.htm","No"
"Sigma Freight Systems Ltd","5/6 Talisman Business Centre , Duncan Road, Southampton, Hampshire, SO31 7GA","","","https://www.freightnet.com/profile/8958.htm","No"
"Freightdata 2000 UK Ltd","Radford Way , Billericay, Essex, CM12 0BT","","","https://www.freightnet.com/profile/8969.htm","No"
"Airops Limited","Farnborough Airport , Farnborough, Hampshire, GU14 6XA","","","https://www.freightnet.com/profile/9168.htm","No"
"Agency Sector Management (UK) Ltd","41-45 Church Road , Ashford, Middlesex, TW15 2TQ","","","https://www.freightnet.com/profile/9169.htm","No"
"Logistical Software Ltd","895 High Road , Chadwell Heath, Romford, Essex, RM6 4HL","","","https://www.freightnet.com/profile/9170.htm","No"
"Carrier Logistics Inc","PO Box 473 , Chichester, Sussex, PO18 8WY","","","https://www.freightnet.com/profile/11788.htm","No"
"Bishopstrade Limited","Crown House , 72 Hammersmith Road, London, W14 8TH","","","https://www.freightnet.com/profile/13034.htm","No"
"Azyra Freight System Software","39/41 North Road , Islington, London, N7 9DP","","","https://www.freightnet.com/profile/14156.htm","No"
"Forward Computers Limited","Forward House , 161 Glaisdale Drive West, Nottingham, Nottinghamshire, NG8 4GY","","","https://www.freightnet.com/profile/17361.htm","No"
"SCS Limited","MultiFreight House , Cromwell Court, St Peters Street, Ipswich, Suffolk, IP1 1XB","","","https://www.freightnet.com/profile/18378.htm","No"
"Wellstock.Net Ltd","895 High Road , Chadwell Heath, Romford, Essex, RM6 4HL","","","https://www.freightnet.com/profile/22265.htm","No"
