"name","address","phone","website","profileUrl","isPremiumMember"
"Kings Transport Ltd","Hanger 2 North Weald Aerodrome , North Weald, Epping, Essex, CM16 6HR","","","https://www.freightnet.com/profile/258162.htm","No"
"Big On Logistics","171 Uttoxeter Road , Longton, Stoke On Trent, Staffordshire, ST31QQ","","","https://www.freightnet.com/profile/261913.htm","No"
"SOTTYMAN GROUP LOGISTICS LTD","24 Cliffe Road , 24 Cliffe Road, CREWE, Cheshire, CW1 3RE","","","https://www.freightnet.com/profile/177340.htm","No"
"path pro logistic","Garforth , Oldham, england, OL96RG","","","https://www.freightnet.com/profile/255109.htm","No"
"Logistics Kingdom Limited","Unit 29E Denholme Buisness Centre , Halifax Road, Bradford, Midlands, BD13 4EN","","","https://www.freightnet.com/profile/210328.htm","No"
"Sorin Transport Services","115 Raleigh Crescent , Stevenage, Hertfordshire, Sg20eb","","","https://www.freightnet.com/profile/190259.htm","No"
"ITO Couriers ltd","142 Atherstone Avenue , Peterborough, Cambs, PE3 9UJ","","","https://www.freightnet.com/profile/221505.htm","No"
"R J InternationalFreight Ltd","Fiveways House , Hazel Grove, Stockport, Cheshire, SK7 6DG","","","https://www.freightnet.com/profile/99277.htm","No"
"Newline GBG Transport Ltd","1 londonderry terrace  , Silksworth, Sunderland, Tyne and Wear, Sr32ee","","","https://www.freightnet.com/profile/189531.htm","No"
"shahglobaltransportltd","39 , Sherwood way, London, United kingfom, Kt198gy","","","https://www.freightnet.com/profile/187627.htm","No"
"UCH Logistics","Unit 3 , Old Bath ROad, Middlesex, SL3 0EN","","","https://www.freightnet.com/profile/170178.htm","No"
"Heathrow HGV Ltd","69 , Wigley Road, Hanworth Feltham, Middlesex, TW13 5HD","","","https://www.freightnet.com/profile/161776.htm","No"
"Direct Connect Logistics Ltd","Office A, Grange Farm Ind Estate  , Lt Chesterton, Bicester, Oxfordshire, OX25 3PD","","","https://www.freightnet.com/profile/161445.htm","No"
"SG Haulage Limited","Plot 9 Saxilby Enterprise Park, Skellingthorpe Road Saxilby , Lincoln, Lincolnshire, LN1 2LR","","","https://www.freightnet.com/profile/159969.htm","No"
"Freight 44 Limited","Unit M1 , Lympne Distribution Park, Hythe, Kent, CT21 4LR","","","https://www.freightnet.com/profile/150035.htm","No"
"LHS Logistics Ltd","Unit 5 Block 2 Bowmains Industrial Estate , Boness, Falkirk, EH51 0QG","","","https://www.freightnet.com/profile/145093.htm","No"
"Direct Transportation Ltd","Coggeshall Road , Earls Colne, Colchester, Essex, CO6 2JX","","","https://www.freightnet.com/profile/148776.htm","No"
"Meachers Transport","Mauretania Road , Nursling Industrial Estate, Southampton, Hampshire, SO16 0YS","","","https://www.freightnet.com/profile/16640.htm","No"
"NTEX Ltd","Scandinavian Way , Stallingborough, Lincolnshire, DN41 8DU","","","https://www.freightnet.com/profile/143116.htm","No"
"Shiply","3rd Floor,, 207 Regent Street, Greater London, W1B 3HH","","","https://www.freightnet.com/profile/138809.htm","No"
"Intersped Logistics (UK) Limited","Unit i 3 + I 4, Riverside Industrial Estate , Riverside Way, Dartford, Kent, DA1 5BS","","","https://www.freightnet.com/profile/133578.htm","No"
"QED Freight","c/o 10 Rose Court , Primrose Road, Dover, Kent, CT17 0FP","","","https://www.freightnet.com/profile/6977.htm","No"
"Haulage UK","2 , Knighton, Powys, LD71AG","","","https://www.freightnet.com/profile/101983.htm","No"
"YFS INTERNATIONAL","440 COPNOR ROAD , Portsmouth, Hampshire, PO3 5EW","","","https://www.freightnet.com/profile/52490.htm","No"
"Efret","Unit 33 Basepoint Bournemouth, Enterprise Way, Aviation Park West,, Christchurch, Dorset, BH23 6NX","","","https://www.freightnet.com/profile/87653.htm","No"
"RBC Logistics","1 Michigan Drive , Tongwell, Milton Keynes, Buckinghamshire, MK15 8HQ","","","https://www.freightnet.com/profile/117346.htm","No"
"T&M HAULAGE","51 , INKERMAN ROAD, SOUTHAMPTON, HAMPSHIRE, SO199BZ","","","https://www.freightnet.com/profile/127236.htm","No"
"JB Rawcliffe & Sons Ltd","Blaguegate Works , Stanley Way, Skelmersdale, Lancashire, WN8 8EA","","","https://www.freightnet.com/profile/134200.htm","No"
