"name","address","phone","website","profileUrl","isPremiumMember"
"Hamxa logistics","10  , Stewart Close, London, Brent, NW98AJ","","","https://www.freightnet.com/profile/255894.htm","No"
"Pickfords","Queensway N , Queensway Park, Queensway, Gateshead, England, NE11 0BU","","","https://www.freightnet.com/profile/246185.htm","No"
"Clear House Moves, UK (www.clearhousemoves.co.uk/)","The Annex , Old Manor House, The street, Sutton, West Sussex, RH20 1PS","","","https://www.freightnet.com/profile/151062.htm","No"
"Storage X","Gemma House, 39 Lilestone Street , London, Greater London, NW8 8SS","","","https://www.freightnet.com/profile/221526.htm","No"
"Britmove","Pipewell Road Industrial Estate Unit 9 , Desborough, Northamptonshire, NN14 2SW","","","https://www.freightnet.com/profile/206538.htm","No"
"Britannia Movers International","10 Wells Place , Merstham, Redhill, RH1 3DR","","","https://www.freightnet.com/profile/9178.htm","No"
"Answer Moves Ltd - Removal Company","26 Chicken Hall Lane , Eastleigh, Hampshire, SO50 6RP","","","https://www.freightnet.com/profile/194367.htm","No"
"Superb Moves","19 Eardley Rd , Streatham, London, SW16 6DA","","","https://www.freightnet.com/profile/179968.htm","No"
"Movers Europe","62B Grosvenor Terrace , London, United Kingdom, SE5 0NP","","","https://www.freightnet.com/profile/159524.htm","No"
"Britannia Bearsbys","Units A & B , Larkfield Mill, Maidstone, Kent, ME20 6SQ","","","https://www.freightnet.com/profile/142890.htm","No"
"Luton Man And Van","762 Dunstable Road , Luton, Bedfordshire, LU4 0DX","","","https://www.freightnet.com/profile/143800.htm","No"
"Michaels Movers","21 Dinsdale field , New Rd, Littlehampton, W Sussex, BN16 3RQ","","","https://www.freightnet.com/profile/141452.htm","No"
"Allied Pickfords","345 Southbury Road , Enfield, London, EN1 1UP","","","https://www.freightnet.com/profile/9176.htm","No"
"Movehub","3 Wilkin street , London, London, NW5 3NL","","","https://www.freightnet.com/profile/105551.htm","No"
"1st Choice Movers Worldwide Ltd","Unit 7/11 Tynedales Farm , Southend Road, Woodham Mortimer, Essex, CM9 6TQ","","","https://www.freightnet.com/profile/14836.htm","No"
"Removalgroup.com","48 Mere Green Road , Birmingham, West Midlands, B75 5BT","","","https://www.freightnet.com/profile/14665.htm","No"
"Removal Experts","8 Bycullah Road , , London, EN2 8EQ","","","https://www.freightnet.com/profile/53196.htm","No"
"GMT Logistics Ltd","Unit 18 & 20, Brooke Marine Park , Heath Road, Lowestoft, Suffolk, NR33 9LZ","","","https://www.freightnet.com/profile/22048.htm","No"
"Sterling International Movers","Hallmark House, Rowdell Road , Northolt, London, UB5 6AG","","","https://www.freightnet.com/profile/9191.htm","No"
"Movesolutions Ltd","Crawford House , 46 Crawford Street, London, W1H 1JU","","","https://www.freightnet.com/profile/9187.htm","No"
"New Life Removals Ltd","The Freight Terminal , Lydden, Dover, Kent, CT15 7JW","","","https://www.freightnet.com/profile/10592.htm","No"
"Durrants Removals Services Ltd","Gloucester House , 80 Gloucester Road, Croydon, Surrey, CR0 2DB","","","https://www.freightnet.com/profile/16641.htm","No"
"P & S Removals Ltd","76 Glebe Lane , Barming, Maidstone, Kent, ME16 9BD","","","https://www.freightnet.com/profile/17318.htm","No"
"Auto Car Shippers","International House, Worthy Road , Chittening Industrial Estate, Bristol, BS11 0YB","","","https://www.freightnet.com/profile/18568.htm","No"
"ShipMyCar","Unit 62  , Tanners Drive, Milton Keynes, Buckinghamshire, MK145BP","","","https://www.freightnet.com/profile/22022.htm","No"
"Removals London 24","55 Sidmouth Street , Camden, London, WC1H 8JX","","","https://www.freightnet.com/profile/82018.htm","No"
"Best Move","37 Great Cumberland Place , London, London, W1H 7TD","","","https://www.freightnet.com/profile/113411.htm","No"
