"name","address","phone","website","profileUrl","isPremiumMember"
"TWENTY47 LOGISTICS LIMITED","Unit 33-37 Bilton Way, Luton, LU1 1UU , Bilton Way, Luton, United Kingdom, LU1 1UU","","","https://www.freightnet.com/profile/262025.htm","No"
"Octavian Group","Suite 10 , Bingham Enterprise Centre, Mercia Court, Nottingham, Mobile, NG13 8QX","","","https://www.freightnet.com/profile/261230.htm","No"
"transports Sabadini","53 ironbridge house , Southall, Middlesex, UB2 4QS","","","https://www.freightnet.com/profile/243574.htm","No"
"Prolog Fulfilment","Little Oak Drive, Sherwood Business Park, Nottingham, NG15 0DJ, United Kingdom. , Nottingham, United Kingdom, Nottinghamshire, NG15 0DJ","","","https://www.freightnet.com/profile/216935.htm","No"
"Extreme logistics east anglia","8 , Lotus close, Ipswich, Suffolk, Ip15qh","","","https://www.freightnet.com/profile/214922.htm","No"
"FPF Warehousing Limited","New Farm, Pickaxe Lane , South Warnboriugh, Hook, Hampshire, RG29 1SH","","","https://www.freightnet.com/profile/176826.htm","No"
"3PL WOW","Unit 1 Cumberland House Cumberland Road , North Shields, Tyne and Wear, NE29 8RD","","","https://www.freightnet.com/profile/167717.htm","No"
"LOADING CENTER LOGISTICS LTD","UNIT C BRIDGE TRADING ESTATE , GREAT BLAKENHAM, SUFFOLK, IP6 0NX","","","https://www.freightnet.com/profile/157093.htm","No"
"DMG Freight Services Ltd","Unit A & B Mead Park Ind. Estate , Harlow, Essex, CM20 2SE","","","https://www.freightnet.com/profile/134805.htm","No"
"Optima WS","St Albans House , St Albans Road, Stafford, Staffordshire, ST16 3DP","","","https://www.freightnet.com/profile/128033.htm","No"
"Fullers Logistics","Fullers Logistics Ltd , 126 Fairlie Road, Slough, Berkshire, SL1 4PY","","","https://www.freightnet.com/profile/100091.htm","No"
"Storeitall","3-7 Pinbush Road , South Lowestoft Industrial Estate, UK, NR33","","","https://www.freightnet.com/profile/62667.htm","No"
"European Fulfillment Services","Halesfield 19 , Telford, Shropshire, TF7 4QT","","","https://www.freightnet.com/profile/4524.htm","No"
"East Dorset Storage & Warehousing Ltd","Unit 2, 13 Cobham Rd , Ferndown Ind Est, Wimborne, Dorset, BH21 7PE","","","https://www.freightnet.com/profile/10506.htm","No"
"Access Fulfilment Limited","Unit 1a and 1b Learoyd Road , Mountfield Industrial Estate, New Romney, Kent, TN28 8XU","","","https://www.freightnet.com/profile/4468.htm","No"
"Akoma International (UK) Ltd","Unit 16 Brian Clough Business Centre , 200-222 Cotton Lane, Derby, Derbyshire, DE24 8GJ","","","https://www.freightnet.com/profile/8949.htm","No"
"The Potter Group","Barlby Road , Selby, Yorkshire, YO8 5DZ","","","https://www.freightnet.com/profile/8975.htm","No"
"ANC Warehousing Ltd","West Bank Dock Lane , Widnes, Cheshire, WA8 0NX","","","https://www.freightnet.com/profile/8979.htm","No"
"Quality Packing Services","Unit 17-18 , Ogmore Crescent Bridgend Industrial Estate, Bridgend, Vale of Glamorgan, CF31 3TE","","","https://www.freightnet.com/profile/9186.htm","No"
"Intermail plc","Horizon West , Canal View Road, Newbury, Berkshire, RG14 5XF","","","https://www.freightnet.com/profile/10260.htm","No"
"Access Fulfilment Ltd","Unit 1a & 1b , Learoyd Road, New Romney, Kent, TN28 8XU","","","https://www.freightnet.com/profile/10918.htm","No"
"Taylor Smith Group","Unit One , Park Road, Chesterfield, Derbyshire, S42 5UY","","","https://www.freightnet.com/profile/14585.htm","No"
"S. Adams & Co","Vincent Avenue , Southampton, Hampshire, SO116PQ","","","https://www.freightnet.com/profile/17896.htm","No"
"South Eastern Warehousing & Distribution Ltd","The Old Grain Store, Blue House Farm , Brentwood Road, West Horndon, Essex, CM13 3LX","","","https://www.freightnet.com/profile/23922.htm","No"
