"name","address","phone","website","profileUrl","isPremiumMember"
"ALF Logística","Av Rivera 7493 , Montevideo, Montevideo, 11500","","","https://www.freightnet.com/profile/202614.htm","No"
"Vineyard Brokerage","450 E 96th Street, Suite 500 , Indianapolis, Indiana, 46240","","","https://www.freightnet.com/profile/259672.htm","No"
"M&B Cargo","Buenos Aires 618 / suite 602 , Montevideo, Uruguay, 11000","","","https://www.freightnet.com/profile/82436.htm","No"
"TAILORED LOGISTICS SERVICES SAS","Rambla 25 de Agosto de 1825 , nº 426, piso: 502, MONTEVIDEO, URUGUAY, 11000","","","https://www.freightnet.com/profile/192311.htm","No"
"HB Logistica S.R.L.","Cerrito 420,Esc.309 , Montevideo, Uruguay, 11000","","","https://www.freightnet.com/profile/22641.htm","No"
"Leader Cargo- Uruguay","25 de Mayo 313 Of 629 , Montevideo, uruguay, 11000","","","https://www.freightnet.com/profile/9371.htm","No"
"NOVACARGO SERVICES URUGUAY","ZABALA ST. 1327,SUITE404/405 , MONTEVIDEO,","","","https://www.freightnet.com/profile/6533.htm","No"
"Global Cargo S.R.L.","Cerrito 532, Suite 503 , Cabildo Tower Building, Montevideo, Montevideo, 11000","","","https://www.freightnet.com/profile/16338.htm","No"
"ML LOGISTICS URUGUAY SRL","Juncal 1437 , Montevideo, Uruguay, 11100","","","https://www.freightnet.com/profile/130990.htm","No"
"WAVE LOGISTICS","25 de Mayo 604 - Of.109 , Montevideo, Montevideo, 11000","","","https://www.freightnet.com/profile/120225.htm","No"
"HORIZON GROUP","Zabala 1386 Of. 103 , Montevideo, Uruguay, 11000","","","https://www.freightnet.com/profile/161401.htm","No"
"F.L.S S.R.L. Freight & Logistic Services","831 Plaza Independencia St , Plaza Mayor holding , suite 309, Montevideo, Uruguay,","","","https://www.freightnet.com/profile/7486.htm","No"
"South Freight Logistics","Joaquin Requena 1066 , apto 2, montevideo, uruguay, 11200","","","https://www.freightnet.com/profile/152869.htm","No"
"Montevideo Cargo & Logistics","Juan Carlos Gómez 1476 of 304 , Montevideo, Montevideo, 11000","","","https://www.freightnet.com/profile/52807.htm","No"
"TotalCargo","Arturo Prat 3760 – of. 301 , 2254, Montevideo, MONTEVIDEO, 15000","","","https://www.freightnet.com/profile/146070.htm","No"
"TransCargo","Florida 1237 , Montevideo, uruguay, 11100","","","https://www.freightnet.com/profile/141426.htm","No"
"Dismor Logística Regional","Plaza Independencia 822 Piso 13, Montevideo , Dr Cuneo 998, Nueva Palmira, Montevideo, Uruguay, 1100","","","https://www.freightnet.com/profile/139471.htm","No"
"Latin America Cargo","Rincón 512, Suite 1 , Montevideo,","","","https://www.freightnet.com/profile/8913.htm","No"
"Gender Cargo - Estrella Despachante de Aduana","Zabala 1542 5th Floor , Montevideo, 11000","","","https://www.freightnet.com/profile/14678.htm","No"
"PARTNER FREIGHT FORWARDERS","JUNCAL 1378 OF 308 , MONTEVIDEO, MONTEVIDEO, 11100","","","https://www.freightnet.com/profile/97789.htm","No"
"DESTINIA CARGO","MARCO BRUTO 1101 , MONTEVIDEO, MONTEVIDEO, 11300","","","https://www.freightnet.com/profile/111554.htm","No"
"PLS Partner Logistics Services","Circ. Durango 1429 5F , Montevideo, Montevideo, 11000","","","https://www.freightnet.com/profile/54140.htm","No"
"Atlantic Forwarding Service","Av. Libertador Lavalleja 1624/301 , Montevideo, 11600","","","https://www.freightnet.com/profile/1844.htm","No"
"Erolin S.A.","Luis A. de Herrera 1423 , Montevideo, 11300","","","https://www.freightnet.com/profile/10170.htm","No"
"Cargo Center","Washington 236/238 , Montevideo, Uruguay, 11100","","","https://www.freightnet.com/profile/86955.htm","No"
"Alfa Uy - Alfa Trading Uruguay","Piedras 509/201 , Montevideo, 11000","","","https://www.freightnet.com/profile/23154.htm","No"
"UruguayCargo - Freight, Courier & Logistics","Aeropuerto de Carrasco , Montevideo, Uruguay, 11400","","","https://www.freightnet.com/profile/51906.htm","No"
"Sinunte Company - Freight & Logistic Services","L.A. de Herrera 1423 , Montevideo, 11300","","","https://www.freightnet.com/profile/13875.htm","No"
"Colt S.A.","Misiones 1372 Oficina 704 , Montevideo, 11000","","","https://www.freightnet.com/profile/2976.htm","No"
"Atlantic Logistics","Edificio Torre Cabildo , Cerrito Nº 532 - Piso 5 - Suite 506, Montevideo, Uruguay, C.P. 11000","","","https://www.freightnet.com/profile/4789.htm","No"
"National Freight S.R.L.","Yaguaron 1407 Of. 1605 , Montevideo, 11100","","","https://www.freightnet.com/profile/22831.htm","No"
"Euroline","Misiones 1379 , Of. 802, Montevideo, Montevideo, 11000","","","https://www.freightnet.com/profile/11729.htm","No"
"Global Logistics Network De Uruguay S.A.","Misiones 1379 , Of. 802, Montevideo, 11000","","","https://www.freightnet.com/profile/11730.htm","No"
"Welt Traum SA","Augusto Leguia Sur 79, Of. 703, Las Condes. , Santiago, Region Metropolitana, 7550000","","","https://www.freightnet.com/profile/48378.htm","No"
"Hca-Hernandez Cargo Agency","Misiones 1566 / Suite 401 , Montevideo, Uruguay, 11000","","","https://www.freightnet.com/profile/1233.htm","No"
"Tamer S.A.","Puerto de Montevideo - Dep. Nº 25 , Montevideo, Uruguay, 11.800","","","https://www.freightnet.com/profile/2626.htm","No"
"E & E Worldwidecargo","Cerrito 224 , Eeworldwide@adinet.Com.Uy, Montevideo-Uruguay, 11000","","","https://www.freightnet.com/profile/3336.htm","No"
"Interlog Logistic Services","Rambla 25 de Agosto de 1825 No.508 Of.109 , Montevideo, Montevideo, 11000","","","https://www.freightnet.com/profile/3581.htm","No"
"Procargo Uruguay","San Jose 801 , Montevideo,","","","https://www.freightnet.com/profile/6096.htm","No"
"Gondrand","Colonia 1005 , Montevideo,","","","https://www.freightnet.com/profile/6712.htm","No"
"AirSeaLand (Member of Grupo Quality)","Rincon 477 - Suite 701 - Presidente Building , Montevideo,","","","https://www.freightnet.com/profile/7862.htm","No"
"Almar Uruguay S.A.","Plaza Independencia 749 , 4th floor, Montevideo, 11000","","","https://www.freightnet.com/profile/13630.htm","No"
"Keneplus Multimodal Transport","Piedras 509 - Suite 201- ""Puerto Seguro"" Building , Montevideo, Montevideo, 11000","","","https://www.freightnet.com/profile/16386.htm","No"
"Uruguay Cargo & Trade","Misiones 1361 Esc. 5 , Montevideo, 11200","","","https://www.freightnet.com/profile/19420.htm","No"
"Keneplus S.A.","Collins, Manz. J15, Sol.2 - El Pinar , Ciudad de la Costa, Canelones, 15008","","","https://www.freightnet.com/profile/20345.htm","No"
"Dositar S.A.","Cerrito 534, piso 4 , 4, Montevideo, 10000","","","https://www.freightnet.com/profile/105960.htm","No"
