"name","address","phone","website","profileUrl","isPremiumMember"
"WELLFAST LOGISTICS CO., LTD.","Amir Temur Street 88, Tashkent, Tashkent, 10084","+99871 1204900","http://www.wellfast.com/","https://www.freightnet.com/profile/107355.htm","Yes"
"COLIBRI SHIPPING LOGISTICS LLC","Uzbekistan, Tashkent city, Yashnabad district, Elbek street, 8, Tashkent, Tashkent, 100016","+998910104550","https://colibrishipping.com/","https://www.freightnet.com/profile/260510.htm","Yes"
"EGS Group LLC","5th floor, entrance E, Botyr Zakirov str 1 A/1, Tashkent , Tashkent, Tashkent, 100001","","","https://www.freightnet.com/profile/263360.htm","No"
"""UTI Transit"" FE LLC","Yakkasaray st. 5. , Tashkent, Uzbekistan, 100052","","","https://www.freightnet.com/profile/249932.htm","No"
"Ikat Logistics","1 Toytepa street  , Mirobod district, Uzbekistan, 100001","","","https://www.freightnet.com/profile/248243.htm","No"
"Delta Global Solutions Ltd","5A Shahrisabz-Tor Street , Tashkent, Tashkent, 100060","","","https://www.freightnet.com/profile/148576.htm","No"
"ИП ООО «UTI TRANSIT»","Республика Узбекистан, г. Ташкент, Яккасарайский район, Яккасарай МФЙ, ул. Яккасарай , Ташкент, Узбекистан, Ташкент, 1000","","","https://www.freightnet.com/profile/251017.htm","No"
"AP Trans Cargo Service","Uzbekistan Tashkent Feruza 16 , Tashkent, Tashkent, 100124","","","https://www.freightnet.com/profile/197957.htm","No"
"Aerostar Logistics","Hamid Alimjan Sq, Western Block 3B , Tashkent, Tashkent, 100000","","","https://www.freightnet.com/profile/144138.htm","No"
"Logistics Industry LLC","8. Ilg'or str , Andizhan City, Andizhan, 170100","","","https://www.freightnet.com/profile/203367.htm","No"
"Auto Logistic Industry","Andizhan city , Andizhan City, Andizhan, 170100","","","https://www.freightnet.com/profile/199408.htm","No"
"BB Logistics S LLC","Tashkent city, Almazar District, Kara-Kamish 2/4, 5A ,9 , Tashkent, Uzbekistan, 100000","","","https://www.freightnet.com/profile/198085.htm","No"
"NF LOGISTICS","TASHKENT,UZBEKISTAN , TASHKENT, UZBEKISTAN, 100090","","","https://www.freightnet.com/profile/134831.htm","No"
"Baltcraft Central Asia","Nukus stree, 71 , Sigma Business center, Tashkent, Uzbekistan, 100015","","","https://www.freightnet.com/profile/178399.htm","No"
"H & R forwarding and Logistics LLC","No. Oybek street  , Tashkent, Uzbekistan, 100015","","","https://www.freightnet.com/profile/159981.htm","No"
"Eurasia Logistics","Zirmunu st. 107 , Vilnius, Lithuania, LT-09116","","","https://www.freightnet.com/profile/147266.htm","No"
"VENKON LOGISTICS","TASHKENT , TASHKENT, UZBEKISTAN, 12345","","","https://www.freightnet.com/profile/143200.htm","No"
"SEALINK SHIPPING","01 , Ulugbek str, TASHKENT, UZBEKISTAN, 100077","","","https://www.freightnet.com/profile/91227.htm","No"
"Ologh Beg Group","A-05, Mumazil Building , Termiz, uzbekistan, 70000","","","https://www.freightnet.com/profile/58481.htm","No"
"Transcontinental, F&l","52A, Khalklar Dustligi str. , Tashkent, 700135","","","https://www.freightnet.com/profile/4699.htm","No"
"OzAydogan Int'l Trans Co","1/2, Cinar is merkezi, 100, Drujba Narodov,, Tashkent,","","","https://www.freightnet.com/profile/6008.htm","No"
"Transatlantic Inc","89, Nukus str , Tashkent,","","","https://www.freightnet.com/profile/8084.htm","No"
"Advance International Transport Inc","Yunusabad  Region C-4 Block 18 Appt 37 , Tashkent, 700017","","","https://www.freightnet.com/profile/9573.htm","No"
"Transsystem Ltd","1 a. Mavlyanov Street , Tashkent, 700084","","","https://www.freightnet.com/profile/19832.htm","No"
"Zudlik Trans","c-5 35/70 , Tashkent, 100000","","","https://www.freightnet.com/profile/21626.htm","No"
"STL LOGISTICS LTD.","40-68, Chekhov str. , Tashkent, Uzbekistan, 100015","","","https://www.freightnet.com/profile/23219.htm","No"
