"name","address","phone","website","profileUrl","isPremiumMember"
"D&L INTERNATIONAL CORP, C.A. (DLINTCORP)","AV.LIMA, EDIF TORRE PHELPS CARACAS, Caracas, La Guaira, Puerto Cabello, Falcón, Venezuela, Zip Code 1053/1160/4101","Whatsapp 1: +58-412-749-0478","","https://www.freightnet.com/profile/119560.htm","Yes"
"CROVEN SERVICIOS MARITIMOS C.A.","EDF CENTRO PERU. TORRE A, PISO 5 ,OFC 58, AV FRANCISCO DE MIRANDA. CHACAO, CARACAS, VENEZUELA, 1060","58 212 2678209","","https://www.freightnet.com/profile/119325.htm","Yes"
"NENACOMEX LOGISTICS","CARACAS, MACARACUAY, MIRANDA, 1071","+584142842225","","https://www.freightnet.com/profile/262414.htm","Yes"
"RCM International Freight Forwarding, C.A.","Av Manuel Diaz Rodriguez, Residencias Sivedi A, Local 1, PB. Santa Monica, Caracas, Venezuela, 1040","+582126621776","","https://www.freightnet.com/profile/177272.htm","Yes"
"Despachadora An-Mar, C.A.","La guaira, cc Vargas pisó 8 oficina 8-C , La guaira, La guaira, 1204","","","https://www.freightnet.com/profile/260547.htm","No"
"GRUPO CV LOGISTICS CA","Av Andres Bello, Centro Andres Bello , Caracas, Venezuela, 1150","","","https://www.freightnet.com/profile/159757.htm","No"
"ALL TRANS CARGO VENEZUELA C.A","AV FCO DE MIRANDA , EDIF CENTRO PLAZA, CARACAS, DTTO CAPITAL, 1060","","","https://www.freightnet.com/profile/257545.htm","No"
"Coanaca International Logistics C.A.","Av. Francisco Miranda, Centro Seguroa La Paz, piso 4, oficina E 41 C, Boleita Sur, Caracas. , Caracas, Venezuela, 1060","","","https://www.freightnet.com/profile/57468.htm","No"
"gomezimport-export1166 C.A.","carretera vieja  , los teques, cuji, Caracas, 1201","","","https://www.freightnet.com/profile/220845.htm","No"
"A.A. ADUANAS Y CONSOLIDADORA RUTHEDGAR","Av. Ppal El trèbol, Qta. Alex 3, PB, Of. 1-C, Sector El trèbol, MAIQUETIA, EDO. VARGAS - VENEZUELA, 1030","","","https://www.freightnet.com/profile/61885.htm","No"
"COANACA INTERNATIONAL LOGISTICS, C.A.","Av. Soublette, Camara de Comercio de La Guiara, piso 2 , Caracas, Vargas, 1070","","","https://www.freightnet.com/profile/209538.htm","No"
"A P  Agentes Aduanales S R L","Jefatura a Cristo Edificio Principal Piso 2 Oficina 4 , Edo. Vargas, Maiquetia, Gran Caracas,","","","https://www.freightnet.com/profile/6317.htm","No"
"VPS VEnezuelan Packages Service C.A.","Av. Fco de Miranda, Centro Emp. Don Bosco , Piso 12 Ofc. 12-A, Los Ruices, Caracas, Miranda, 1070","","","https://www.freightnet.com/profile/45074.htm","No"
"FRANEDG ADUANAS.,C.A.","AV. PPAL EL TREBOL, QTA. ALEX 3, PB, OF. 1-C, SECTOR EL TREBOL , SAME, LA GUAIRA, VARGAS, 1060","","","https://www.freightnet.com/profile/52309.htm","No"
"Transportes Internacionales SSL 2020, C.A. - Grupo SSL","Av. Miramar , 2da Avenida, La Guaira, Vargas - Venezuela, 1010","","","https://www.freightnet.com/profile/90175.htm","No"
"Agentes Aduanales VICGABXI, C.A.","Av. Juan José Flore, Calle 35, casa 4-24 , Urb. Rancho Grande, Puerto Cabello, Puerto Cabello, Carabobo, 2050","","","https://www.freightnet.com/profile/114620.htm","No"
"Venezolana de Logistica Logiven","urb. Las Mercedes , Calle Madrid, entre Trinidad y Mucuchíes, Las Mercedes, Caracas, Venezuela, 1040","","","https://www.freightnet.com/profile/209682.htm","No"
"Better Buy Us, C.A.","Av Fuerzas Armadas Caracas Venezuela 1010 , Caracas, Distrito capital, 1010","","","https://www.freightnet.com/profile/200340.htm","No"
"INTERNACIONAL FREIGHT SERVICES,C.A.","Av Lecuna, Edf. San Martin, Piso 4 Ofc 4F- 4A, Parque Central,Caracas , Caracas, Distrito Capital, 1010","","","https://www.freightnet.com/profile/57854.htm","No"
"Click  Cargo C.A  /  Web Site: www.click-cargo.com","Edf Onix Piso 3 ofc 3-1 El Rosal Caracas Venezuela , Caracas, Dtto Capital, 1160","","","https://www.freightnet.com/profile/51659.htm","No"
"Salinas Logistics","calle 3 La Urbina Torre Express  , Piso 8 Oficina 8B, caracas, venezuela, 1090","","","https://www.freightnet.com/profile/150816.htm","No"
"LyM Exportin, CA.","Aerocentro Internacional Valencia, Edf. G. Ofic. 02-10, Valencia, Carabobo / Venezuela., --","","","https://www.freightnet.com/profile/149796.htm","No"
"KATCARGO INTL CA","CALLE BORGES EDIF VERONA 1B SABANA GRANDE , 1ERA TRAN BELLO MONTE EL RECREO CARACAS, CARACAS, DISTRITO CAPITAL / VENEZUELA, 1050","","","https://www.freightnet.com/profile/144031.htm","No"
"Netcargo Forwarding Services","Av. Soublette, Edif. Centro Soublette, Piso 3, Ofic 3B y 3C, La Guaira, Vargas,","","","https://www.freightnet.com/profile/7943.htm","No"
"A-Rodram International Logistics.C A","Calle real de PariataEdf Axel piso PB Ofc 6 Pariata Maiquetia,Vargas Venezuela , Maiquetia, Venezuela, 1160","","","https://www.freightnet.com/profile/134948.htm","No"
"Agencia Amerisur y Caribeña de Carga","Av. Soublette, Edif. Devesa, piso 1, ofi. 1 , frente plaza El Consul. Maiquetia, La Guaira, Vargas, 1060","","","https://www.freightnet.com/profile/21218.htm","No"
"Croven Servicios Marítimos C.A","Centro Perú, Torre A, Piso 5 , Ofc 58 , Av. Francisco de Miranda, Chacao, Caracas, 1060","","","https://www.freightnet.com/profile/24128.htm","No"
"Shippinglink, C.A.","Calle Puerto Cabello, Qta #6-82, Ofic #1 , Puerto Cabello, Carabobo, 2050","","","https://www.freightnet.com/profile/104266.htm","No"
"J&G FREIGHT FORWARDERS","Av Buenos Aires Floor 2 - 2B, Suites Profesionales Los Caobos , Los Caobos, CARACAS, VENEZUELA, 1060","","","https://www.freightnet.com/profile/114125.htm","No"
".",". , ., ., ., .","","","https://www.freightnet.com/profile/23640.htm","No"
"SPEED BROKERS COMPANY","PALACIO DE EVENTOS DE VENEZUELA , PALACIO MALL, PLANTA BALA, LOCAL 41-B, MARACAIBO, ZULIA, 4001","","","https://www.freightnet.com/profile/46785.htm","No"
"Click Cargo C.A","Edif Onix piso 3 ofc 3-1 Caracas Venezuela , Caracas, Dtto Capital, 1160","","","https://www.freightnet.com/profile/51602.htm","No"
"Vicraf Internacional Forwarding","3era Calle Urb. Sorocaima , Edf. SanVicente, Piso 1, Maiquetía, Vargas, 1060","","","https://www.freightnet.com/profile/90859.htm","No"
"DON CEBA GROUP","LOCAL 10, PISO 1, CENTRO COMERCIAL BREAMAR, AV. LA COSTANERA, URBANIZACIÓN PALMAR ESTE , CARABALLEDA, VARGAS, 1165","","","https://www.freightnet.com/profile/102195.htm","No"
"GREYMAR","CENTRO SOUBLETTE , LA GUAIRA, VARGAS, 1068","","","https://www.freightnet.com/profile/48291.htm","No"
"Ven Project & Logistics","Av. Venezuela, Torre , America, piso 1, ofic 106, Caracas, D.F., 1051","","","https://www.freightnet.com/profile/83089.htm","No"
"Venmarine, C.A","Av.Francisco de Miranda, Edif. Caro , Edif.Caro, Piso 2, Ofic.23, Caracas, DF, 1060","","","https://www.freightnet.com/profile/57261.htm","No"
"Speed Brokers Company, C.A.","Palacio de Eventos de Venezuela , Caracas, 1080","","","https://www.freightnet.com/profile/23042.htm","No"
"Servitrans, C.A.","Calle 93, Padilla, con Av. 5 , Torre Malena, Piso 5, Ofic. 5C, Maracaibo,","","","https://www.freightnet.com/profile/7409.htm","No"
"TRUPARCA ADUANAS 6 TRANSPORTES C.A.","MAIQUETIA ESTADO VARGAS , LA GUAIRA, ESTADO VARGAS, 1160","","","https://www.freightnet.com/profile/48176.htm","No"
"Indutrans Transportes Internacionales S.A.","Av. El Mirador Con Calle El Empalme , Edificio Torre 18 Piso 15 Oficina B, La Campina - Caracas, Venezuela, CARACAS 1050-A","","","https://www.freightnet.com/profile/2175.htm","No"
"Best Logistic, C.A.","Aerocentro Internacional Edif F 02-08 Y 02-09 Valencia-Edo Carabobo , Av. Falcon Edif. Centro Profesional No. 08 Puerto Cabello Edo-Carabobo, Valencia, Carabobo, 2003","","","https://www.freightnet.com/profile/2669.htm","No"
"Seven Star Forwarding de Venezuela, C.A.","Ave 76 con calle 79B 27 Urb Gilcon , detras de Centro Comercial Traki, La Limpia, Maracaibo, Estado Zulia,","","","https://www.freightnet.com/profile/3455.htm","No"
"A Click Cargo C.A","Av. Sojo con Av. Venezuela, Edif. Onix Piso 3 Ofic. 3-1 El Rosal, CARACAS, DISTRITO CAPITAL, 3311","","","https://www.freightnet.com/profile/13518.htm","No"
"Mundial Cargo, Servicios Aduanales C.A","Calle Los Baños. Edif. Rio Orinoco. Piso 3. Ofic 3-B. Maiquetía. La Guaira.  , Av. Romulo Gallegos. Centro Gerencial Los Andes. Piso 6. Ofic. 6-G., Caracas, 1061","","","https://www.freightnet.com/profile/21402.htm","No"
"RL Logistica Integrada C.A.","Av. Fco De Miranda Centro Peru , Torre A Piso 6, Ofic 66, Chacao, Caracas, Distrito Federal, 1060","","","https://www.freightnet.com/profile/22064.htm","No"
"Valen Trade","CC MEDEFER PISO 2 PISO18 C/ sAGRESTAA CC aV bOLIVAR PUERTO CABELLO , Puerto Cabello, Carabobo  Venezuela, 1160","","","https://www.freightnet.com/profile/64447.htm","No"
