"name","address","phone","website","profileUrl","isPremiumMember"
"TTL Cargo Max","Lane 82, Duy Tan St., Dich Vong Hau Ward, Cau Giay Dist., Hanoi , Hanoi, Vietnam, 15000","","","https://www.freightnet.com/profile/265862.htm","No"
"VINALINK LOGISTICS","226/2 Le Van Sy, Ward 1, Tan Binh District, Ho Chi Minh City , 44 Truong Son, Ward 2, Tan Binh District, Ho Chi Minh City, HO CHI MINH, Vietnam, 700000","","","https://www.freightnet.com/profile/173761.htm","No"
"BANYAN LOGISTICS VIET NAM COMPANY LIMITEDED","16FL, Block A, Song Da Buidling , Pham Hung Road, Ha Noi City, Viet Nam, 10000","","","https://www.freightnet.com/profile/259631.htm","No"
"PCS","Tầng 6, Nhà 25T1, KĐT Đông Nam, Trần Duy Hưng , Cau Giay, Hanoi, VIetnam, 11300","","","https://www.freightnet.com/profile/246776.htm","No"
"YATARI EXPRESS VN","ADELE BUILDING , PHU NHUAN, HO CHI MINH, HO CHI MINH, 700000","","","https://www.freightnet.com/profile/259222.htm","No"
"UNITED TRANS VIET NAM","36 Hoang Cau, Dong Da, Ha Noi , Hanoi, Vietnam, 10000","","","https://www.freightnet.com/profile/156069.htm","No"
"Tonkin Express International Transportation Co. Ltd.","3rd Floor, No:16 Tayho Street, Quang An Ward, Tayho District, Hanoi, Vietnam , Tay Ho, Vietnam, 10000","","","https://www.freightnet.com/profile/246448.htm","No"
"SAM IMPORT EXPORT MANUFACTURING LIMITED COMPANY","No. 28, 14 Str., Thanh Son Dist., Vu Ninh Ward , Bac Ninh City, Bac Ninh, Vietnam. , Bac Ninh, Vietnam, 100000","","","https://www.freightnet.com/profile/174133.htm","No"
"Captain Logistics","Hồ Tùng Mậu - Mai Dịch - Cầu Giấy - Hà Nội , thanhphohanoi, Vietnam, 11300","","","https://www.freightnet.com/profile/249914.htm","No"
"Salem Express","573 Go Vap, Ho Chi Minh City, Vietnam , Thu Duc, Vietnam, 80000","","","https://www.freightnet.com/profile/183298.htm","No"
"Prime Shipping Agency LLC","A.Niyazov str. , Ashgabad, Turkmenistan, 744000","","","https://www.freightnet.com/profile/233864.htm","No"
"FTI CO LTD","FL 12, HAI AU BLDG, 39B TRUONG SON STREET, WARD 4,, TAN BINH DISTRICT, HO CHI MINH CITY, 700000","","","https://www.freightnet.com/profile/213935.htm","No"
"HL EXPRESS","102 NGUYEN THANH BINH - LA KHE - HA DONG - HA NOI , Hanoi, Ha Dong, 100000","","","https://www.freightnet.com/profile/206593.htm","No"
"MELODY LOGISTICS CO., LTD","No. 01 Nguyen Van Dau Str, Ward 05,, HCM, PHU NHUAN, 70000","","","https://www.freightnet.com/profile/135941.htm","No"
"Công ty TNHH Sonic global","No 9 Alley 2 Lane 199A Road Cau Dien , Ward Phuc Dien, Cau Dien, Ha Noi, Viet Nam, 100000","","","https://www.freightnet.com/profile/178545.htm","No"
"K&T Import Co.,Ltd","112 hoang quoc viet , Nai hien dong, Da nang, Da nang, 550000","","","https://www.freightnet.com/profile/158374.htm","No"
"LAVADA JOINT STOCKS COMPANY","No. 4, Alley 21, Lane 31, Nguyen Cao st., Hai Ba Trung dist., Hanoi , Hanoi, Vietnam, 84","","","https://www.freightnet.com/profile/160485.htm","No"
"QVTrans Co., Ltd","41 Road 40 , Tan Phong Ward, Dist 7, Ho Chi Minh, Vietnam, 700000","","","https://www.freightnet.com/profile/97730.htm","No"
"GIA PHU EXPRESS","09 NGUYEN TRONG LOI, WARD 4, HCMC , ho chi minh city, VIET NAM, 70000","","","https://www.freightnet.com/profile/154655.htm","No"
"PACIFIC AIRLIFT (VIETNAM) CO., LTD","16 Cuu Long Str., Ward 2, Tan Binh Dist.,, HCMC, VIETNAM, 70000","","","https://www.freightnet.com/profile/152095.htm","No"
"VIETJET","HAI AU, 39bTRUONG SON, TAN BINH , HO CHI MINH, VIET NAM, 084","","","https://www.freightnet.com/profile/141936.htm","No"
"DIMERCO EXPRESS","29-31 DINH BO LINH, P.24, Q. BINH THANH, HO CHI MINH , 113 HOANG VAN THU, DA NANG, DA NANG, VIET NAM, +84","","","https://www.freightnet.com/profile/131261.htm","No"
"TNS Cargo Service Co,.Ltd","40 Yen The Street - Ward 2 - Tan Binh District , Ho Chi Minh City, Vietnam, 700000","","","https://www.freightnet.com/profile/127182.htm","No"
"Long An International Port","Ấp Tân Hòa, Xã Tân Tập, Huyện Cần Giuộc, Tỉnh Long An , : Tầng 9, Tòa nhà số 117-119 Nguyễn Văn Trỗi, phường 12, Quận Phú Nhuận , TP HCM, Việt Nam., Ho Chi Minh, Viet Nam, 700000","","","https://www.freightnet.com/profile/138039.htm","No"
"Viet Nam Airseaglobal Company Limited","A9/4 MO DIA CHAT GROUP, CO NHUE 2 WARD, BAC TU LIEM DIST, HA NOI , HA NOI, VIET NAM, 10000","","","https://www.freightnet.com/profile/137766.htm","No"
"Tam Nguyen Logistics and Trading Company Limited","6th floor, EG building, Tran Hung Dao Street, Hoang Van Thu Ward, Hong Bang Districs, Hai Phong City, Viet Nam , Hai Phong, Viet Nam, 180000","","","https://www.freightnet.com/profile/135921.htm","No"
"HOANG KHOI LOGISTICS CO., LTD","59, Truong Son Str., Tan Binh Dist. , Ho Chi  Minh City, Viet Nam, 70000","","","https://www.freightnet.com/profile/117125.htm","No"
"FULL WELL (VN) CO.,LTD.","NO.27 Troung son street , ward 4, tanh binh district , hochiminh city, vietnam, na","","","https://www.freightnet.com/profile/95980.htm","No"
"CENTURY LOGISTICS","776/4A Nguyen Kiem Ward.4 Phu Nhuan dis.hcm , hochiminh, Vietnam, 84-8","","","https://www.freightnet.com/profile/88425.htm","No"
"GSTS.,Co Ltd","GF. Tan Hoang Long, 25/68 St Nguyen Binh Khiem, Dist 1, HCMC, Vietnam , HCM, Vietnam, 84","","","https://www.freightnet.com/profile/52659.htm","No"
"LONG HUNG PHAT TRADING SERVICE CO ., LTD","656/21 Cach Mang Thang Tam , Wardd 11 , Dist 3 , Hochiminh City, Vietnam, 70000","","","https://www.freightnet.com/profile/51914.htm","No"
"Royal Transporrt & Services Co.Ltd","25 Dong khoi street , HoChiMinh City, Vietnam, 0084","","","https://www.freightnet.com/profile/56796.htm","No"
