"name","address","phone","website","profileUrl","isPremiumMember"
"Skydart Express","32 Lam Son Street, Tan Son Hoa Ward, Ho Chi Minh City, Vietnam, 72122","0903140235","http://www.skydart.com.vn/","https://www.freightnet.com/profile/264423.htm","Yes"
"SKYDART EXPRESS","32 LAM SON , TAN SON HOA WARD, TAN BINH, TAN BINH, 70000","","","https://www.freightnet.com/profile/264437.htm","No"
"MAI GIA LOGISTICS TRADING&DV COMPANY LIMITED","124 Pham Van Hai, Ward 2, Tan Binh District, Ho Chi Minh City, Vietnam , Thành phố Hồ Chí Minh, Tan Binh District, 70000","","","https://www.freightnet.com/profile/241708.htm","No"
"THANH TAM LOGISTICS","36/15 STRESS, WARD 2 , TAN BINH DISTICTS, HO CHO MINH CITY, VIETNAM , HO CHI MINH, VIETNAM, 70000","","","https://www.freightnet.com/profile/167478.htm","No"
"K.H.K INTERNATIONAL TRADING SERVICE LTD","25/1B Hau Giang St, W.4, Tan Binh Dist , Ho Chi Minh, Ho Chi Minh, 70000","","","https://www.freightnet.com/profile/129965.htm","No"
"Melody Logistics Co.,Ltd","Melody Building, No.1 Nguyen Van Dau Street, Phu Nhuan District, Ho Chi Minh City, Vietnam , 354/1/15 Phan Van Tri Street, Binh Thanh District, Ho Chi Minh City, Vietnam, Ho Chi Minh, Viet Nam, 700000","","","https://www.freightnet.com/profile/166299.htm","No"
"Gui hang di My Uc Canada","20/1 Bui Thi Xuan, Ward 2, Tan Binh , Ho Chi Minh, Viet Nam, 700000","","","https://www.freightnet.com/profile/176402.htm","No"
"CARRY ALL LOGISTICS CO., LTD","2nd Floor RWE Building, 14A Song Da Street, Ward 2, Tan Binh District, HCMC, Vietnam , Ho Chi Minh City, Vietnam, 700000","","","https://www.freightnet.com/profile/162340.htm","No"
"THN LOGISTICS CO., LTD","58 NGUYEN XI, WARD 26, BINH THANH DISTRICT  , www.thnlogistics.com, HO CHI MINH, BINH THANH, 08","","","https://www.freightnet.com/profile/152979.htm","No"
"nr., ltd","9 tien giang F2 , QUan TAn BInh HCM , HCM, VietNam, 70000","","","https://www.freightnet.com/profile/115595.htm","No"
"INSERCO INTERNATIONAL CO., LTD","7/F No.100 Nguyen Xi Str, Ward 26, Binh Thanh Dist, HCMC , 26, Hochiminh, 70000","","","https://www.freightnet.com/profile/115318.htm","No"
"Eclipse Corporation","Ground Floor, Viconship Saigon Building, 6-8 Doan Van Bo Street, Dist 4 , Ho Chi Minh, Vietnam, 70xxxxx","","","https://www.freightnet.com/profile/53093.htm","No"
"Internaional Parcels Express","152 Pho Duc Chinh str , Ha Noi, Ba Dinh dist,","","","https://www.freightnet.com/profile/20914.htm","No"
