"name","address","phone","website","profileUrl","isPremiumMember"
"TNT TRANSTRADING","80 Thăng Long, P4, Q. Tân Bình , HCMC, - Select -, 700000","","","https://www.freightnet.com/profile/239670.htm","No"
"IMEX LOGISTICS CO.,LTD","41/4M/26 , GO CAT STREET, HOCHIMINH CITY, VIETNAM, 71208","","","https://www.freightnet.com/profile/263870.htm","No"
"GUG SHIPPING (VIETNAM) COMPANY LIMITED","1st Floor, YOKO Building, 677/6 Dien Bien Phu Street, Ward 25, Binh Thanh District, Ho Chi Minh City, Viet Nam , YOKO Building, HO CHI MINH, 70000","","","https://www.freightnet.com/profile/254893.htm","No"
"tx","F2/25a5 vĩnh lộc a bình chánh , Thành phố Hồ Chí Minh, aaa, aaaa","","","https://www.freightnet.com/profile/235288.htm","No"
"Smart Link Logistics","215 Tran Hung Dao , Co Giang Ward, Hochiminh, 70000","","","https://www.freightnet.com/profile/116864.htm","No"
"PHONG PHUC TRADE TRANS SERVICES CO., LTD","7/18/12/2, Street No., 898, Phu Huu Ward, Thu Duc City, HCMC, Vietnam , S5.03 Vinhome Grand Park, Nguyen Xien Street, Long Thanh My Ward, Thu Duc city, HCMC, Vietnam, Long Thanh My Ward, Vietnam, 71216","","","https://www.freightnet.com/profile/196162.htm","No"
"SAMZONE CO., LTD","No.14,44/64 Alley, TRAN THAI TONG STR, CAU GIAY DST, HA NOI, VIETNAM, Hanoi, 100000","","","https://www.freightnet.com/profile/162202.htm","No"
"INTERNATIONAL TRANSPORTATION SERVICE CORPORATION","Room 804, Toyota Thanh Xuan, 315 Truong Chinh, Ha Noi, Vietnam , M floor, An Phu Building, 117 - 119 Ly Chinh Thang, Dist 3, Ho Chi Minh City, Vietnam, Thanh Xuan Dist, Vietnam, 79000","","","https://www.freightnet.com/profile/146564.htm","No"
"Flat World Service,Trading & Investment Co.,ltd","No 21, alley 34/182 Vinh Tuy Street, Hai Ba Trung Dist, Hanoi City, Vietnam , 3rd Floor, No 206 De La Thanh Street, Tho Quan Ward, Dong Da Dist, Hanoi City, Vietnam, Hanoi, Vietnam, +84","","","https://www.freightnet.com/profile/127162.htm","No"
"A2Z GLOBAL LOGISTICS CO., LTD.","5th Floor, VIMECO building , Lot E9, Pham Hung road, HA NOI City, VIET NAM, 100000","","","https://www.freightnet.com/profile/134788.htm","No"
"VN LOGISTICS","421 Tran Hung Dao , Danang, Vietnam, 59100","","","https://www.freightnet.com/profile/127392.htm","No"
"Delta International Co., Ltd","5th floor, Zodiac building, Duy Tan street, Cau Giay district, Hanoi, Vietnam , 65 Tran Quoc Hoang Str, Ward 4, Tan Binh Dist, Ho Chi Minh City, Viet Nam, Ho Chi Minh - Ha Noi - Hai Phong, ad, 7000","","","https://www.freightnet.com/profile/99812.htm","No"
"Mcc Supply Chain Solutions Ltd","73 Tao Luc 7 road, Hoa Phu ward , Thu Dau Mot city, Binh Duong province, 72000","","","https://www.freightnet.com/profile/112411.htm","No"
"An Tam Co.,Ltd","62C Nguyen Hong st., Ward 11, Binh Thanh District, HCMC , Floor4, Luong Vung Ang Station- house, Ky  Loi Commune, Ky Anh district, HCM, Việt Nam, HO CHI MINH CITY /70999","","","https://www.freightnet.com/profile/99931.htm","No"
"Sealink International Freight Forwarder","76 Tan My St , Ho Chi Minh City, Dist 7","","","https://www.freightnet.com/profile/23729.htm","No"
