"name","address","phone","website","profileUrl","isPremiumMember"
"THAIHA INVESTMENT AND DELIVERY JSC","4th Floor, Acci Building, No 210, Le Trong Tan Street, Khuong Mai Ward, Thanh Xuan District, Ha Noi,  Viet Nam, Ha Noi, Viet Nam, 100000","+84 375398399","https://gothl.vn/","https://www.freightnet.com/profile/247636.htm","Yes"
"KUNNA LOGISTICS  - BEST OCEAN FREIGHT FROM HAIPHONG/HO CHI MINH TO LOS ANGELES, OALAND SEATTLE ST.PAUL KANSAS CITY CHICAGO DETROIT NEWYORK SAVANNA BALTIMORE MIAMI NORFOLK HOUSTON TAMPA NEW ORELANS VANCOUVER MONTREAL/TORONTO EDMONTON/CALGARY","No 508  Le Thanh Tong, Ngo Quyen, Haiphong, Hochiminh,Hanoi, Haiphong, Danang, Quinhon, Phumy, Dungquat, Vungang, Nghison,, HaiPhong, Vietnam, 84","+84946601124","http://www.kunna.com.vn/","https://www.freightnet.com/profile/98297.htm","Yes"
"Ring Vietnam - HCM branch","M1 - 1.06, Jamona City, Dao Tri street, District 7  , Ho Chi Minh city, Ho Chi Minh city, 72907","+84 988 224022","https://ring.com.vn/","https://www.freightnet.com/profile/220406.htm","Yes"
"FMG co.,ltd","Hoan kiếm, ha noi, Hoan kiwm, Ha noi, 100000","086 6824296","","https://www.freightnet.com/profile/237436.htm","Yes"
"Viet Total Logistics Co. Ltd (VTL Co. Ltd)","18 B Nam Quoc Cang St, Pham Ngu Lao Ward, Hochiminh City, 01 St. District, 84-8","+84-8-39257641","http://vtl.com.vn/","https://www.freightnet.com/profile/21603.htm","Yes"
"APT INTERNATIONAL CO.,LTD","19 BACH DANG STREET , TAN SON HOA WARD, HO CHI MINH CITY, VIETNAM, 70000","Tel : (+84)28353-50424","https://forwardervietnam.com/","https://www.freightnet.com/profile/157965.htm","Yes"
"HUNG DONG INVESTMENT SERVICE TRADING COMPANY LIMITED","FLOOR 19TH, OFFICE AREA, INDOCHINA PARK TOWER, NO. 4 NGUYEN DINH CHIEU STREET, DAKAO WARD, DISTRICT 1, HO CHI MINH CITY, VIETNAM, HO CHI MINH CITY, VIETNAM, 70000","+84 918347892","http://www.hungdong.com.vn/","https://www.freightnet.com/profile/175069.htm","Yes"
"TNT TRANSTRADING","80 Thăng Long, P4, Q. Tân Bình, 42 Giai Phong street, Ward 4, Tan Binh district, HCMC, Viet Nam, 700000","+84906848525","","https://www.freightnet.com/profile/248041.htm","Yes"
"HNG LOGISTICS CO., LTD.","08th Floor, 182A Lo Duc, Hai Ba Trung, Hanoi, Vietnam,","0084 903267866","http://hnglog.com.vn/","https://www.freightnet.com/profile/214199.htm","Yes"
"PIO LOGISTICS CO.,LTD","277/20 Xo Viet Nghe Tinh Street, Ward 15, Binh Thanh Dist , HO CHI MINH, VIET NAM, 700000","","","https://www.freightnet.com/profile/213340.htm","No"
"POTA SHIPPING & LOGISTICS JSC","floor7, Danabook buliding , 76-78 Bach Dang str, DaNang, Vietnam , 121 Dao Duy ANH str, phu nhuan Dist, HCM, DaNang, VietNam, 511","","","https://www.freightnet.com/profile/102712.htm","No"
"WIN ART LOGISTICS","Nguyen Huu Tho Street,  Tan Hung Ward, District 7, Ho Chi Minh City, Viet Nam , HO CHI MINH, VIET NAM, 700000","","","https://www.freightnet.com/profile/244458.htm","No"
"ALO TRANSPORTATION SERVICE TRADING CO.,LTD","ALO TRANSPORTATION SERVICE TRADING CO.,LTD , 468 PHAN VAN TRI, Ho Chi Minh, Ho Chi Minh, thanh pho [Sai Gon], 70000","","","https://www.freightnet.com/profile/226444.htm","No"
"Green Global Forwarding Co.,Ltd","505 Nguyen An Ninh, Vung Tau City , Vung Tau City, Vietnam, 790000/084","","","https://www.freightnet.com/profile/99513.htm","No"
"LEGEND SHIPPING GROUP","(mng@legend-shipping.com) (Cell: +84 968802646)260 Chu Van An Street, Ward 26, Binh Thanh District, Ho Chi Minh City, Vietnam , binh thanh, hcm, 7000","","","https://www.freightnet.com/profile/149823.htm","No"
"GIA LINH LOGISTICS SERVICES CO., LTD.","177 Hai Ba Trung Street , Xuan Hoa Ward,Ho Chi Minh City, VIETNAM, 700000","","","https://www.freightnet.com/profile/265039.htm","No"
"Fastrans VN","Quang Lam Street , Phu Luong Ward, Ha Noi City, Vietnam, 15000","","","https://www.freightnet.com/profile/264588.htm","No"
"Air Tiger Express","Hoa Bang, Yen Hoa, Cau Giay , Hanoi, Vietnam, 100000","","","https://www.freightnet.com/profile/263919.htm","No"
"I CARE VIET NAM CO.LTD","75/5 Nguyen Cuu Van Street, Ward 17, Binh Thanh District, HCMC, Vietnam , HO CHI MINH CITY, VIETNAM, 70000","","","https://www.freightnet.com/profile/166689.htm","No"
"ITI","HO CHI MINH CITY , HO CHI MINH CITY, VIETNAM, 70010","","","https://www.freightnet.com/profile/262461.htm","No"
"TAM KIM LOGISTICS CO.,LTD","T19-22 The Manattan Glory, Vinhomes Grand Park , Long Binh Ward, Ho Chi Minh City, Vietnam, 71300","","","https://www.freightnet.com/profile/191162.htm","No"
"NTL","1075/23 Tinh Lo 10 St, Tan Tao Ward, Binh Tan Dist, HCM City, Viet Nam , Ho Chi Minh, Viet Nam, 0084","","","https://www.freightnet.com/profile/225600.htm","No"
"Sunlink J.S.C","No.21, 25/358 lane, Bui Xuong Trach street, Khuong Dinh ward, Hanoi City, Vietnam , HANOI, VIETNAM, 100000","","","https://www.freightnet.com/profile/259085.htm","No"
"VNLN VIETNAM","125D MINH KHAI STR , HA NOI, VIETNAM, 84","","","https://www.freightnet.com/profile/138464.htm","No"
"DONG A LOGISTICS JOINT STOCK COMPANY","28 lot D, Street 6, Phu My Ward, District 7, HCM City. Vietnam. , Ho Chi Minh city, Viet Nam, 700000","","","https://www.freightnet.com/profile/208275.htm","No"
"GREEN EARTH LOGISTICS CO.,LTD","CT7E Block, The Spark Urban, Duong Noi , Ha Dong, Ha Noi, VIET NAM, 10000","","","https://www.freightnet.com/profile/154346.htm","No"
"ABAD Logistics","456-458 Hai Ba Trung, Tan Dinh Ward, District 1 , RM 805 , Gwanghwamun Officia, 92, Saemunan-ro,  Jongno-gu, Seoul 03186, Korea, Ho Chi Minh City, Vietnam, 700000","","","https://www.freightnet.com/profile/259818.htm","No"
"EXIMCO GLOBAL CO.,LTD","31 THOTHAP STREET, CAU GIAY DIST , HANOI, VIETNAM , HA NOI, VietNam, 100000","","","https://www.freightnet.com/profile/188213.htm","No"
"Vietnam Post Logistics","No.5 Pham Hung St, South Tu Liem, Hanoi, Vietnam , Hanoi, Vietnam, 100000","","","https://www.freightnet.com/profile/172403.htm","No"
"Oceanking Transport Vietnam","Nam Tu Liem  , Cau Giay, Vietnam, 09527","","","https://www.freightnet.com/profile/259610.htm","No"
"NTL Group","256/33 đường Dương Quảng Hàm , HO CHI MINH, AN NHON, 727214","","","https://www.freightnet.com/profile/262462.htm","No"
"Ocean Trans Logistics","19 Duy Tan, Cau Giay, Ha Noi , Ha Noi, Vietnam, Country, 0000","","","https://www.freightnet.com/profile/214114.htm","No"
"POTA SHIPPING & LOGISTICS JSC","www.potalogistics.vn , 121-07 hoang van thu street, DA NANG CITY, da nang, 511","","","https://www.freightnet.com/profile/254518.htm","No"
"TRUSTLOG CO., LTD","22 Nguyen Dinh Khoi Str, Ward 4, Tan Binh Dist, HCMC , HO CHI MINH, VIETNAM, 72112","","","https://www.freightnet.com/profile/204872.htm","No"
"Triumph Gate Co.,Ltd","363/9 Binh Loi st, Binh Thanh dist , Ho Chi Minh, Viet Nam, 70000","","","https://www.freightnet.com/profile/158653.htm","No"
"CARGOLINK EXPRESS VIETNAM CO., LTD","FLOOR 6, 84 BACH DANG STREET, 2 WARD, TAN BINH DISTRICT , HO CHI MINH, VIETNAM, 700000","","","https://www.freightnet.com/profile/192028.htm","No"
"BLUE VISION INTERNATIONAL TRANSPORT CO., LTD.","33 LE QUOC HUNG STREET, WARD 12 , HOCHIMINH, Vietnam, 70000","","","https://www.freightnet.com/profile/196553.htm","No"
"PETER TRANS LOGISTICS (VIETNAM) CO., LTD.","3rd Floor, PVCombank Building, Da Nang City, Vietnam , 3rd Floor, PVCombank Building, Da Nang City, Vietnam, Da Nang, Đà Nẵng, 50000","","","https://www.freightnet.com/profile/260934.htm","No"
"SOTRANS Logistics","1B Hoàng Diệu , Ho Chi Minh, Vietnam, 70000","","","https://www.freightnet.com/profile/257168.htm","No"
"Unicorn Global","19 Ngh. 342/101 Đ. Khương Đình, Hạ Đình, Thanh Xuân, Hà Nội, Việt Nam , Hanoi, Vietnam, 100000","","","https://www.freightnet.com/profile/261088.htm","No"
"A2Z GLOBAL LOGISTICS CO., LTD.","5th Floor, VIMECO building , Lot E9, Pham Hung road, HA NOI City, VIET NAM, 100000","","","https://www.freightnet.com/profile/134720.htm","No"
"HTM LOGISTICS","12M NGUYEN THI MINH KHAI , HO CHI MINH, 1, 70000","","","https://www.freightnet.com/profile/177832.htm","No"
