"name","address","phone","website","profileUrl","isPremiumMember"
"VIETNAM SHIPPING AGENCY JOINT STOCK COMPANY","4/F Dinh Le Tower, 01 Dinh Le Street, District 04, Ho Chi Minh City, Vietnam , Ho chi minh city, Vietnam, 700000","","","https://www.freightnet.com/profile/256786.htm","No"
"Sealand Shipping Line","Vela Hub building, 175 Phan Chu Trinh Street, Ward 13, Binh Thanh District, HCMC, Viet Nam. , Binh Thanh District, Ho Chi Minh City, 700000","","","https://www.freightnet.com/profile/230418.htm","No"
"V＆A  EXPRESS INTERNATIONAL LOGISTICS STOCK COMPANY","A1, 15OT01 Vinhomes Golden River, 2 Ton Duc Thang Street,Ben Nghe Ward, Dist 1, HCM City, Viet Nam. , Ho Chi Minh, --Nothing--, 713530","","","https://www.freightnet.com/profile/225415.htm","No"
"ASIAN EXPRESS LINE VIETNAM ( AEL VIET NAM )","RM415, 4thFl, TD Business Center, Lot 20 Le Hong Phong Road, Ngo Quyen District, Haiphong City, Vietnam Tel: (84) 225 3757527       ib1@aeline.com.vn      Cell phone: (84) 913 042 029 , Haiphong, Vietnam, 180000","","","https://www.freightnet.com/profile/178909.htm","No"
"Amasis Shipping co.,ltd","29 D4 Str., Him Lam Kinh Te Area  Tan Hung Ward, Dist 7 , Hochiminh City, Vietnam, 084","","","https://www.freightnet.com/profile/110331.htm","No"
"SM LINE","217  , dakao, hochimin, 007","","","https://www.freightnet.com/profile/210446.htm","No"
"PACIFIC LINES CO., LTD","Pacific Lines building, 45D/19 D5 Street, Ward 25, Binh Thanh District , Ho Chi Minh City, Ho Chi Minh City, Vietnam, 70000","","","https://www.freightnet.com/profile/192048.htm","No"
"TRUONGPHAT WATER WAY AND LAND TRANSPORT JSC","Thuy Duong,, Thuy Nguyen, Haiphong, 100000","","","https://www.freightnet.com/profile/60676.htm","No"
"DONG NAM LOGISTICS","31 HOANG DIEU, DIST 04 , HCM, VIETNAM, 84","","","https://www.freightnet.com/profile/86335.htm","No"
"SE GLOBAL CONTAINER LINES","31 Hoang Dieu St, Dist 04 , HCMC, VIETNAM, 8486","","","https://www.freightnet.com/profile/130909.htm","No"
"ASIATRANS VIETNAM CORPORATION","421 Tran Hung Dao Street, Danang City, Vietnam , DA NANG, VIETNAM, 550000","","","https://www.freightnet.com/profile/127841.htm","No"
"VIETOCEAN JOINT STOCK COMPANY","Viet nam , ha noi, Viet nam, 10000","","","https://www.freightnet.com/profile/118673.htm","No"
"Nguyen Phuc Commercial","An Lu- Thuy Nguyen , Haiphong, Haiphong, Thuy nguyen","","","https://www.freightnet.com/profile/106327.htm","No"
"MEGAWAY SHIPPING","MEGAWAY TOWER , XUAN LA WARD, TAY HO, VIETNAM, 10000","","","https://www.freightnet.com/profile/98759.htm","No"
"VIETTRAN CARGO CO.,LTD","No.4, Inlaco Building, Nguyen Trai Street, Ngo Quyen District , No.4, Inlaco Building, Nguyen Trai Street, Ngo Quyen District, Hai Phong City, Viet Nam, 0084","","","https://www.freightnet.com/profile/83280.htm","No"
"OOCL (Vietnam) Co Ltd","3rd Floor, Saigon Trade Center , 37 Ton Duc Thang Street, Ho Chi Minh City, District 1,","","","https://www.freightnet.com/profile/17360.htm","No"
"VIET STAR SHIPPING AGENCY CO.,LTD","2nd Floor, 65 Le Quoc Hung Str., Ward 12, Dist 4, Hochiminh city, 0848","","","https://www.freightnet.com/profile/53436.htm","No"
