"name","address","phone","website","profileUrl","isPremiumMember"
"Seven Seas World Shipping & Stevedoring","Meena street , Hodeidah, Republic of Yemen, +3","+967733500119","https://www.7seasworldshipping.com/","https://www.freightnet.com/profile/263690.htm","Yes"
"DAYNA FREIGHT CARGO L.L.C","TV st. In front of the Industrial Technical Institute , 270,  Exchange Tower Business Bay,  Dubai-UAE, Bny Alharth, Sana'a, 212204","","","https://www.freightnet.com/profile/246085.htm","No"
"ADDIS Logistics & Supply Chain Solutions","Airport Street, Intersection of 60th Street, Aljimna Roundabout, Near Airport Towers Hotel. , ADEN ALMUALLA MAIN STREET, SANA'A, YEMEN, +967","","","https://www.freightnet.com/profile/254597.htm","No"
"WEPS","Mothana Building , Jami Hajar, Sana'a, Yemen, 0000","","","https://www.freightnet.com/profile/264096.htm","No"
"Mohamed Al-hadi for customs clearance and Shipping","Ring Road Sakhr St Intersection - Next to Al-Najm Exchange , SANNAA, Sana'a, 000000","","","https://www.freightnet.com/profile/261650.htm","No"
"SIRA BRIDGE SHIPPING &LOGISTICS SERVICES","ADEN -CRATER QUEEN ARWA STREET  , SANA'A-HADDA STREET ALNUZAILI BUILDING, Please Select City, yemen, +967","","","https://www.freightnet.com/profile/261290.htm","No"
"Fast Ship","Yemen, Sana'a , Sanaa, Sanaa, 00000","","","https://www.freightnet.com/profile/233523.htm","No"
"World's Gate for Shipping and Agencies LTD.","Flat No. 3, Al Alimi Cold Storage Building  , Algeria Street, Sanaa, Sanaa, Republican of Yemen,","","","https://www.freightnet.com/profile/239117.htm","No"
"BS International Logistics & Aviation Services","40 M street Alssbahi , Nabih@binshoelan.com, Sanaa, Yemen, 16914","","","https://www.freightnet.com/profile/143193.htm","No"
"LINK OVERSEAS SHIPPING SERVICES","ALGERIA STREET, TADHAMON BANK BUILDING , Sanaa, alwhda, 00967","","","https://www.freightnet.com/profile/246644.htm","No"
"Golden Ocean for Customs Clearance & Shipping","Al-Jadeed Library, Western Ring Road, Sana'a, Yemen , sanaa, sanaa, 00967","","","https://www.freightnet.com/profile/257890.htm","No"
"Yemen LOG Services","Khormaksar, Building  266, Aden,  Yemen , 00967779943006, Aden, Yemen, Info@yemenlogistic.com","","","https://www.freightnet.com/profile/217229.htm","No"
"Greenat For General Services","Al moala , Aden, Yemen, 00000","","","https://www.freightnet.com/profile/209273.htm","No"
"Universal Aviamarine","Sana'a , Sana'a, Sana'a, 00000","","","https://www.freightnet.com/profile/245886.htm","No"
"Alsmo Expedite","90st near alqutabi bank  , aden, yemen, 023565894 ext:192","","","https://www.freightnet.com/profile/245506.htm","No"
"Beyond Seas Shipping & Customs Clearance Services","Mahrogat St, Sana'a, Yemen , Sana'a, Yemen, 00000","","","https://www.freightnet.com/profile/226325.htm","No"
"Caspian sea Int'l company","Bait Bos - 30th Street - Sana'a , Nil, Sana'a, Yemen, 0003","","","https://www.freightnet.com/profile/236391.htm","No"
"YEMEN EXPRESS LOGISTICS SERVICES","Aden city , steamer point area   , Sana'a city , haddah area, Aden, Yemen, 401392","","","https://www.freightnet.com/profile/218764.htm","No"
"Premium Shipping Forwarding","Makalaeh Street , Sanaa, Yemen, 18392","","","https://www.freightnet.com/profile/210843.htm","No"
"WORLDS GATE FOR SHIPPING & AGENCIES LIMITED","AL ALIMI BUILDING, ALGERIA STREET  , SANAA, YEMEN,","","","https://www.freightnet.com/profile/146309.htm","No"
"L.S.A Global Line for Shipping and Logistics Services","3rd Level, Al Rimancia Sweets Building  , Alshaif Bridge, Sanaa, Yemen, 09671","","","https://www.freightnet.com/profile/194206.htm","No"
"Hoàng Khôi Logistics","523A Đỗ Xuân Hợp, Phước Long B,, Quận 9, Tp.HCM, 700000","","","https://www.freightnet.com/profile/186460.htm","No"
"Saba Shipping & Stevedoring Co Ltd","Meena Street, Saba Building, P.O.Box 3378-3173, Hodeidah, Yemen , P.O.Box:  5278, Hafoon, Malla, Aden, Republic of Yemen., Hodaidah / Aden / Mukalla, Yemen, P.O.Box 3378-3173","","","https://www.freightnet.com/profile/176190.htm","No"
"Global Link Marine Logistic Co., LTD.","Beirut Street, Beside Alsosoah Station , Haddah Street, Sana’a, Yemen, 3133","","","https://www.freightnet.com/profile/179633.htm","No"
"Worlds Gate","Algiria Street , Sana'a, Yemen, 00967","","","https://www.freightnet.com/profile/172377.htm","No"
"ALALIMI SHIPPING & LOGISTICS","Sanaa st Hodiedah , Hassan Ali st Aden, Aden, Aden, 0097","","","https://www.freightnet.com/profile/157595.htm","No"
"world link international express","hadda , hayi el siyasi, sana'a, sana'a, 01","","","https://www.freightnet.com/profile/137363.htm","No"
"MIPS","60 STREET, ASSER AREA, SANAA , SANAA, YEMEN, 00967","","","https://www.freightnet.com/profile/136495.htm","No"
"Bin-Shoelan Oilfield & Logistics Services Yemen","info@binshoelan.com  , Street No# 40, Sanaa, Yemen, P.O. Box 16914","","","https://www.freightnet.com/profile/17899.htm","No"
"YEMEN SUPERIOR TRADES","22MAY STREET , SANAA, SANAA, 00967","","","https://www.freightnet.com/profile/90431.htm","No"
"Aden Gulf Logistics for Trading Agencies Co Ltd","sameh@aglta.com , info@aglta.com, Aden, Yemen, +967","","","https://www.freightnet.com/profile/24264.htm","No"
"Packford International","UN St. No.33 , Sana'a, Yemen, 8246","","","https://www.freightnet.com/profile/98404.htm","No"
"Transoceanic Projcts & Development","Aden/Maalla Main Road/Maalla Plaza Centre/Ground Floor/ Flat 5 , Aden Free Zone/Light Indestrial Developed Area/Sector C, Aden, Aden/Republic Of Yemen, 02","","","https://www.freightnet.com/profile/54339.htm","No"
"ACL INTERNATIONAL","Zubeiry Street, Sana'a , Sana'a, Yemen, 01","","","https://www.freightnet.com/profile/89184.htm","No"
"AL AWADI CARGO SERVICES","KULAIT AL SHORTA ST , BEHIND YEMEN GULF BANK, SANAA, YEMEN, 00967","","","https://www.freightnet.com/profile/83345.htm","No"
"Al Halal Stev.& Logistic Co,Ltd","Al Gazeera Street , Sana'a, Sana'a, Yemen, 05038","","","https://www.freightnet.com/profile/51934.htm","No"
"THROUGH CLOUDS INTENATIONAL","HADDAH ST , AL  MESBAHI ROUND, SANAA, YEMEN, 00967","","","https://www.freightnet.com/profile/52078.htm","No"
"Yemenia","P.O.Box 2309 , Sanaa, Yemen, P.O.BOX 2309","","","https://www.freightnet.com/profile/2354.htm","No"
"Ratco for Trading & Services","Beside Yemenia , Sana, 2232","","","https://www.freightnet.com/profile/11091.htm","No"
"MAQBOULI & CO. Shipping","Sultan Zaid Street , P.O.Box 4121, Hodeidah, Hodeidah, 4121","","","https://www.freightnet.com/profile/13732.htm","No"
"Alliance Shipping & Trading Co","Mardam Street  , Ma'alla, Aden, 5304","","","https://www.freightnet.com/profile/17724.htm","No"
