"name","address","phone","website","profileUrl","isPremiumMember"
"Forlan Logistics Limited","Plot 3148, Zecco, Mukwa Road, Phone +260967929253 , Heavy Industial Area, Lusaka https://www.forlanlogistics.com, Zambia, 10101","","","https://www.freightnet.com/profile/96539.htm","No"
"Sky Swift Cargo Logistics Co.Ltd","Lusaka , Lusaka, lusaka, 10101","","","https://www.freightnet.com/profile/234853.htm","No"
"Freight Wave Shipping and Logistics Limited","Lusaka , Solwezi, Solwezi/Lusaka, Zambia, 10101","","","https://www.freightnet.com/profile/256792.htm","No"
"Mybox logistics","Makeni near ecumenical centre  , Kitwe opposite Mukuba mall, Lusaka, Zambia/ lusaka, 0000","","","https://www.freightnet.com/profile/260005.htm","No"
"COSMO AFRICA SHIPPING LIMITED","401 Lilayi road ,Lilayi , Lusaka, zambia,","","","https://www.freightnet.com/profile/214506.htm","No"
"OBITRANS FREIGHT CONSULTANCY LTD","Plot 6381-C5  , Chabisa Road, Woodlands, Lusaka, Zambia, 10101","","","https://www.freightnet.com/profile/103360.htm","No"
"Gateway logistics","E88 Kankoyo Mufulira  , Mufulira, Zambia, 10101","","","https://www.freightnet.com/profile/231985.htm","No"
"Fancham Worldwide Logistics Limited","Ring road , New kasama, Lusaks, Zambia, 10101","","","https://www.freightnet.com/profile/180670.htm","No"
"Giant Worldwide Logistics Zambia Limited","Box 55 kabulonga , Lusaka, Zambia, 10101","","","https://www.freightnet.com/profile/207800.htm","No"
"Cargo Management & Logistics Z Ltd","Zambia Way , richardatcmlzambia.co.zm, Ndola, Copperbelt, 50100","","","https://www.freightnet.com/profile/187278.htm","No"
"Welvix Global Logistics cc","Chinika, A Nampundwe Road , P.O.Box 749422, Lusaka, Zambia, Lusaka, Lusaka, 10101","","","https://www.freightnet.com/profile/193071.htm","No"
"CARGO SAFETY ZAMBIA LTD","CHACHACHA ROAD, PLOT 112 , LUSAKA, LUSAKA, 10101","","","https://www.freightnet.com/profile/144505.htm","No"
"Bentom Worldwide Logistics Limited","Plot 69 Ring Road , Lusaka, Zambia, 10101","","","https://www.freightnet.com/profile/169429.htm","No"
"Fancham Worldwide Logistics Limited","PLOT 69 RING ROAD ,NEW KASAMA,LUSAKA,ZAMBIA , LUSAKA, Zambia, 1010","","","https://www.freightnet.com/profile/169323.htm","No"
"Hastings vineyard enterprise limited","144,konkola road,chililabombwe , Copper belt province Zambia., Chililabombwe, Zambia, 10101","","","https://www.freightnet.com/profile/167008.htm","No"
"MWINA LOGISTICS LTD","150 Libuyu Extension,Livingstone , Nil, Livingstone, Livingstone, 10101","","","https://www.freightnet.com/profile/150348.htm","No"
"Hellmann Worldwide Logistics Zambia","3056 Makishi Road, Fairview  , Lusaka, Zambia, 10101","","","https://www.freightnet.com/profile/160915.htm","No"
"ADANJE CONSTRUCTION and trading","Plot 3476/1180: Kamwala south Lusaka Zambia , Lusaka, Zambia, 10101","","","https://www.freightnet.com/profile/160525.htm","No"
"Morris Chinkubala","oriental quarries and concrete blocks  , Makeni Konga, LUSAKA, MAKENI, 10101","","","https://www.freightnet.com/profile/156788.htm","No"
"Hellmann Worldwide Logistics","Plot 3056 Makishi Road , Fairview, Lusaka, Zambia, zambia@hellmann.com","","","https://www.freightnet.com/profile/111757.htm","No"
"INTERGLOBAL LOGISTICS ZAMBIA LIMITED","ZIMCO HOUSE , ROOM 409, 4TH FLOOR, LUSAKA, ZAMBIA, 10101","","","https://www.freightnet.com/profile/151604.htm","No"
"Dar Express Zambia Ltd","P.O Box 410546 , Kasama, Kasama, Zambia, 10101","","","https://www.freightnet.com/profile/83092.htm","No"
"MWINA LOGISTICS LTD","PLOT#150 LIBUYU EXTENSION,LIVINGSTONE ,ZAMBIA , LIVINGSTONE, ZAMBIA, 10101","","","https://www.freightnet.com/profile/148309.htm","No"
"multilayer logistics zambia limited","Tazara house, room 202 second floor, lusaka , zambia, lusaka, zambia, 10101","","","https://www.freightnet.com/profile/136989.htm","No"
"EUROMAX LTD","Transport, Customs clearing & Forwarding Agent , Sikafunge building 1st floor, Nakonde,","","","https://www.freightnet.com/profile/90193.htm","No"
"Obitrans Freight Consultancy Limited","Plot 7330 Scotia Yard , Mukatasha Road, Lusaka, Zambia, 10101","","","https://www.freightnet.com/profile/108462.htm","No"
"Renitz Trading Limited","57-11th Street , Chingola, Copperbelt, 10101","","","https://www.freightnet.com/profile/88408.htm","No"
"Linkage International Zambia Ltd","10460 Cairo Road , Central Business District, Lusaka, Zambia, 10101","","","https://www.freightnet.com/profile/121278.htm","No"
