"name","address","phone","website","profileUrl","isPremiumMember"
"GLOBAL LOGITECH EXPRESS","32 midlothian avenue , HARARE, ZIMBABWE, +263","","","https://www.freightnet.com/profile/261100.htm","No"
"Affluent Services International Freight","Aviation Ground Services, New Cargo Village, Harare International Airport, Zimbabwe , Harare, Zimbabwe, AP120","","","https://www.freightnet.com/profile/183735.htm","No"
"MARKET FOOTPRINTS","7 FRANK JOHNSON AVENUE,EASTLEA,HARARE , N/A, HARARE, ZIMBABWE, +263","","","https://www.freightnet.com/profile/257103.htm","No"
"AFFLUENT SERVICES ZIMBABWE","Lot 1 Arlington Estate, New Cargo Village  , Harare International  Airport, Harare, Zimbabwe, AP120","","","https://www.freightnet.com/profile/253891.htm","No"
"Fairpac Investments","23 Lincoln Road, Light Industrial Sites , Gweru, Zimbabwe, 00263","","","https://www.freightnet.com/profile/189789.htm","No"
"Star-track Freight Solutions","13 JOSHUA NKOMO MQABUKO, ROAD , Harare, Zimbabwe, 00000","","","https://www.freightnet.com/profile/196833.htm","No"
"STC FREIGHT PVT LTD","2B ILLFORD ROAD  , ARDBENNIE, HARARE, ZIMBABWE, 263","","","https://www.freightnet.com/profile/224595.htm","No"
"Freight bridge logistics","9Bodle Avenue Eastlea harare , Harare, Zimbabwe, 0021","","","https://www.freightnet.com/profile/246839.htm","No"
"African Mogul Logistics (Private) Limited","73 Leopold Takawira, Regent House, 2nd Floor, Suite 5A , Harare, Harare, HA","","","https://www.freightnet.com/profile/225955.htm","No"
"Cargo Foxx","36 Northampton crescent Eastlea , Harare, Zimbabwe, PO BOX","","","https://www.freightnet.com/profile/218052.htm","No"
"Nexus Freight","11 Shakespeare rd , Fairbridge Park, Mutare, Manicaland, 00263ZW","","","https://www.freightnet.com/profile/192251.htm","No"
"Enrologix","41 , Willow Creek, Harare, Zimbabwe, 00263","","","https://www.freightnet.com/profile/181678.htm","No"
"Pendock","Suit 401 4th floor Nora Court Harare Zimbabwe , Harare, Zimbabwe, 263","","","https://www.freightnet.com/profile/89189.htm","No"
"African Mogul Logistics (Pvt) Ltd","Suite 5, Second Floor Regent House, 73 Leopold Takawira Street. Harare , Harare, Harare, 0263","","","https://www.freightnet.com/profile/177444.htm","No"
"Ruddy logistics","1 hellens drive nyakamete  , libertykugarakuripi@gmail.com, Mutare, Zimbabwe, zw","","","https://www.freightnet.com/profile/173528.htm","No"
"uBUNTU LOGISTICS","Suite 101, First Floor , Regal Star House, Harare, Harare, 263","","","https://www.freightnet.com/profile/129479.htm","No"
"wisdom solutions p/l","172-173 longcheng plaza, harare,zimbabwe , 25 g.silundika ave, harare, zimbabwe, harare, zimbabwe, +263","","","https://www.freightnet.com/profile/141268.htm","No"
"Middleport Freight (Pty) Limited","New Cargo Village, Harare International Airport, Harare, Zimbabwe , Harare, Zimbabwe, ZW","","","https://www.freightnet.com/profile/107120.htm","No"
"Tinandy Clearing","295 Ramsey road Victoria falls , Victoria Falls, Zimbabwe, 00263","","","https://www.freightnet.com/profile/129320.htm","No"
"Maxman Freight Services (Pvt) Ltd","Contact Us Elcombe House Suite 208-209 Cnr K.Kaunda/Angwa Street P.O. Box 66729 Kopje Harare, Zimbab , Harare, Zimbabwe, 263","","","https://www.freightnet.com/profile/53027.htm","No"
"Crystal Clearing Company","9 bata Building , Victoria Falls, Victoria falls, Zimbabwe, +263","","","https://www.freightnet.com/profile/116667.htm","No"
