"name","address","phone","website","profileUrl","isPremiumMember"
"THIRDMAN","18226 CULVERWELL RD,, HARARE, ZIMBABWE, 00000","+263772942966","http://www.thirdman.co.zw/","https://www.freightnet.com/profile/258398.htm","Yes"
"Walwen freight Services","1 Chesterfield road Avonlea, Harare, Zimbabwe, 263","0772390814","http://www.walwenfreight.co.zw/","https://www.freightnet.com/profile/256902.htm","Yes"
"Luxesphere Shipping and Imports","107 Kwame Nkrumah, Runhare House, Harare., Harare, Mashonaland East, 00263","+263784219889","https://luxesphereshipping.com/","https://www.freightnet.com/profile/254423.htm","Yes"
"Yasser Freight","14 Wembley Crescent, Eastlea, HARARE, ZIMBABWE, +263","0719546006","","https://www.freightnet.com/profile/219062.htm","Yes"
"Glowin Express Cargo Ltd","No 1 Arlington Estate Harare International Airport Zimbabwe , Harare, ZIMBABWE, +263","+263 782680868","","https://www.freightnet.com/profile/257640.htm","Yes"
"Freight Solutions","9 Hillside Road,Hillside.Harare, Harare, Mashonaland, 09263","09-263-4-778526/8","","https://www.freightnet.com/profile/57895.htm","Yes"
"Valdo Freight solutions","6790 Westlea, Harare, Harare, Zimbabwe, 00263","+263782489528","https://www.valdofreightsolutions.co.zw/","https://www.freightnet.com/profile/243575.htm","Yes"
"NAZ FREIGHT SERVICES PVT LTD","7 MARDEN CRESCENT, AVONLEA, HARARE, HARARE, ZIMBABWE, 263000","+263772924583","https://www.nazfreight.co.zw/","https://www.freightnet.com/profile/252227.htm","Yes"
"Wealthbag Logistics","254 Samora Machel, Eastlea, Harare, Harare, Zimbabwe, 00000","+263772961224","http://www.wealthbag.co.zw/","https://www.freightnet.com/profile/210747.htm","Yes"
"Club Freight Services","9 , 31 Avenue, Harare, Harare, 000000","","","https://www.freightnet.com/profile/250096.htm","No"
"VEER FREIGHT","1 Martin Road Msasa  , Harare, Harare, 263","","","https://www.freightnet.com/profile/265834.htm","No"
"Alburaaq Freight","21 Glenara Avenue  , Eastlea, Harare, Zimbabwe, 263","","","https://www.freightnet.com/profile/265520.htm","No"
"CARGO PLUS INT LOGISTICS","Number 4 , Rowland squire, Milton Park, Harare, Zimbabwe, 002","","","https://www.freightnet.com/profile/250059.htm","No"
"Predomium Logistics","21 Casterns Road  , Belvedere, Harare, Harare, 0000","","","https://www.freightnet.com/profile/262052.htm","No"
"OCEANBASE LOGISTICS","4 rowland square , milton park, harare, zimbabwe, 263","","","https://www.freightnet.com/profile/233200.htm","No"
