"name","address","phone","website","profileUrl","isPremiumMember"
"Star International","96 Willovale Rd , Graniteside, Harare, Zimbabwe, 00000","","","https://www.freightnet.com/profile/264499.htm","No"
"Nyaboko trading","17094 Damofalls Phase 2, Ruwa , 21641 damofalls industrial area, Ruwa, Goromonzi, zimbabwe. Harare, +263","","","https://www.freightnet.com/profile/178925.htm","No"
"Fivestars transport","19 Newcastle Road, Paulington  , Mutare, Zimbabwe, l020","","","https://www.freightnet.com/profile/258892.htm","No"
"Starking","2236 norton , Norton, Zimbabwe, 61142","","","https://www.freightnet.com/profile/246903.htm","No"
"Rd trucks","4 Caledon Ave . Hatfield. Harare , Harare, Zimbabwe, Ap1hre","","","https://www.freightnet.com/profile/232021.htm","No"
"Mattfast freight","78 Villa Dorado , Heuweloord, Pretoria, Gauteng, Heuweloord","","","https://www.freightnet.com/profile/158360.htm","No"
"Manich Trucking","21 L Takawira st , Harare, zimbabwe, +263","","","https://www.freightnet.com/profile/144799.htm","No"
"Aussie Transport and Logistics Pvt Ltd","Granitesite , Harare, Zimbabwe, 0000","","","https://www.freightnet.com/profile/107375.htm","No"
"Perspective Distributors (Pvt.) Ltd.","1st Floor Puzey & Payne Building , Main Street, Bulawayo, Zimbabwe, ZW","","","https://www.freightnet.com/profile/104911.htm","No"
"link logistics","plot 105 , guzha, harare, zimbabwe, 0114","","","https://www.freightnet.com/profile/84798.htm","No"
"grunts logistics","6 kariba ave montrose gweru , beitbridge, zimbabwe, 0263","","","https://www.freightnet.com/profile/120208.htm","No"
