ALL AROUND COM  GMBH,null,0807,"https://www.dnb.com/business-directory/company-profiles.all-in_gmbh.b043e57cf01d31923fb465d53aa24926.html, https://answers.microsoft.com/en-us/outlook_com/forum/all/i-have-a-foreign-email-address-that-wont-go/7a951b73-e6a7-4245-911c-a897b0fe6125"
Air & Sea Logistics,"neu-isenburg@de.dsv.com, info@andreas-schmid.de., sales@airsealogistics.com., imports@airsealogistics.com.","07301915, +49 61023589120, 0855, +49 5117402950, 0190, +49 89 97, +49 821 49840, 0710","https://www.iata.org/en/publications/directories/cargolink/directory/insa-air--sea-logistics-gmbh/8511/, https://www.dsv.com/en/countries/europe/germany/neu-isenburg/dsv-air-sea-logistics-denis001"
ABX DEUTSCHLAND GmbH,info@abx.de,"01454, +49 3528 4041, 01067, +49 351, 041 60","https://abx.de/contact#:~:text=info%40abx.de., https://www.lusha.com/business/5a981142265cfba3/"
3pl Online AG,"germany@logisticsplus.com., sales@jamesandjames.com.",null,"http://www.shippingline.org/company/de-4148/3pl_Online_AG.html, https://ukemixlog.fi/en"
ALLSTA Spedition GmbH,"patricia.zeller@allsta.com., info@allsta.com, info@allsta.com.","0629, 0133, 0621, 0711, 0990, 0549, 09911","https://www.ufofreight.com/brochure/allsta/partners, https://www.cargoconnections.net/brochure/allstaspedition"
Andree & Wilkerling Gmbh,"support@yumpu.com., contact@andree-wilkerling.de.","0354, +49 40 41536","http://www.hafen-hamburg.de/en/address/andree-und-wilkerling-gmbh-und-co-kg-7757/, https://rocketreach.co/torben-klammer-email_126268758"
Andreas Scholten GmbH Zoll- und Speditionskontor,null,0127,"https://rocketreach.co/andreas-scholten-email_417369802, https://azfreight.com/freight-forwarder/andreas-scholten-gmbh-zoll-und-speditionskontor/"
ALTAMAR Shipping & Forwarding GmbH,null,"+49 211 86, 0212","https://www.altamar.de/en/contact/, https://www.altamar.de/en/"
ARO Logistik GmbH,null,null,https://www.aro-logistik.com/en/imprint/
Aspira Logistics GmbH,null,"+49 40 52474790, +49 40 524747999","https://www.aspira-logistics.com/contact-us/?lang=en, https://www.aspira-logistics.com/legal-notice/?lang=en"
AStrans Logistics GmbH,null,"0549, +49 69 87","https://azfreight.com/freight-forwarder/astrans-s-pte-ltd/, https://www.northdata.com/AStrans+International+GmbH,+Bottrop/Amtsgericht+Gelsenkirchen+HRB+11833"
Atlant,"info@reibus.com, inquiries@generalatlantic.com","0303, 0328, 0333, 0308","https://www.germany.info/us-en/embassy-consulates/atlanta, https://german-institute.org/about/contact.html"
Austral Logistics GmbH,"service@austral-logistics.de, info@australgroup.com.",+49 40 943622,"http://austral-logistics.de/contacts/, http://austral-logistics.de/"
Avia Cargo GmbH,null,null,
"B I S Beyoglu Internationale Spedition GmbH, Hamburg","info@beyoglu-spedition.de., mehmet@beyoglu-spedition.de.","0537, +4940 8814, 049 40, 049 176","http://www.bis-spedition.com/iletisim.php?lang=en, https://trustnetwork.vn/bis-beyoglu-internationale-speditio/"
B.L.A.S (Bremen Logistics and Shipping) GmbH,"b.sanchis@blas-shipping.com., info@container-xchange.com.",0355,"https://www.blas-shipping.com/en-gb/kontakt, https://www.blas-shipping.com/en-gb/what-we-do"
Bantmann Trade & Consulting UG,info@jms-fahrzeugteile.de.,+49 7127960840,"https://bantmann.de/en/, https://bantmann.de/en/shop/shock-a-title-16/"
Baltic Short Sea Shipping GmbH,"operations@balticshipping.dk, info@bsssham.de., info@ewt-shipping.com.","0457, 0800, 0856","https://www.linkedin.com/posts/baltic-shipping-comapany-a-s_announcement-new-office-in-a-new-country-activity-7097913703215296512-IYDW?trk=public_profile_like_view, https://www.northdata.com/BSSS+GmbH+Baltic+Short+Sea+Shipping,+Halle+%28Saale%29/Amtsgericht+Stendal+HRB+26065"
BERLINER BANK,"officials.de@n26.com, information@lbb.de, service@berliner-volksbank.de","+49 30 2599, +49 30 2325, +49 30 5515, 0431, 0178, +49 30 3063, 0117","https://www.berliner-sparkasse.de/en/home/toolbar/kontakt.html, https://www.lusha.com/business/8d7d4c661ddd20bc/"
BATI Logistics GmbH,"info@batilogistics.de., INFO@BATILOGISTICS.DE., ardit@batigroup.com.tr","+49 30 9451, 0801242, +493094513200, +49 30 94513200, 0905311016826","https://www.batilogistics.de/Uploads/documents/19/BATI%20LOGISTICS%20GMBH%202021%20EN.pdf, https://www.batilogistics.de/Uploads/documents/46/BATI%20LOGISTICS%20GMBH%202024_EN.pdf"
Bertola Joseph Muenchen Gmbh,info@bertola.de,07726,"https://www.bertola.de/ask-for-offer/, https://www.bertola.de/"
BJ FREIGHT LOGISTICS UG,"service@bjfreightlogistics.com., service@bjfreightlogistics.com, acllogistics@yahoo.com.","04941054074483, 0354","https://bjfreightlogistics.com/en/, https://bjfreightlogistics.com/en/imprint/"
BIS BEYOGLU INTERNATIONALE SPEDITION GMBH,"info@beyoglu-spedition.de., mehmet@beyoglu-spedition.de., info@beyoglu-spedition.de","0537, +4940 8814, 049 40, 049 176","http://www.bis-spedition.com/iletisim.php?lang=en, https://trustnetwork.vn/bis-beyoglu-internationale-speditio/"
Cargo Marketing Spedition GmbH,"info@cargo-marketing.de., jp@cargo-marketing.de.","06105, +49 2203 368960","https://www.cargo-marketing.de/en/imprint/, https://www.lusha.com/business/036d7e343179c682/"
CARGO MARKETNG SPEDITION DEUTSCHLAND GMBH,"info@cargo-marketing.de., jp@cargo-marketing.de., demuc@cargo-partner.com","02199, 06105, +49 811 99967","https://www.lusha.com/business/5943c92a362259c8/, https://azfreight.com/freight-forwarder/cargo-marketing-spedition-deutschland-gmbh/"
Cargo Partner Gmbh,"usord@cargo-partner.com, atfis@cargo-partner.com",+49 811 99,"https://www.cargo-partner.com/contact/Europe/Germany, https://www.cargo-partner.com/contact"
CCS-Express GmbH (MUC),"info.muc@ccs-express.de, ifaheadoffice@iinet.net.au, info@ccs-express.de.","+49 811 55, +49 811 5500, 0811, +49 180 5949260, 0100, 0119","https://www.ccs-express.de/en/contact/, https://www.ccs-express.de/en/company/locations/"
CCL Transport GmbH,hello@ccl-logistics.com,"01292 310, 01292 310510, 02199","https://www.ccl-logistics.com/contact-us/, https://www.ccl-logistics.com/"
Cargo.Net International GmbH,"sales@cargo-net.co.uk, germany@logisticsplus.com.","+49 2242 969, 07310, 0161 383","http://www.shippingline.org/company/de-6126/Cargo_Net_International_GmbH.html, https://www.cargonet.com/contact/"
CargoBOSS Spedition KG,"sjoel5228@gmail.com, uml.scholarlycommunications@manchester.ac.uk, questions@lorryspotting.com.",null,"https://www.freightnet.com/profile/91084.htm, https://m.facebook.com/groups/575245383668298/posts/1100066334519531/"
Chandler Shipping,hamburg@wrist.com.,"0359, +49 40 299, 09135747, 0451","https://www.wrist.com/en/meet_us/contact-us/hamburg.htm, https://www.limanisupply.com/ship-chandler-bremerhaven/"
CES Cargo Express Systems GmbH,"info@cargo-express.de, import@cargo-express.de","+49 2351 97, +49421 14447","https://cargo-express.de/en/imprint/, https://www.dnb.com/business-directory/company-profiles.ces_cargo_express_systems_nw_gmbh.1937ebd2dbc682b369ddad928072c39c.html"
CIS LOGISTICS,"kontakt@cis-freight.de, info@cis.de, office@cis-cert.com., info@mtlogistics.de","+49 3378, +49 2151 3787, 091 6309, +49 6438 92540","http://www.cis-freight.com/, https://cis.de/en/contact/"
CMP CARGO UG,"customerservices@cmp-products.com., order_us@sinobiologicalus.com.","05973 89, 0558","http://www.cargoyellowpages.com/en/germany/frankfurt/freight-forwarders-cmp-cargo-ug-25910.html, https://www.cmport.com/services/general-cargo/"
Collyer Logistics (Europe) GmbH,r.kung@hkg.collyerlogistics.com,06429,"https://www.collyerlogistics.com/, http://mobile.cargoyellowpages.com/company/7043/sendmail/91431"
Contrans Logistik GmbH,info@cas-gruppe.de,"+49 231 927, +4923192717949, 04603","https://cas-gruppe.de/en/contrans-logistik-gmbh/, https://www.lusha.com/business/1543036d6b1d0aac/"
Conrad Beyerlein Internationale Spedition GmbH,info@conrad-modelle.de,null,"https://www.bayern-international.de/en/company-database/company-details/conrad-beyerlein-internationale-spedition-gmbh-814, https://spedition-beyerlein.de/kontakt/"
Damco Sea + Air,"info@damcogroup.com., dachser.germany-asl@dachser.com.","073356, 0537, 0350","http://mobile.cargoyellowpages.com/country/DE/city/hamburg/company/7082, https://azfreight.com/freight-forwarder/damco-sea-and-air-ltd/"
Damco (Germany) GmbH,"ltorlakovic@gmx.de., ljubisa.torlakovic@damco.com.","0537, 0171, 0459, +49 69 26952980, +49 69 269529849","https://www.iata.org/en/publications/directories/cargolink/directory/damco-germany-gmbh/8292/, https://www.dnb.com/business-directory/company-profiles.damco_germany_gmbh.cc1734036b29785ef07b6202b5b87e78.html"
Corporate Service Munich GmbH,null,"+49 180 5949260, +49 89 660566, +49 211 361146, 0802, +49 211361146501, 0800 796, +49 89 233, +49 89 2050","https://www.csg-muc.com/en/contact, https://www.bayern-international.de/en/company-database/company-details/corporate-service-munich-gmbh-1040031"
Deutsche Post DHL,"John.Smith@deutschepost.de, J.Smith@deutschepost.de","+49 228 18296701, +49 228 18296799, 0800, 0325, +49 228 182","https://www.dhl.com/de-en/home/customer-service.html, https://www.dhl.com/global-en/home/nic/contact-nic.html"
Draeger & Koch Transport Gmbh,"presse@draeger.com., ana.horner@draeger.com., draegerreview@draeger.com., hannover@draeger-koch.de.","0853, 0511, +49 451 882, 0260, 0669, +49 511 3747350, +49 511 37473520","https://www.lusha.com/business/9dee1661c47920ab/, https://www.draeger-koch.de/kontakt/"
Elbe-Gate Logistics GmbH,"NiceTry@guy.com., NiceTry0@orsitamet.com., info@elbe-gate.comAccounting",+49 160 1000444,"https://www.elbe-gate.com/, https://forwarderdirectory.com/listing/elbe-gate-logistics-gmbh/"
Efkaship F. Knoop & Co.-Since 1936-,null,null,
Eastlog-Trading OHG,"fm@eastlog.com, sf@eastlog.com, jrk@eastlog.com.",null,"http://eastlog.com/en/contact_us/, https://combinedlogisticsnetworks.com/emails/2017/cln-weekly-wednesday-bulletin-12-6-2017.html"
Elbfair Logistics GmbH,"cargo@elbfair.de., d.kuehl@elbfair.de, last@elbfair.de","+49 40 181, +494034865224, +494033492687, 0549, +49 69 87","https://elbfair.de/en/kontakt/, https://www.forwarderspages.com/germany/18622.html"
