
Adk Groupe Sarl,info@vliscogh.com.,"303 30 42 34, +225 27 23 53 53","https://www.freightnet.com/profile/48500.htm, https://www.vlisco.com/contact-us"
Africa Sea Line,"solutions@africasealine.com, info@paa-ci.org.","+225 21 219314, +225 21 219110","https://www.developmentaid.org/organizations/view/420849/africasealine-sarl, https://www.tradeford.com/directory/cargo_africasealine-sarl_d4029.html"
Africa Tans Logistiquues,"enquiries.africa@aarocoglobal.com, ops2@aarocoglobal.com, africa.aarocoglobal@gmail.com.","030603347, 024600817","https://atliworldwide.com/, https://www.aarocoglobal.com/contact-us/"
Alom Royal Maritime Services,null,null,"https://www.worldbank.org/content/dam/meetings/external/springmeeting/Participant-List.pdf, https://www.worldbank.org/content/dam/meetings/external/annualmeeting-1/AM23%20Participant%20List.pdf"
AIR 2 SEA GLOBAL LOGISTICS,"contact.ci@capewest-logistics.com., info.kenya@iss-gf.com.","+22504851616, +225 2127 1720","http://www.shippingline.org/company/ci-15210/AIR_2_SEA_GLOBAL_LOGISTICS.html, https://www.freightnet.com/profile/84505.htm"
AVE GROUP INTL,"contact@avegroupintl.com, aircotedivoirerob@aircotedivoire.com, mail@supermaritime.com.","+22559395197, 564365989","https://www.teralogistics.com/forwarder/ave-group-international/, https://www.freightnet.com/profile/227801.htm"
DIAM'S International,"info@buridaci.com, info@mangalis.com., info@simat.ci.","+225 2030 4000, +225 2030 4001","https://www.wipo.int/directory/en/contact.jsp?country_code=CI&type=ADMIN, https://www.mangalis.com/en/contact-us"
Alpha Consulting Maritime Agency,"info@acma-ci.com, mail@alphamrn.com",+2250769194781,"https://www.acma-ci.com/en/index_en.html, https://www.marinetraffic.com/bg/maritime-companies/profile/90730/company_name:alpha%20consulting%20maritime%20agency"
CACTUS-GLOBAL GROUP,Kelly.Mgbor@wts.com.,null,"https://cactusglobal.com/contact-us/, https://crm.cactusglobal.com/registration/contractual-editing"
CAGL Cote d'Ivoire SARL,"info@buridaci.com, budd.cote-ivoire@budd-pni.com., taranto@hugotrumpy.it, rscabidjan@gmail.com., contact@gem-power.fr., info@billon-sarl.fr.","+225 21 24 34 60, +225 21 24 34 62, +225 21 24 03 71, 7 21 580180, +225 07 03 96 33 59, +225 21 24 33 04","https://www.wipo.int/directory/en/contact.jsp?country_code=CI&type=ADMIN, https://www.piclub.or.jp/attachment/correspondents/Page%20102-205%20(Country;%20G-R).pdf"
EL-GOSH INVESTMENTS LTD,"info@el-gosh.com, info@el-gosh.com., info@el-gosh.net.","244537030, 775646729, 557577414","http://www.el-gosh.com/, http://www.el-gosh.com/certificate/"
Elohim Shipping Limited,info@elohimshippingltd.com,"225 27 2127, +225 2127 1720, +225 2127 1710, 721271720","https://www.elohimshippingltd.com/, https://ifc8.network/directory/members/87442"
GOSHMELO SHIPPING & TRADING LTD,"info@goshmeloshipping.com, goshmeloshipping@hotmail.com, goshmeloshipping@yahoo.co.uk., contact.benin@kerrylogistics.com","244537030, 775646729, 557577414, 262962810, 303203314, 3 22 203314, 244 537030, +225 2175 1985","http://www.goshmeloshipping.com/, https://businessghana.com/site/directory/shipping-company/18263/GOSHMELO-SHIPPING-TRADING-LTD"
F.E.S.TRANS-CI  ( FESTCI ),"festci.john@yahoo.fr, logistics@alovair-sea.com",null,https://www.scribd.com/document/669677202/%E6%96%B0%E5%BB%BA-XLSX-%E5%B7%A5%E4%BD%9C%E8%A1%A8
ETABLISSEMENT BEAUDOUX LOGISQUE,"e.b.logistiques@live.com., contact@atlici.net., cames@lecames.org, cames@cames.online.","+225 2175 1985, +22540011806, +22521276407, +225 21 25 22 69, +225 21 25 21 88, 6 25 368146","http://mobile.cargoyellowpages.com/cote-divoire/abidjan.html, http://www.shippingline.org/company/ci-15374/ETABLISSEMENT_BEAUDOUX_LOGISTIQUES.html"
GROUPE-IMANA,"info@groupeimana.com., info@groupeimana.com, info@mangalis.com., info@buridaci.com, assistdg@buridaci.com","7 20 22 73 02, 05 55 30 66 30, 07 09 07 17 72","https://www.groupeimana.com/, https://www.groupeimana.com/about.html"
KACOU LOGISTICS,sun.gg@scalingupnutrition.org.,null,"https://scalingupnutrition.org/sites/default/files/2022-01/SUNGG17-LOGISTICS-NOTE-EN.pdf, https://www.freightnet.com/profile/243253.htm"
KodA Maritime,"info@kodamaritime.com., mail@supermaritime.com.","+225 07 07 81 0557, +225 01 0142 4356, +225 07 0705 1527","https://azfreight.com/freight-forwarder/koda-maritime/, http://mobile.cargoyellowpages.com/country/CI/city/abidjan/company/9912"
Ivoire Packing Shipping Services,"hello@topship.africa, aircotedivoirerob@aircotedivoire.com",null,"https://www.msc.com/en/local-information/africa/ivory-coast, https://www.marinetraffic.com/es/maritime-companies/profile/79531/company_name:ivoire%20packing%20shipping%20services"
Maersk Logistics Cote d'Ivoire S.A.,Marie-Joelle.Kouakou@maersk.com,"+225 21 219314, +225 21 219110","https://www.maersk.com/local-information/imea/ivory-coast, https://www.maersk.com/zh-tw/local-information/imea/ivory-coast"
